part,equiv,adj,desc
abdomen,-,abdominal,the region of the body of a vertebrate that contains the viscera other than the heart and lungs. In mammals it is separated from the thorax by the diaphragm
adenoids,pharyngeal tonsil,adenoid or adenoidal,"a mass of lymphoid tissue at the back of the throat behind the uvula: when enlarged it often restricts nasal breathing, esp in young children"
alimentary canal,-,-,"the tubular passage extending from the mouth to the anus, through which food is passed and digested"
ankle,talus,-,the joint connecting the leg and the foot
anus,-,anal,the excretory opening at the end of the alimentary canal
appendix,vermiform appendix,appendicular,a wormlike pouch extending from the lower end of the caecum in some mammals. In man it is vestigial
arm,brachium,brachial,(in man) either of the upper limbs from the shoulder to the wrist
armpit,axilla,axillary,the small depression beneath the arm where it joins the shoulder
artery,-,arterial,any of the tubular thick-walled muscular vessels that convey oxygenated blood from the heart to various parts of the body
back,-,dorsal,"the posterior part of the human body, extending from the neck to the pelvis"
belly,venter,ventral,"the lower or front part of the body of a vertebrate, containing the intestines and other abdominal organs; abdomen"
bladder,urinary bladder,vesical,a distensible membranous sac in which the urine excreted from the kidneys is stored
blood,-,"haemal, haemic, or haematic","a reddish fluid in vertebrates that is pumped by the heart through the arteries and veins, supplies tissues with nutrients, oxygen, etc, and removes waste products. It consists of a fluid (see blood plasma) containing cells (erythrocytes, leucocytes, and platelets)"
bone,os,"osseous, osteal, or osteoid","any of the various structures that make up the skeleton in most vertebrates; the porous rigid tissue of which these parts are made, consisting of a matrix of collagen and inorganic salts, esp calcium phosphate, interspersed with canals and small holes"
brain,encephalon,cerebral,"the soft convoluted mass of nervous tissue within the skull of vertebrates that is the controlling and coordinating centre of the nervous system and the seat of thought, memory, and emotion. It includes the cerebrum, brainstem, and cerebellum"
breast,-,mammary,either of the two soft fleshy milk-secreting glands on the chest in sexually mature human females
buttocks,nates,natal or gluteal,the two large fleshy masses of thick muscular tissue that form the human rump
caecum,-,caecal,"any structure or part that ends in a blind sac or pouch, esp the pouch that marks the beginning of the large intestine"
calf,-,sural,the thick fleshy part of the back of the leg between the ankle and the knee
capillary,-,capillary,any of the delicate thin-walled blood vessels that form an interconnecting network between the arterioles and the venules
cervix,-,cervical,"any necklike part of an organ, esp the lower part of the uterus that extends into the vagina"
cheek,gena,genal,"either side of the face, esp that part below the eye"
chest,-,pectoral,the front part of the trunk from the neck to the belly
chin,-,genial or mental,the protruding part of the lower jaw
clitoris,-,clitoral,a part of the female genitalia consisting of a small elongated highly sensitive erectile organ at the front of the vulva: homologous with the penis
colon,-,colonic,the part of the large intestine between the caecum and the rectum
duodenum,-,duodenal,"the first part of the small intestine, between the stomach and the jejunum"
ear,-,aural or otic,the organ of hearing and balance in higher vertebrates and of balance only in fishes. In humans and other mammals it consists of three parts
elbow,-,-,"the joint between the upper arm and the forearm, formed by the junction of the radius and ulna with the humerus"
epiglottis,-,epiglottal,"a thin cartilaginous flap that covers the entrance to the larynx during swallowing, preventing food from entering the trachea"
external ear,auricle or pinna,-,the part of the ear consisting of the auricle and the auditory canal
eye,-,ocular or ophthalmic,"the organ of sight of animals, containing light-sensitive cells associated with nerve fibres, so that light entering the eye is converted to nervous impulses that reach the brain. In man and other vertebrates the iris controls the amount of light entering the eye and the lens focuses the light onto the retina"
eyebrow,-,superciliary,the transverse bony ridge over each eye
eyelash,cilium,ciliary,any one of the short curved hairs that grow from the edge of the eyelids
eyelid,-,palpebral,either of the two muscular folds of skin that can be moved to cover the exposed portion of the eyeball
Fallopian tube,oviduct,oviducal or oviductal,either of a pair of slender tubes through which ova pass from the ovaries to the uterus in female mammals
finger,-,digital,"any of the digits of the hand, often excluding the thumb"
fingernail,-,ungual or ungular,a thin horny translucent plate covering part of the dorsal surface of the end joint of each finger
fist,-,-,"a hand with the fingers clenched into the palm, as for hitting"
follicle,-,follicular,"any small sac or cavity in the body having an excretory, secretory, or protective function"
fontanelle or (chiefly U.S.) fontanel,-,-,any of several soft membranous gaps between the bones of the skull in a fetus or infant
foot,pes,pedal,the part of the vertebrate leg below the ankle joint that is in contact with the ground during standing and walking
forearm,-,cubital,the part of the arm from the elbow to the wrist
forehead,-,frontal,"the part of the face between the natural hairline and the eyes, formed skeletally by the frontal bone of the skull; brow"
foreskin,prepuce,preputial,the fold of skin that covers the glans of the penis; prepuce: in circumcision it is completely or partly removed
gall bladder,-,-,-
gland,-,adenoid,"a cell or organ in man and other animals that synthesizes chemical substances and secretes them for the body to use or eliminate, either through a duct (exocrine gland) or directly into the bloodstream (endocrine gland)"
glottis,-,glottic,"the vocal apparatus of the larynx, consisting of the two true vocal cords and the opening between them"
groin,-,inguinal,the depression or fold where the legs join the abdomen
gullet,oesophagus,oesophageal,a less formal name for the oesophagus
gum,gingiva,gingival,the fleshy tissue that covers the jawbones around the bases of the teeth
hamstring,-,popliteal,any of the tendons at the back of the knee
hard palate,-,-,"the anterior bony portion of the roof of the mouth, extending backwards to the soft palate"
hair,-,-,any of the threadlike pigmented structures that grow from follicles beneath the skin of mammals and consist of layers of dead keratinized cells
half-moon,lunula or lunule,-,the white crescent-shaped area at the base of the human fingernail
hand,manus,manual,"the prehensile part of the body at the end of the arm, consisting of a thumb, four fingers, and a palm"
head,caput,capital,"the upper or front part of the body in vertebrates, including man, that contains and protects the brain, eyes, mouth, and nose and ears when present"
heart,-,cardiac,the hollow muscular organ in vertebrates whose contractions propel the blood through the circulatory system. In mammals it consists of a right and left atrium and a right and left ventricle
heel,-,-,the back part of the human foot from the instep to the lower part of the ankle
hip,-,-,"either side of the body below the waist and above the thigh, overlying the lateral part of the pelvis and its articulation with the thighbones"
ileum,-,ileac or ileal,the part of the small intestine between the jejunum and the caecum
inner ear or internal ear,labyrinth,-,"the part of the ear in the temporal bone consisting of the semicircular canals, vestibule, and cochlea"
instep,-,-,"the middle section of the human foot, forming the arch between the ankle and toes"
intestine,-,alvine,the part of the alimentary canal between the stomach and the anus
jaw,-,gnathic or gnathal,the part of the skull of a vertebrate that frames the mouth and holds the teeth. In higher vertebrates it consists of the upper jaw (maxilla) fused to the cranium and the lower jaw (mandible)
jejunum,-,jejunal,the part of the small intestine between the duodenum and the ileum
jugular vein,-,-,any of three large veins of the neck that return blood to the heart from the head and face
kidney,-,renal or nephritic,"either of two bean-shaped organs at the back of the abdominal cavity in man, one on each side of the spinal column. They maintain water and electrolyte balance and filter waste products from the blood, which are excreted as urine"
knee,genu,genicular,the joint of the human leg connecting the tibia and fibula with the femur and protected in front by the patella
knuckle,-,-,"a joint of a finger, esp that connecting a finger to the hand"
labia majora,-,labial,the two elongated outer folds of skin in human females surrounding the vaginal orifice
labia minora,-,labial,the two small inner folds of skin in human females forming the margins of the vaginal orifice
large intestine,-,-,"the part of the alimentary canal consisting of the caecum, colon, and rectum. It extracts moisture from food residues, which are later excreted as faeces"
leg,crus,crural,"either of the two lower limbs, including the bones and fleshy covering of the femur, tibia, fibula, and patella"
lip,-,labial,"either of the two fleshy folds surrounding the mouth, playing an important role in the production of speech sounds, retaining food in the mouth, etc"
liver,-,hepatic,"a multilobed highly vascular reddish-brown glandular organ occupying most of the upper right part of the human abdominal cavity immediately below the diaphragm. It secretes bile, stores glycogen, detoxifies certain poisons, and plays an important part in the metabolism of carbohydrates, proteins, and fat, helping to maintain a correct balance of nutrients"
loin,lumbus,lumbar,the part of the lower back and sides between the pelvis and the ribs
lung,-,pulmonary,"either one of a pair of spongy saclike respiratory organs within the thorax of higher vertebrates, which oxygenate the blood and remove its carbon dioxide"
lymph cell,lymphocyte,-,a type of white blood cell formed in lymphoid tissue
lymph node,-,-,"any of numerous bean-shaped masses of tissue, situated along the course of lymphatic vessels, that help to protect against infection by killing bacteria and neutralizing toxins and are the source of lymphocytes"
midriff,diaphragm,-,"the middle part of the human body, esp between waist and bust"
mons pubis,-,-,the fatty cushion of flesh in human males situated over the junction of the pubic bones
mons veneris,-,-,the fatty cushion of flesh in human females situated over the junction of the pubic bones
mouth,-,stomatic,the opening through which many animals take in food and issue vocal sounds
nape,nucha,nuchal,the back of the neck
navel or omphalos,umbilicus,umbilical,"the scar in the centre of the abdomen, usually forming a slight depression, where the umbilical cord was attached"
neck,cervix,cervical,the part of an organism connecting the head with the rest of the body
nerve,-,neural,any of the cordlike bundles of fibres that conduct sensory or motor impulses between the brain or spinal cord and another part of the body
nerve cell,neuron or neurone,neuronic,"a specialized cell that conducts nerve impulses: consists of a cell body, axon, and dendrites"
nipple or teat,mamilla or papilla,mamillary,"the small conical projection in the centre of the areola of each breast, which in women contains the outlet of the milk ducts"
nose,-,nasal,"the organ of smell and entrance to the respiratory tract, consisting of a prominent structure divided into two hair-lined air passages by a median septum"
nostril,naris,narial or narine,either of the two external openings of the nose
occiput,-,occipital,the back part of the head or skull
ovary,-,ovarian,"either of the two female reproductive organs, which produce ova and secrete oestrogen hormones"
pancreas,-,pancreatic,"a large elongated glandular organ, situated behind the stomach, that secretes insulin and pancreatic juice"
penis,-,penile,"the male organ of copulation in higher vertebrates, also used for urine excretion in many mammals"
pharynx,-,pharyngeal,the part of the alimentary canal between the mouth and the oesophagus
pubes,-,pubic,"the region above the external genital organs, covered with hair from the time of puberty"
rectum,-,rectal,"the lower part of the alimentary canal, between the sigmoid flexure of the colon and the anus"
red blood cell,erythrocyte,-,erythrocytic
ribcage,-,-,"the bony structure consisting of the ribs and their connective tissue that encloses and protects the lungs, heart, etc"
scalp,-,-,the skin and subcutaneous tissue covering the top of the head
scrotum,-,scrotal,the pouch of skin containing the testes in most mammals
shin,-,-,the front part of the lower leg
shoulder,-,-,the part of the vertebrate body where the arm or a corresponding forelimb joins the trunk: the pectoral girdle and associated structures
side,-,-,"either half of a human or animal body, esp the area around the waist, as divided by the median plane"
skin,cutis,cutaneous,"the tissue forming the outer covering of the vertebrate body: it consists of two layers (the dermis and epidermis), the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function"
small intestine,-,-,"the longest part of the alimentary canal, consisting of the duodenum, jejunum, and ileum, in which digestion is completed"
soft palate,-,-,the posterior fleshy portion of the roof of the mouth. It forms a movable muscular flap that seals off the nasopharynx during swallowing and speech
sole,-,plantar,the underside of the foot
spleen,-,lienal or splenetic,"a spongy, highly vascular organ situated near the stomach in man. It forms lymphocytes, produces antibodies, aids in destroying worn-out red blood cells, and filters bacteria and foreign particles from the blood"
stomach,-,gastric,(in vertebrates) the enlarged muscular saclike part of the alimentary canal in which food is stored until it has been partially digested and rendered into chyme
tear duct,lacrimal duct,-,a short tube in the inner corner of the eyelid through which tears drain into the nose
temple,-,temporal,the region on each side of the head in front of the ear and above the cheek bone
tendon,-,-,a cord or band of white inelastic collagenous tissue that attaches a muscle to a bone or some other part; sinew
testicle,-,testicular,"either of the two male reproductive glands, in most mammals enclosed within the scrotum, that produce spermatozoa and the hormone testosterone"
thigh,-,femoral or crural,the part of the leg between the hip and the knee in man
thorax,-,thoracic,the part of the human body enclosed by the ribs
throat,-,"guttural, gular, or jugular",that part of the alimentary and respiratory tracts extending from the back of the mouth (nasopharynx) to just below the larynx
thumb,pollex,pollical,"the first and usually shortest and thickest of the digits of the hand, composed of two short bones"
toe,-,-,any one of the digits of the foot
toenail,-,ungual or ungular,a thin horny translucent plate covering part of the dorsal surface of the end joint of each toe
tongue,lingua,lingual or glottic,a movable mass of muscular tissue attached to the floor of the mouth in most vertebrates. It is the organ of taste and aids the mastication and swallowing of food. In man it plays an important part in the articulation of speech sounds
tonsil,-,tonsillar or tonsillary,either of two small masses of lymphatic tissue situated one on each side of the back of the mouth
torso,-,-,the trunk of the human body
