,0
0,26081
1,27675
2,27863
3,27873
4,28046
5,26130
6,26822
7,26825
8,25936
9,28505
10,27567
11,27730
12,28799
13,28891
14,28813
15,28501
16,27690
17,29232
18,29433
19,28341
20,29311
21,29911
22,29912
23,29859
24,29834
25,30079
26,29593
27,30196
28,30277
29,29940
30,30112
31,30416
32,30987
33,30524
34,30382
35,29823
36,30523
37,29749
38,30656
39,30867
40,30205
41,30927
42,30721
43,30649
44,31349
45,31478
46,31492
47,31525
48,30696
49,31575
50,31332
51,31640
52,31658
53,31800
54,28575
55,27362
56,27360
57,31877
58,32027
59,26405
60,32138
61,32139
62,31310
63,32225
64,32227
65,32287
66,32273
67,32278
68,32280
69,32281
70,26751
71,32295
72,32334
73,32285
74,26813
75,32274
76,32593
77,31053
78,31601
79,32405
80,31523
81,33012
82,33213
83,33308
84,33309
85,33347
86,33370
87,32811
88,33474
89,33425
90,33649
91,33673
92,33720
93,33465
94,33715
95,34071
96,33891
97,30455
98,33978
99,34053
100,29545
101,29438
102,33936
103,34491
104,34448
105,34740
106,34541
107,34573
108,34280
109,34381
110,31194
111,34719
112,32993
113,34445
114,34789
115,34794
116,29065
117,33920
118,32661
119,33315
120,33749
121,34841
122,34843
123,34913
124,32936
125,34938
126,30697
127,30698
128,33700
129,35162
130,33834
131,35261
132,35325
133,34326
134,30939
135,35184
136,35557
137,35619
138,35196
139,30611
140,30699
141,32082
142,35765
143,35209
144,32189
145,35956
146,32922
147,35816
148,36169
149,35861
150,35955
151,32859
152,36324
153,36385
154,36386
155,36422
156,36511
157,31051
158,35692
159,36675
160,36196
161,29886
162,36901
163,36913
164,36897
165,35674
166,34019
167,36903
168,37159
169,33568
170,30125
171,37520
172,37652
173,37653
174,37717
175,37882
176,37939
177,35235
178,38010
179,38088
180,38132
181,35197
182,31195
183,38320
184,38401
185,38398
186,37841
187,35485
188,38585
189,37618
190,38638
191,38659
192,38730
193,38733
194,38793
195,38342
196,35559
197,36489
198,36400
199,39041
200,39436
201,39744
202,39740
203,39858
204,38333
205,39271
206,39878
207,40239
208,38204
209,38203
210,34991
211,40438
212,40465
213,39625
214,40500
215,35122
216,39314
217,40881
218,40955
219,41005
220,40636
221,40080
222,41246
223,40589
224,40874
225,40900
226,40901
227,40902
228,40903
229,41316
230,40915
231,40876
232,35215
233,39481
234,40833
235,40052
236,41706
237,41238
238,41310
239,41281
240,41282
241,41308
242,41309
243,41778
244,40564
245,41832
246,40971
247,41383
248,41407
249,41408
250,41462
251,41488
252,41830
253,36166
254,40753
255,41969
256,41975
257,40254
258,41732
259,41941
260,42010
261,42039
262,40875
263,36344
264,41773
265,42168
266,41064
267,42267
268,41963
269,41324
270,41958
271,41974
272,41988
273,38769
274,38772
275,42400
276,41828
277,42098
278,42121
279,42122
280,37607
281,38332
282,38889
283,40146
284,42574
285,42579
286,42580
287,42728
288,41643
289,42328
290,42778
291,42329
292,42352
293,42495
294,36349
295,41829
296,43009
297,43076
298,42744
299,41337
300,42753
301,42754
302,43221
303,42819
304,43228
305,43229
306,43248
307,43364
308,43337
309,43338
310,42820
311,43362
312,43361
313,43406
314,42863
315,37434
316,43514
317,43547
318,43548
319,43592
320,43593
321,43594
322,43309
323,43773
324,43754
325,43259
326,43922
327,43947
328,42737
329,43399
330,44018
331,44019
332,44020
333,44038
334,44079
335,44080
336,44081
337,44082
338,43810
339,43474
340,43551
341,43591
342,44135
343,44202
344,44229
345,44279
346,43938
347,44505
348,44565
349,44566
350,44201
351,44354
352,44790
353,44810
354,44825
355,42621
356,43843
357,43844
358,44895
359,44504
360,44968
361,44118
362,44529
363,45126
364,45128
365,40492
366,45183
367,44742
368,43937
369,45247
370,43821
371,44132
372,45307
373,45318
374,45319
375,44854
376,41117
377,45367
378,45368
379,45413
380,44845
381,45458
382,45129
383,45513
384,45514
385,45515
386,45245
387,45655
388,45738
389,45750
390,45772
391,44039
392,45837
393,44265
394,43570
395,45945
396,46079
397,45654
398,46083
399,46110
400,46109
401,46170
402,46190
403,46211
404,46214
405,46342
406,45842
407,45767
408,46005
409,45503
410,46433
411,46434
412,46432
413,45182
414,45176
415,46052
416,46078
417,46497
418,46499
419,42993
420,46550
421,46593
422,46507
423,46694
424,46273
425,43230
426,46737
427,46754
428,46757
429,46498
430,47019
431,46377
432,46604
433,47063
434,46295
435,47084
436,46672
437,47098
438,47099
439,47107
440,47187
441,47263
442,47264
443,47265
444,47266
445,45855
446,47312
447,47313
448,45978
449,46962
450,45970
451,47366
452,47367
453,46761
454,47447
455,47514
456,46206
457,47524
458,47553
459,47018
460,47097
461,47635
462,46675
463,46676
464,46677
465,47656
466,47689
467,47690
468,47666
469,47262
470,47768
471,47816
472,47825
473,46660
474,47875
475,47884
476,47885
477,47967
478,47968
479,47525
480,46603
481,48037
482,48058
483,48085
484,47966
485,48172
486,47805
487,47818
488,48230
489,48232
490,48233
491,48279
492,47120
493,48358
494,48359
495,48360
496,47922
497,48387
498,48374
499,48375
500,48376
501,48450
502,48431
503,48478
504,48128
505,47106
506,48562
507,48578
508,48657
509,48805
510,48806
511,48850
512,48911
513,47523
514,48922
515,48923
516,48924
517,48945
518,48946
519,48969
520,48970
521,48513
522,49023
523,49127
524,47652
525,49162
526,49200
527,49249
528,49268
529,49248
530,49333
531,48171
532,49520
533,49604
534,49605
535,49673
536,49726
537,49766
538,48394
539,49778
540,49792
541,49848
542,49849
543,49850
544,49851
545,49852
546,49865
547,49951
548,49923
549,50062
550,50071
551,50133
552,50166
553,50168
554,50189
555,50190
556,48463
557,50244
558,50262
559,50305
560,49805
561,48968
562,50366
563,50414
564,50415
565,50416
566,50417
567,50418
568,50500
569,50501
570,50502
571,50578
572,50599
573,50681
574,50696
575,50708
576,50713
577,47200
578,50767
579,50769
580,50771
581,50786
582,50800
583,50906
584,50941
585,50942
586,50967
587,50998
588,51056
589,51090
590,51091
591,51187
592,51183
593,51184
594,51235
595,51277
596,51278
597,50332
598,51325
599,51422
600,50447
601,51432
602,51434
603,51435
604,51436
605,51480
606,51485
607,50577
608,50893
609,51620
610,51621
611,51622
612,51662
613,50407
614,51652
615,51733
616,51793
617,51846
618,51859
619,51860
620,51897
621,51926
622,51966
623,52004
624,52005
625,52006
626,52085
627,52135
628,52150
629,52203
630,51402
631,52243
632,52244
633,52245
634,52247
635,52248
636,52286
637,52317
638,52403
639,52444
640,52445
641,52446
642,52447
643,52448
644,52471
645,52472
646,50474
647,52548
648,52576
649,52577
650,52609
651,52610
652,49538
653,52683
654,52684
655,52714
656,52751
657,51306
658,52358
659,52837
660,52845
661,52847
662,52897
663,52632
664,51623
665,52582
666,52961
667,52962
668,52963
669,52611
670,53000
671,53025
672,48354
673,48447
674,53082
675,53083
676,53091
677,53090
678,52903
679,53226
680,53242
681,53243
682,53250
683,52475
684,53356
685,53376
686,51975
687,53388
688,53048
689,53395
690,53412
691,53455
692,53126
693,53492
694,53493
695,53561
696,52674
697,53582
698,53583
699,52555
700,53623
701,53624
702,53651
703,53652
704,53743
705,53763
706,53798
707,53913
708,53916
709,53653
710,53655
711,53584
712,53648
713,53955
714,53956
715,53957
716,53958
717,54046
718,54139
719,53416
720,53797
721,53805
722,54383
723,54406
724,54407
725,53907
726,53914
727,53915
728,53840
729,54516
730,53967
731,53560
732,54536
733,54537
734,54551
735,54552
736,54611
737,54622
738,54623
739,54682
740,54683
741,54734
742,54372
743,54782
744,54348
745,54858
746,54859
747,54860
748,54879
749,54982
750,54983
751,54986
752,54527
753,55021
754,55089
755,55090
756,55091
757,55092
758,55139
759,55145
760,54880
761,55230
762,55244
763,55257
764,55264
765,55282
766,55299
767,53523
768,55385
769,55386
770,55405
771,55406
772,55048
773,55422
774,55039
775,55451
776,55452
777,55453
778,55211
779,55258
780,55260
781,55565
782,55566
783,55404
784,55606
785,55659
786,55660
787,55259
788,55699
789,54799
790,54399
791,55752
792,55753
793,55210
794,55859
795,55860
796,55861
797,55862
798,55888
799,55932
800,56004
801,51693
802,56115
803,55004
804,56190
805,56191
806,56248
807,56357
808,56358
809,55889
810,56453
811,56455
812,56457
813,56464
814,55049
815,56465
816,56466
817,56495
818,56516
819,51331
820,56556
821,56581
822,56600
823,56626
824,56665
825,56670
826,56734
827,56408
828,56823
829,56824
830,56842
831,52110
832,56979
833,56393
834,55890
835,57036
836,57037
837,57038
838,57047
839,57048
840,57063
841,57099
842,56554
843,56624
844,57130
845,57178
846,57179
847,57185
848,57216
849,57232
850,57233
851,57409
852,57416
853,56932
854,57446
855,57447
856,57464
857,57127
858,57565
859,57740
860,57231
861,57291
862,57292
863,57335
864,57373
865,57371
866,56278
867,56741
868,58155
869,58189
870,58190
871,56552
872,57304
873,57926
874,56553
875,58746
876,58945
877,58615
878,59570
879,59612
880,59648
881,59738
882,58912
883,59816
884,59430
885,59967
886,59180
887,59788
888,59464
889,27191
890,27198
891,27225
892,27228
893,27260
894,27114
895,27274
896,27303
897,27369
898,27400
899,27393
900,27446
901,27558
902,27447
903,27559
904,27557
905,27714
906,27600
907,27624
908,24924
909,27744
910,27743
911,27436
912,27870
913,27929
914,27935
915,27971
916,28010
917,28011
918,28012
919,28014
920,29369
921,28143
922,28120
923,28198
924,28277
925,28196
926,28271
927,28275
928,28273
929,28418
930,28347
931,28365
932,28370
933,28380
934,28386
935,28500
936,28051
937,28056
938,28507
939,28633
940,27725
941,28709
942,28710
943,28686
944,28684
945,28681
946,28685
947,28691
948,28498
949,28497
950,27166
951,26660
952,28175
953,28895
954,28898
955,28674
956,29024
957,29147
958,28179
959,29112
960,28678
961,29225
962,29223
963,25911
964,28314
965,29259
966,29261
967,29262
968,29351
969,29352
970,29457
971,26491
972,26493
973,26494
974,26495
975,26496
976,26497
977,26947
978,26948
979,29049
980,28698
981,29942
982,29977
983,29367
984,30104
985,24886
986,30255
987,24947
988,31589
989,29359
990,29365
991,24976
992,30451
993,30529
994,25086
995,30648
996,29650
997,29985
998,30692
999,30799
1000,30833
1001,30898
1002,30213
1003,30494
1004,27419
1005,27421
1006,27399
1007,27424
1008,29362
1009,31200
1010,27811
1011,27543
1012,30708
1013,30540
1014,25008
1015,25011
1016,25408
1017,25061
1018,25010
1019,25762
1020,30744
1021,31348
1022,28174
1023,27586
1024,25052
1025,27582
1026,25048
1027,25050
1028,25262
1029,31487
1030,29916
1031,25908
1032,31593
1033,30178
1034,31685
1035,30327
1036,30994
1037,31183
1038,30561
1039,31122
1040,26076
1041,25996
1042,30946
1043,26141
1044,26078
1045,25907
1046,26183
1047,26176
1048,31223
1049,31915
1050,30942
1051,26106
1052,26108
1053,26117
1054,26284
1055,26008
1056,26193
1057,26286
1058,26287
1059,26714
1060,26502
1061,26501
1062,26424
1063,26427
1064,26588
1065,26457
1066,26867
1067,26875
1068,26923
1069,26688
1070,32607
1071,32637
1072,28560
1073,28668
1074,28666
1075,28669
1076,26962
1077,26998
1078,28659
1079,28604
1080,27067
1081,27167
1082,27180
1083,33089
1084,33090
1085,33091
1086,33096
1087,28664
1088,28661
1089,30446
1090,28665
1091,33305
1092,27959
1093,27715
1094,27229
1095,32563
1096,27235
1097,27961
1098,27243
1099,32860
1100,32635
1101,28087
1102,31923
1103,28048
1104,28003
1105,32531
1106,32205
1107,33260
1108,27867
1109,32312
1110,33162
1111,34049
1112,27265
1113,28009
1114,28126
1115,28398
1116,28652
1117,28392
1118,28637
1119,29408
1120,27795
1121,27793
1122,27792
1123,28471
1124,28466
1125,28459
1126,28455
1127,28156
1128,28577
1129,28166
1130,27931
1131,28237
1132,27994
1133,28205
1134,28199
1135,27263
1136,27755
1137,27836
1138,28302
1139,27742
1140,27856
1141,28037
1142,27872
1143,27718
1144,27966
1145,28181
1146,30925
1147,28133
1148,34813
1149,27454
1150,34103
1151,27282
1152,28563
1153,30411
1154,33255
1155,30496
1156,32929
1157,30525
1158,28403
1159,28451
1160,28393
1161,28423
1162,28425
1163,28431
1164,28434
1165,28295
1166,28429
1167,28535
1168,28447
1169,28483
1170,28488
1171,28469
1172,28576
1173,28564
1174,28567
1175,32501
1176,28116
1177,27445
1178,28446
1179,28252
1180,28260
1181,27366
1182,28433
1183,28259
1184,28253
1185,28064
1186,31177
1187,28223
1188,28220
1189,28167
1190,27741
1191,28361
1192,28154
1193,28197
1194,28021
1195,28528
1196,27553
1197,28315
1198,27478
1199,28153
1200,27473
1201,27471
1202,27993
1203,27464
1204,28359
1205,27760
1206,27968
1207,27459
1208,27967
1209,31919
1210,32019
1211,27995
1212,28104
1213,27833
1214,27252
1215,27885
1216,27905
1217,28075
1218,27255
1219,27965
1220,28030
1221,28094
1222,28078
1223,27896
1224,27842
1225,27776
1226,27930
1227,28206
1228,27889
1229,27810
1230,27276
1231,27837
1232,28042
1233,27699
1234,27774
1235,27812
1236,27748
1237,27750
1238,27751
1239,27763
1240,27949
1241,29547
1242,28578
1243,27874
1244,28660
1245,28518
1246,27716
1247,27933
1248,27585
1249,27981
1250,27583
1251,27622
1252,27710
1253,28249
1254,27517
1255,27844
1256,27499
1257,27524
1258,27521
1259,27598
1260,27990
1261,27273
1262,28236
1263,27537
1264,27838
1265,27278
1266,28405
1267,28348
1268,27779
1269,27676
1270,28510
1271,28539
1272,28443
1273,28537
1274,28558
1275,28274
1276,28353
1277,28462
1278,28239
1279,28146
1280,28262
1281,27803
1282,28303
1283,28297
1284,27504
1285,27350
1286,27584
1287,27396
1288,27410
1289,27771
1290,27587
1291,28063
1292,28346
1293,27708
1294,27909
1295,28616
1296,27958
1297,30481
1298,27864
1299,27992
1300,27538
1301,27411
1302,30283
1303,34838
1304,35434
1305,35494
1306,26963
1307,27217
1308,27068
1309,26954
1310,27802
1311,27707
1312,27998
1313,28066
1314,28055
1315,28044
1316,28540
1317,27746
1318,37118
1319,36112
1320,36391
1321,36200
1322,34526
1323,37284
1324,36514
1325,35732
1326,27809
1327,30842
1328,31084
1329,36414
1330,37441
1331,37684
1332,39249
1333,34391
1334,39046
1335,40625
1336,41678
1337,45027
1338,49183
1339,49025
1340,49397
1341,48316
1342,49639
1343,54151
1344,54152
1345,54155
1346,54156
1347,54157
1348,54158
1349,54159
1350,54160
1351,54161
1352,54162
1353,54164
1354,54165
1355,54166
1356,54167
1357,54168
1358,54169
1359,54171
1360,54173
1361,54174
1362,54184
1363,54186
1364,54188
1365,54191
1366,54192
1367,52083
1368,54418
1369,53635
1370,53858
1371,56284
1372,58631
1373,59742
1374,57818
1375,59732
1376,27784
1377,27361
1378,27425
1379,27448
1380,27603
1381,27780
1382,27766
1383,27906
1384,27437
1385,28152
1386,28214
1387,28254
1388,28256
1389,28340
1390,28268
1391,28565
1392,28493
1393,28272
1394,27782
1395,28842
1396,28865
1397,28874
1398,28876
1399,29274
1400,29378
1401,28076
1402,29134
1403,30398
1404,29600
1405,29601
1406,28089
1407,30115
1408,30191
1409,29804
1410,30753
1411,29852
1412,29671
1413,29799
1414,29800
1415,30717
1416,30043
1417,30462
1418,28794
1419,30415
1420,25984
1421,30715
1422,31011
1423,31012
1424,30954
1425,31020
1426,31069
1427,26278
1428,31135
1429,31137
1430,28412
1431,31164
1432,30710
1433,25982
1434,31087
1435,31392
1436,31407
1437,28131
1438,31524
1439,31619
1440,31644
1441,31650
1442,31769
1443,31654
1444,31881
1445,31885
1446,26074
1447,31812
1448,26747
1449,32007
1450,32332
1451,31750
1452,32477
1453,32347
1454,32391
1455,32594
1456,32699
1457,32695
1458,32792
1459,32750
1460,32850
1461,32880
1462,32857
1463,32851
1464,32958
1465,32957
1466,32946
1467,32974
1468,30074
1469,33059
1470,33136
1471,33166
1472,33175
1473,33176
1474,33177
1475,33262
1476,33200
1477,33304
1478,33307
1479,33385
1480,33411
1481,33412
1482,33004
1483,31484
1484,33491
1485,33058
1486,33621
1487,33584
1488,33145
1489,33279
1490,34035
1491,34014
1492,34025
1493,34046
1494,34043
1495,33536
1496,33537
1497,33829
1498,33915
1499,33190
1500,34192
1501,33979
1502,34308
1503,34336
1504,34317
1505,34320
1506,34343
1507,34340
1508,34399
1509,34128
1510,34513
1511,34505
1512,34555
1513,34130
1514,34274
1515,34577
1516,34594
1517,34595
1518,33350
1519,34688
1520,34156
1521,28138
1522,32134
1523,34729
1524,34553
1525,32326
1526,34122
1527,27712
1528,34842
1529,28097
1530,27976
1531,28245
1532,28211
1533,34611
1534,34885
1535,27723
1536,33616
1537,34318
1538,34957
1539,35071
1540,30426
1541,34952
1542,30470
1543,35256
1544,35303
1545,31549
1546,34562
1547,35230
1548,35222
1549,35632
1550,35621
1551,35622
1552,35589
1553,35591
1554,35592
1555,35593
1556,35689
1557,35720
1558,34681
1559,35780
1560,35803
1561,28000
1562,35576
1563,28208
1564,35668
1565,35669
1566,27786
1567,30339
1568,30888
1569,36044
1570,35725
1571,35726
1572,29685
1573,33395
1574,35790
1575,35791
1576,30478
1577,36314
1578,36320
1579,36167
1580,36339
1581,36362
1582,36176
1583,36177
1584,36410
1585,36467
1586,36478
1587,36520
1588,36534
1589,35529
1590,36373
1591,36374
1592,36335
1593,36270
1594,36376
1595,36576
1596,36575
1597,36381
1598,36407
1599,34260
1600,36625
1601,36477
1602,36654
1603,36667
1604,36704
1605,36716
1606,36719
1607,36729
1608,36742
1609,36816
1610,35437
1611,36988
1612,37014
1613,36705
1614,36838
1615,37075
1616,37141
1617,37143
1618,37188
1619,37186
1620,36778
1621,36779
1622,36780
1623,37240
1624,36295
1625,35410
1626,37455
1627,37588
1628,37137
1629,37751
1630,37781
1631,37714
1632,37785
1633,37873
1634,37512
1635,37513
1636,37392
1637,38068
1638,35367
1639,35817
1640,38014
1641,35731
1642,38256
1643,38237
1644,37716
1645,38357
1646,37184
1647,37851
1648,35542
1649,35138
1650,37169
1651,37167
1652,38460
1653,38524
1654,38556
1655,35577
1656,38574
1657,38160
1658,38605
1659,38573
1660,38718
1661,35296
1662,38594
1663,38840
1664,38879
1665,35578
1666,38878
1667,36828
1668,38520
1669,39043
1670,37942
1671,38476
1672,37308
1673,39213
1674,39306
1675,39448
1676,34561
1677,39152
1678,39496
1679,39656
1680,39642
1681,39645
1682,39715
1683,37539
1684,39767
1685,39789
1686,39811
1687,39821
1688,39830
1689,38281
1690,39864
1691,39865
1692,37345
1693,38482
1694,39873
1695,39925
1696,39949
1697,39842
1698,38536
1699,39841
1700,38479
1701,40010
1702,39291
1703,39168
1704,40065
1705,40090
1706,40067
1707,40098
1708,40103
1709,40105
1710,40106
1711,40107
1712,40066
1713,40108
1714,40159
1715,37264
1716,40171
1717,39251
1718,39209
1719,40272
1720,40280
1721,40282
1722,40283
1723,37402
1724,37620
1725,39224
1726,39937
1727,39264
1728,38339
1729,38338
1730,40525
1731,38129
1732,40338
1733,39835
1734,40501
1735,39176
1736,38389
1737,36268
1738,36269
1739,36195
1740,40961
1741,39444
1742,37536
1743,36239
1744,38392
1745,39431
1746,40416
1747,39469
1748,39199
1749,43166
1750,42771
1751,39394
1752,43263
1753,40365
1754,39950
1755,46900
1756,51600
1757,56888
1758,26305
1759,26371
1760,29099
1761,31227
1762,29781
1763,34184
1764,34188
1765,34185
1766,34189
1767,33692
1768,33966
1769,34187
1770,30039
1771,34582
1772,37761
1773,38904
1774,39987
1775,40579
1776,39604
1777,42630
1778,44953
1779,41727
1780,44221
1781,42456
1782,46785
1783,42955
1784,44954
1785,46872
1786,46367
1787,49398
1788,49131
1789,49132
1790,50586
1791,51654
1792,52623
1793,52089
1794,51945
1795,52692
1796,53927
1797,53934
1798,54553
1799,52662
1800,52992
1801,51651
1802,53084
1803,55288
1804,55863
1805,51833
1806,57108
1807,56817
1808,58951
1809,56173
1810,57398
1811,58837
1812,59486
1813,60056
1814,60147
1815,34154
1816,57369
1817,57056
1818,27223
1819,27224
1820,27202
1821,27234
1822,27237
1823,27244
1824,25087
1825,27272
1826,26799
1827,27266
1828,27270
1829,27245
1830,27398
1831,27289
1832,27381
1833,27341
1834,27363
1835,27368
1836,27359
1837,27347
1838,27339
1839,27380
1840,27379
1841,27390
1842,26642
1843,27415
1844,27402
1845,27414
1846,27510
1847,27508
1848,27406
1849,26462
1850,27405
1851,27403
1852,27408
1853,27418
1854,27413
1855,25900
1856,27416
1857,28538
1858,27441
1859,27420
1860,27429
1861,27422
1862,27423
1863,27030
1864,27534
1865,27520
1866,27560
1867,27532
1868,27721
1869,27563
1870,27542
1871,27523
1872,27550
1873,27635
1874,27681
1875,27727
1876,27722
1877,26673
1878,27726
1879,27719
1880,27770
1881,27816
1882,27745
1883,27756
1884,27818
1885,27916
1886,24786
1887,27817
1888,27832
1889,27828
1890,27860
1891,27861
1892,27866
1893,27509
1894,27783
1895,27772
1896,27911
1897,27134
1898,27915
1899,27491
1900,28034
1901,27918
1902,27927
1903,28008
1904,27460
1905,27954
1906,27970
1907,27973
1908,28027
1909,26116
1910,27529
1911,28472
1912,28588
1913,28590
1914,28591
1915,28592
1916,28017
1917,28032
1918,28033
1919,27768
1920,27769
1921,28077
1922,28086
1923,28091
1924,28139
1925,27731
1926,28171
1927,27729
1928,28157
1929,28331
1930,28320
1931,28185
1932,28168
1933,28210
1934,27493
1935,28235
1936,26943
1937,28200
1938,28209
1939,28246
1940,27815
1941,28257
1942,28238
1943,28276
1944,28267
1945,28333
1946,28305
1947,28337
1948,28313
1949,28349
1950,28317
1951,26904
1952,28354
1953,27773
1954,28390
1955,28402
1956,28404
1957,28373
1958,28372
1959,28399
1960,28414
1961,28397
1962,28428
1963,27831
1964,28467
1965,28509
1966,28301
1967,27535
1968,28480
1969,28519
1970,28523
1971,28300
1972,28520
1973,28551
1974,28553
1975,28573
1976,28594
1977,28595
1978,28555
1979,28587
1980,28634
1981,28640
1982,28619
1983,28621
1984,28605
1985,28606
1986,28299
1987,28589
1988,28679
1989,27813
1990,27757
1991,27527
1992,28672
1993,28721
1994,28765
1995,28785
1996,28715
1997,28728
1998,28508
1999,28767
2000,28827
2001,28828
2002,27882
2003,27735
2004,28060
2005,27431
2006,27430
2007,28847
2008,28839
2009,28846
2010,27807
2011,28854
2012,27843
