Level 1 Term,Level 2 Term,Level 3 Term,Code,Definition,Non-IMDRF Code/Term,Status,Status Description,CodeHierarchy
Patient Device Interaction Problem,,,A01,Problem related to the interaction between the patient and the device.,,,,A01
,Patient-Device Incompatibility,,A0101,Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.,,,,A01|A0101
,,Biocompatibility,A010101,Problem associated with undesirable local or systemic effects due to exposure to medical device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.,,,,A01|A0101|A010101
,,Device Appears to Trigger Rejection,A010102,"The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device.",,,,A01|A0101|A010102
,,Inadequacy of Device Shape and/or Size,A010103,The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.,,,,A01|A0101|A010103
,Osseointegration Problem,,A0102,Problem associated with interconnection between the bone tissue and the implanted device.,,,,A01|A0102
,,Failure to Osseointegrate,A010201,Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.,,,,A01|A0102|A010201
,,Loss of Osseointegration,A010202,Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. Loosening/Lysis,,,,A01|A0102|A010202
,Loosening of Implant Not Related to Bone-Ingrowth,,A0103,Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.,,,,A01|A0103
,Migration or Expulsion of Device,,A0104,"Problem with an implanted or invasive device moving within the body, or being completely expelled from the body.",,,,A01|A0104
,,Expulsion,A010401,Problem with all or part of an implanted or invasive device being completely expelled from its intended location within the body.,,,,A01|A0104|A010401
,,Migration,A010402,Problem with all or part of an implanted or invasive device moving from its intended location within the body.,,,,A01|A0104|A010402
"Manufacturing, Packaging or Shipping Problem",,,A02,"Problem associated with any deviations from the documented specifications of the device that relate to nonconformity during manufacture to the design of an item or to specified manufacturing, packaging or shipping processes (out of box problem).",,,,A02
,Product Quality Problem,,A0201,Problem associated with an inherent device characteristic that is not satisfactory as specified or delivered.,,,,A02|A0201
,,"Dull, Blunt",A020101,Problem associated with a device not being as sharp as intended or expected.,,,,A02|A0201|A020101
