Manufacturer,count,Manufacturer_ID,simple_manufacturer
Boston Scientific Corporation,772,1,boston scientific
Alcon Laboratories Inc,715,2,alcon laboratories
Philips Medical Systems,650,3,philips
DexCom Incorporated,528,4,dexcom
Depuy Orthopaedic Inc,494,5,depuy orthopaedic
Cardiac Pacemakers Inc,478,6,cardiac pacemakers
Abbott Vascular,465,7,abbott vascular
Cochlear Ltd,411,8,cochlear
St Jude Medical Cardiac Rhythm Management Division USA,369,9,st jude cardiac rhythm management division usa
Covidien llc,355,10,covidien
Roche Diabetes Care GmbH,349,11,roche diabetes care gmbh
Beckman Coulter Inc,338,12,beckman coulter
Allergan,328,13,allergan
HeartWare Inc,321,14,heartware
Smith & Nephew Inc Orthopaedic Division,315,15,smith nephew orthopaedic division
Cook Incorporated,271,16,cook
Ethicon Endo Surgery LLC,261,17,ethicon endo surgery
Howmedica Osteonics Corporation,253,18,howmedica osteonics
Bard Access Systems Inc,225,19,bard access
Biomet Orthopedics Inc,200,20,biomet orthopedics
Cochlear Bone Anchored Solutions AB,198,21,cochlear bone anchored solutions ab
Biotronik SE & Co KG,197,22,biotronik se kg
Boston Scientific Neuromodulation Corporation,190,23,boston scientific neuromodulation
Applied Medical Resources,180,24,applied resources
Fresenius Kabi AG,180,25,fresenius kabi ag
Physio-Control Inc,160,26,physio control
Ethicon SARL Switzerland,159,27,ethicon sarl switzerland
Olympus Medical Systems Corporation,156,28,olympus
W L Gore & Assoc Inc,146,29,w l gore assoc
Advanced Neuromodulation Systems Inc,140,30,advanced neuromodulation
ArjoHuntleigh AB,135,31,arjohuntleigh ab
Abbott Vascular Inc,133,32,abbott vascular
Cardiac Pacemakers Inc (A wholly owned subs of Guidant Corp A wholly owned subs of Boston Scientific Corp),128,33,cardiac pacemakers a wholly owned subs of guidant corp a wholly owned subs of boston scientific corp
Limacorporate Spa,127,34,limacorporate spa
Synthes GmbH,123,35,synthes gmbh
Alcon GPS - WaveLight GmbH,121,36,alcon gps wavelight gmbh
Fresenius Medical Care AG & Co KGaA,121,37,fresenius care ag kgaa
Biomet UK Ltd,120,38,biomet uk
ICU Medical Inc,115,39,icu
Zimmer Inc,111,40,zimmer
Smith & Nephew Orthopaedics Limited,110,41,smith nephew orthopaedics
St Jude Medical,110,42,st jude
Medtronic Inc,109,43,medtronic
Medacta International SA,106,44,medacta sa
Global Manufacturing Technology Pty Ltd,105,45,global manufacturing
Fisher & Paykel Healthcare Ltd,99,46,fisher paykel
Medtronic Minimed,95,47,medtronic minimed
Edwards Lifesciences LLC,88,48,edwards lifesciences
Omni Life Science Inc,86,49,omni life science
Depuy France SAS,84,50,depuy france sas
Bayer Healthcare LLC,83,51,bayer
Biosense Webster Inc,83,52,biosense webster
American Medical Systems Inc,81,53,american
Alere San Diego Inc,79,54,alere san diego
Atrium Medical Corporation,78,55,atrium
CareFusion Switzerland 317 Sarl,77,56,carefusion switzerland 317 sarl
Nevro Corporation,76,57,nevro
Lifescan Inc,73,58,lifescan
Depuy International,71,59,depuy
Alcon Laboratories,70,60,alcon laboratories
Baxter Healthcare SA,70,61,baxter sa
Radiometer Medical APS,70,62,radiometer aps
Hospira Inc,66,63,hospira
Abbott Laboratories Abbott Vascular Inc,65,64,abbott laboratories abbott vascular
Cardiac Pacemakers Incorporated (A wholly owned subsidiary of Guidant Corporation A wholly owned subsidiary of Boston Scientific Corporation),65,65,cardiac pacemakers a wholly owned subsidiary of guidant a wholly owned subsidiary of boston scientific corporation
MicroPort Orthopedics Inc,60,66,microport orthopedics
Corin Limited,59,67,corin
Genzyme Biosurgery,59,68,genzyme biosurgery
Coloplast AS,58,69,coloplast as
Boston Scientific CRM,56,70,boston scientific crm
Ethicon LLC,56,71,ethicon
Mentor Texas,55,72,mentor texas
Medos International Sarl,54,73,medos sarl
Roche Diagnostics GmbH,54,74,roche diagnostics gmbh
Q-Med AB,53,75,q med ab
Arrow International Inc,52,76,arrow
K2M Inc,51,77,k2m
Mentor Medical Systems BV,51,78,mentor bv
Bard Peripheral Vascular Inc,50,79,bard peripheral vascular
American Medical Systems,49,80,american
LivaNova Canada Corp,49,81,livanova canada corp
Med-El Elektromedizinische Geraete GmbH,49,82,med el elektromedizinische geraete gmbh
Alere Medical Co Ltd,48,83,alere
Arthrocare Corporation,48,84,arthrocare
Datascope Corp,48,85,datascope corp
Depuy Orthopaedics Inc,47,86,depuy orthopaedics
Animas Corporation,46,87,animas
Alcon Laboratories Incorporated,45,88,alcon laboratories
Cordis Corp,45,89,cordis corp
GI Dynamics Inc,45,90,gi dynamics
Nuvasive Inc,45,91,nuvasive
Biomet Orthopedics,42,92,biomet orthopedics
Biotronik AG,42,93,biotronik ag
Zimmer GmbH,42,94,zimmer gmbh
Arthrex Inc,41,95,arthrex
B Braun Melsungen AG,41,96,b braun melsungen ag
Biomet Spain Orthopaedics SL,40,97,biomet spain orthopaedics sl
Depuy Spine Inc,40,98,depuy spine
Ethicon SARL (Switzerland),40,99,ethicon sarl switzerland
Gambro Lundia AB Monitor Division,40,100,gambro lundia ab monitor division
C R Bard Inc,39,101,c r bard
Fresenius Medical Care Australia Pty Ltd,39,102,fresenius care australia
Johnson & Johnson International,39,103,johnson johnson
William Cook Europe A/S,39,104,william cook europe a s
ConMed Corporation,38,105,conmed
Q-Core Medical Ltd,38,106,q core
Halyard Health Inc,37,107,halyard health
Stryker Trauma GmbH,37,108,stryker trauma gmbh
Carl Zeiss Meditec AG,36,109,carl zeiss meditec ag
Hologic Inc,35,110,hologic
Smiths Medical ASD Incorporated,35,111,smiths asd
Abbott Diabetes Care Inc,34,112,abbott diabetes care
Benoist Girard,34,113,benoist girard
Davol Inc Subsidiary of C R Bard Inc,34,114,davol subsidiary of c r bard
Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,34,115,ethicon t a gynecare johnson johnson wound mgt ethicon wmns hth urology
Wilson-Cook Medical Inc,34,116,wilson cook
American Medical Systems Innovation Centre - Silicon Valley,33,117,american innovation centre silicon valley
Convatec Limited,33,118,convatec
Dermik Laboratories Inc,33,119,dermik laboratories
DePuy Orthopaedic Inc,32,120,depuy orthopaedic
Innovacon Inc,32,121,innovacon
Gambro Dasco SPA Medolla Facility,31,122,gambro dasco spa medolla facility
Siemens Healthcare Diagnostics Inc,31,123,siemens diagnostics
Acutronic Medical Systems AG,30,124,acutronic ag
Codman & Shurtleff Inc (Massachusetts),30,125,codman shurtleff massachusetts
Cook Ireland Ltd,30,126,cook ireland
"HeartWare, Inc",30,127,heartware
Lars,30,128,lars
Evalve Inc,29,129,evalve
Sorin Group Deutschland GmbH,29,130,sorin group deutschland gmbh
LivaNova USA Inc,28,131,livanova usa
Philips Medical Systems (USA),28,132,philips usa
Unomedical AS Infusion Devices,28,133,unomedical as infusion devices
Abbott GmbH & Co KG,27,134,abbott gmbh kg
Cochlear Limited,27,135,cochlear
Depuy Mitek (a Johnson & Johnson Company),27,136,depuy mitek a johnson johnson company
Implantcast GmbH,27,137,implantcast gmbh
Smiths Medical ASD Inc,27,138,smiths asd
Spinal Kinetics Inc,27,139,spinal kinetics
Datex-Ohmeda,26,140,datex ohmeda
Finsbury Orthopaedics Ltd,26,141,finsbury orthopaedics
Huntleigh Healthcare Pty Ltd,26,142,huntleigh
Maco Pharma,26,143,maco pharma
Multigate Medical Products Pty Ltd,26,144,multigate
Thoratec Corporation,26,145,thoratec
AGA Medical Corporation,25,146,aga
Exactech Inc,25,147,exactech
Glaukos Corporation,25,148,glaukos
Gyrus Acmi Inc,25,149,gyrus acmi
Integra Lifesciences Corporation,25,150,integra lifesciences
Rayner Intraocular Lenses Ltd,25,151,rayner intraocular lenses
Zoll Medical Corporation,25,152,zoll
Alcon Laboratories Pty Ltd,24,153,alcon laboratories
AngioDynamics Inc,24,154,angiodynamics
Bausch & Lomb Inc,24,155,bausch lomb
Ethicon Inc T/a Gynecare Johnson & Johnson Wound M,24,156,ethicon t a gynecare johnson johnson wound m
Global Manufacturing Technology Europe Ltd,24,157,global manufacturing europe
HeartWare,24,158,heartware
Merit Medical Systems Inc,24,159,merit
Micro Therapeutics Inc dba ev3 Neurovascular,24,160,micro therapeutics dba ev3 neurovascular
Penumbra Inc,24,161,penumbra
Stegemann Hand Arbeit & Services,24,162,stegemann hand arbeit services
Boston Scientific,23,163,boston scientific
Corin Medical A Division Of Corin Ltd,23,164,corin a division of corin
Cyberonics Inc,23,165,cyberonics
Stryker GmbH,23,166,stryker gmbh
Allergan Inc,22,167,allergan
Apollo Endosurgery Inc,22,168,apollo endosurgery
DePuy International Ltd,22,169,depuy
GE Medical Systems Information Technologies,22,170,ge information technologies
MAKO Surgical Corp,22,171,mako corp
Mentor,22,172,mentor
Teleflex Medical,22,173,teleflex
Becton Dickinson Infusion Therapy Systems Inc,21,174,becton dickinson infusion therapy
Maquet Cardiopulmonary AG,21,175,maquet cardiopulmonary ag
Unomedical Sdn Bhd,21,176,unomedical sdn bhd
Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,20,177,abbott laboratories vascular enterprises dublin beringen branch
Atritech Inc,20,178,atritech
CareFusion 303 Inc,20,179,carefusion 303
Huntleigh Healthcare Nesbit Evans Products Division,20,180,huntleigh nesbit evans division
Integra LifeSciences (Ireland) Ltd,20,181,integra lifesciences ireland
LivaNova Deutschland GmbH,20,182,livanova deutschland gmbh
Becton Dickinson & Company,19,183,becton dickinson company
Silimed Industria de Implantes LTDA,19,184,silimed industria de implantes ltda
Tornier SAS,19,185,tornier sas
United States Surgical (USS) A division of Tyco Healthcare Group LP,19,186,united states uss a division of tyco group lp
Ethicon Inc,18,187,ethicon
Medline Industries Inc,18,188,medline
The Spectranetics Corporation,18,189,the spectranetics
Alcon LenSx Inc,17,190,alcon lensx
Codman & Shurtleff Inc Massachusetts,17,191,codman shurtleff massachusetts
Codman and Shurtleff Inc,17,192,codman and shurtleff
GE Healthcare Finland Oy,17,193,ge finland oy
