,0
0,26081
1,27675
2,27863
3,27873
4,28046
5,26130
6,26822
7,26825
8,25936
9,28505
10,27567
11,27730
12,28799
13,28891
14,28813
15,28501
16,27690
17,29232
18,29433
19,28341
20,29311
21,29911
22,29912
23,29859
24,29834
25,30079
26,29593
27,30196
28,30277
29,29940
30,30112
31,30416
32,30987
33,30524
34,30382
35,29823
36,30523
37,29749
38,30656
39,30867
40,30205
41,30927
42,30721
43,30649
44,31349
45,31478
46,31492
47,31525
48,30696
49,31575
50,31332
51,31640
52,31658
53,31800
54,28575
55,27362
56,27360
57,31877
58,32027
59,26405
60,32138
61,32139
62,31310
63,32225
64,32227
65,32287
66,32273
67,32278
68,32280
69,32281
70,26751
71,32295
72,32334
73,32285
74,26813
75,32274
76,32593
77,31053
78,31601
79,32405
80,31523
81,33012
82,33213
83,33308
84,33309
85,33347
86,33370
87,32811
88,33474
89,33425
90,33649
91,33673
92,33720
93,33465
94,33715
95,34071
96,33891
97,30455
98,33978
99,34053
100,29545
101,29438
102,33936
103,34491
104,34448
105,34740
106,34541
107,34573
108,34280
109,34381
110,31194
111,34719
112,32993
113,34445
114,34789
115,34794
116,29065
117,33920
118,32661
119,33315
120,33749
121,34841
122,34843
123,34913
124,32936
125,34938
126,30697
127,30698
128,33700
129,35162
130,33834
131,35261
132,35325
133,34326
134,30939
135,35184
136,35557
137,35619
138,35196
139,30611
140,30699
141,32082
142,35765
143,35209
144,32189
145,35956
146,32922
147,35816
148,36169
149,35861
150,35955
151,32859
152,36324
153,36385
154,36386
155,36422
156,36511
157,31051
158,35692
159,36675
160,36196
161,29886
162,36901
163,36913
164,36897
165,35674
166,34019
167,36903
168,37159
169,33568
170,30125
171,37520
172,37652
173,37653
174,37717
175,37882
176,37939
177,35235
178,38010
179,38088
180,38132
181,35197
182,31195
183,38320
184,38401
185,38398
186,37841
187,35485
188,38585
189,37618
190,38638
191,38659
192,38730
193,38733
194,38793
195,38342
196,35559
197,36489
198,36400
199,39041
200,39436
201,39744
202,39858
203,38333
204,39271
205,39878
206,40239
207,38204
208,38203
209,34991
210,40438
211,40465
212,39625
213,40500
214,35122
215,39314
216,40881
217,40955
218,41005
219,40636
220,40080
221,41246
222,40589
223,40874
224,40900
225,40901
226,40902
227,40903
228,41316
229,40915
230,40876
231,35215
232,39481
233,40833
234,40052
235,41706
236,41238
237,41310
238,41281
239,41308
240,41309
241,41778
242,40564
243,41832
244,40971
245,41383
246,41407
247,41408
248,41462
249,41488
250,41830
251,36166
252,40753
253,41969
254,41975
255,40254
256,41732
257,41941
258,42010
259,42039
260,40875
261,36344
262,41773
263,42168
264,41064
265,42267
266,41963
267,41324
268,41958
269,41974
270,41988
271,38769
272,42400
273,41828
274,42098
275,42122
276,37607
277,38332
278,38889
279,40146
280,42574
281,42579
282,42580
283,42728
284,41643
285,42328
286,42778
287,42329
288,42352
289,42495
290,36349
291,41829
292,43009
293,43076
294,42744
295,41337
296,42753
297,43221
298,42819
299,43228
300,43229
301,43248
302,43364
303,43337
304,43338
305,42820
306,43362
307,43361
308,43406
309,42863
310,37434
311,43514
312,43547
313,43548
314,43592
315,43593
316,43309
317,43773
318,43754
319,43259
320,43922
321,43947
322,42737
323,43399
324,44018
325,44019
326,44020
327,44038
328,44079
329,44080
330,44082
331,43810
332,43474
333,43551
334,43591
335,44135
336,44202
337,44229
338,44279
339,43938
340,44505
341,44565
342,44566
343,44201
344,44354
345,44790
346,44810
347,44825
348,42621
349,43843
350,43844
351,44895
352,44504
353,44968
354,44118
355,44529
356,45126
357,45128
358,40492
359,45183
360,44742
361,43937
362,45247
363,43821
364,44132
365,45307
366,45318
367,45319
368,44854
369,41117
370,45367
371,45413
372,44845
373,45458
374,45129
375,45513
376,45514
377,45515
378,45245
379,45655
380,45738
381,45750
382,45772
383,44039
384,45837
385,44265
386,43570
387,45945
388,46079
389,45654
390,46083
391,46110
392,46170
393,46190
394,46211
395,46214
396,46342
397,45842
398,45767
399,46005
400,45503
401,46433
402,46432
403,45182
404,45176
405,46052
406,46497
407,46499
408,42993
409,46550
410,46593
411,46507
412,46694
413,46273
414,43230
415,46737
416,46754
417,46757
418,46498
419,47019
420,46377
421,46604
422,47063
423,46295
424,47084
425,46672
426,47098
427,47099
428,47107
429,47187
430,47263
431,47264
432,45855
433,47312
434,45978
435,46962
436,45970
437,47366
438,46761
439,47447
440,47514
441,46206
442,47524
443,47553
444,47018
445,47097
446,47635
447,46675
448,47656
449,47689
450,47690
451,47666
452,47262
453,47768
454,47816
455,47825
456,46660
457,47875
458,47884
459,47885
460,47967
461,47968
462,47525
463,46603
464,48037
465,48058
466,48085
467,47966
468,48172
469,47805
470,47818
471,48230
472,48279
473,47120
474,48358
475,48359
476,48360
477,47922
478,48387
479,48374
480,48450
481,48431
482,48478
483,48128
484,47106
485,48562
486,48578
487,48657
488,48805
489,48850
490,48911
491,47523
492,48922
493,48923
494,48945
495,48946
496,48969
497,48970
498,48513
499,49023
500,49127
501,47652
502,49162
503,49200
504,49249
505,49268
506,49248
507,49333
508,48171
509,49520
510,49604
511,49673
512,49726
513,49766
514,48394
515,49778
516,49792
517,49848
518,49865
519,49951
520,49923
521,50062
522,50071
523,50133
524,50166
525,50168
526,50189
527,48463
528,50244
529,50262
530,50305
531,49805
532,48968
533,50366
534,50414
535,50415
536,50416
537,50500
538,50501
539,50578
540,50599
541,50681
542,50696
543,50708
544,50713
545,47200
546,50767
547,50769
548,50771
549,50786
550,50800
551,50906
552,50941
553,50942
554,50967
555,50998
556,51056
557,51090
558,51187
559,51183
560,51184
561,51235
562,51277
563,50332
564,51325
565,51422
566,50447
567,51432
568,51434
569,51435
570,51480
571,51485
572,50577
573,50893
574,51620
575,51621
576,51622
577,51662
578,50407
579,51652
580,51733
581,51793
582,51846
583,51859
584,51897
585,51926
586,51966
587,52004
588,52005
589,52006
590,52085
591,52135
592,52150
593,52203
594,51402
595,52243
596,52244
597,52286
598,52317
599,52403
600,52444
601,52446
602,52471
603,50474
604,52548
605,52576
606,52577
607,52609
608,52610
609,49538
610,52683
611,52684
612,52714
613,52751
614,51306
615,52358
616,52837
617,52845
618,52897
619,52632
620,51623
621,52582
622,52961
623,52611
624,53000
625,53025
626,48354
627,48447
628,53082
629,53083
630,53091
631,53090
632,52903
633,53226
634,53242
635,52475
636,53356
637,53376
638,51975
639,53388
640,53048
641,53395
642,53412
643,53455
644,53126
645,53492
646,53493
647,53561
648,52674
649,53582
650,53583
651,52555
652,53623
653,53624
654,53651
655,53743
656,53763
657,53798
658,53913
659,53916
660,53653
661,53655
662,53648
663,53955
664,53958
665,54046
666,54139
667,53416
668,53797
669,53805
670,54383
671,54406
672,54407
673,53907
674,53914
675,53840
676,54516
677,53967
678,53560
679,54536
680,54552
681,54611
682,54622
683,54623
684,54682
685,54734
686,54372
687,54782
688,54348
689,54858
690,54859
691,54860
692,54879
693,54982
694,54527
695,55021
696,55089
697,55090
698,55091
699,55145
700,54880
701,55230
702,55244
703,55257
704,55264
705,55299
706,53523
707,55385
708,55386
709,55405
710,55048
711,55039
712,55451
713,55211
714,55258
715,55565
716,55404
717,55606
718,55659
719,55259
720,55699
721,54799
722,54399
723,55752
724,55210
725,55859
726,55888
727,55932
728,56004
729,51693
730,56115
731,55004
732,56190
733,56191
734,56248
735,56357
736,56453
737,56455
738,56457
739,56464
740,55049
741,56465
742,56466
743,56495
744,56516
745,51331
746,56556
747,56581
748,56626
749,56665
750,56670
751,56734
752,56408
753,56823
754,56842
755,52110
756,56979
757,56393
758,55890
759,57036
760,57038
761,57047
762,57063
763,57099
764,56554
765,56624
766,57130
767,57178
768,57179
769,57216
770,57232
771,57409
772,57416
773,56932
774,57446
775,57447
776,57464
777,57127
778,57565
779,57740
780,57231
781,57291
782,57335
783,57373
784,57371
785,56278
786,56741
787,58155
788,58189
789,58190
790,56552
791,57304
792,57926
793,56553
794,58746
795,58945
796,58615
797,59570
798,59612
799,59648
800,59738
801,58912
802,59816
803,59430
804,59967
805,59180
806,59788
807,59464
808,27191
809,27198
810,27225
811,27228
812,27260
813,27114
814,27274
815,27303
816,27369
817,27400
818,27393
819,27446
820,27558
821,27447
822,27559
823,27557
824,27714
825,27600
826,27624
827,24924
828,27744
829,27743
830,27436
831,27870
832,27929
833,27935
834,27971
835,28010
836,28011
837,28012
838,28014
839,29369
840,28143
841,28120
842,28198
843,28277
844,28196
845,28271
846,28275
847,28273
848,28418
849,28347
850,28365
851,28370
852,28380
853,28386
854,28500
855,28051
856,28056
857,28507
858,28633
859,27725
860,28709
861,28710
862,28686
863,28684
864,28681
865,28685
866,28691
867,28498
868,28497
869,27166
870,26660
871,28175
872,28895
873,28898
874,28674
875,29024
876,29147
877,28179
878,29112
879,28678
880,29225
881,29223
882,25911
883,28314
884,29259
885,29261
886,29351
887,29457
888,26491
889,26495
890,26496
891,26497
892,26948
893,29049
894,28698
895,29942
896,29977
897,29367
898,30104
899,24886
900,30255
901,24947
902,31589
903,29359
904,29365
905,24976
906,30451
907,30529
908,25086
909,30648
910,29650
911,29985
912,30692
913,30799
914,30833
915,30898
916,30213
917,30494
918,27419
919,27421
920,27399
921,27424
922,29362
923,31200
924,27811
925,27543
926,30708
927,30540
928,25008
929,25011
930,25408
931,25061
932,25010
933,25762
934,30744
935,31348
936,28174
937,27586
938,25052
939,27582
940,25048
941,25050
942,25262
943,31487
944,29916
945,25908
946,31593
947,30178
948,31685
949,30327
950,30994
951,31183
952,30561
953,31122
954,26076
955,25996
956,30946
957,26141
958,26078
959,25907
960,26183
961,26176
962,31223
963,31915
964,30942
965,26106
966,26108
967,26117
968,26284
969,26008
970,26193
971,26286
972,26287
973,26714
974,26502
975,26501
976,26424
977,26427
978,26588
979,26457
980,26867
981,26875
982,26923
983,26688
984,32607
985,32637
986,28560
987,28668
988,28666
989,28669
990,26962
991,26998
992,28659
993,28604
994,27067
995,27167
996,27180
997,33089
998,33090
999,33091
1000,33096
1001,28664
1002,28661
1003,30446
1004,28665
1005,33305
1006,27959
1007,27715
1008,27229
1009,32563
1010,27235
1011,27961
1012,27243
1013,32860
1014,32635
1015,28087
1016,31923
1017,28048
1018,28003
1019,32531
1020,32205
1021,33260
1022,27867
1023,32312
1024,33162
1025,34049
1026,27265
1027,28009
1028,28126
1029,28398
1030,28652
1031,28392
1032,28637
1033,29408
1034,27795
1035,27793
1036,27792
1037,28471
1038,28466
1039,28459
1040,28455
1041,28156
1042,28577
1043,28166
1044,27931
1045,28237
1046,27994
1047,28205
1048,28199
1049,27263
1050,27755
1051,27836
1052,28302
1053,27742
1054,27856
1055,28037
1056,27872
1057,27718
1058,27966
1059,28181
1060,30925
1061,28133
1062,34813
1063,27454
1064,34103
1065,27282
1066,28563
1067,30411
1068,33255
1069,30496
1070,32929
1071,30525
1072,28403
1073,28451
1074,28393
1075,28423
1076,28425
1077,28431
1078,28434
1079,28295
1080,28429
1081,28535
1082,28447
1083,28483
1084,28488
1085,28469
1086,28576
1087,28564
1088,28567
1089,32501
1090,28116
1091,27445
1092,28446
1093,28252
1094,28260
1095,27366
1096,28433
1097,28259
1098,28253
1099,28064
1100,31177
1101,28223
1102,28220
1103,28167
1104,27741
1105,28361
1106,28154
1107,28197
1108,28021
1109,28528
1110,27553
1111,28315
1112,27478
1113,28153
1114,27473
1115,27471
1116,27993
1117,27464
1118,28359
1119,27760
1120,27968
1121,27459
1122,27967
1123,31919
1124,32019
1125,27995
1126,28104
1127,27833
1128,27252
1129,27885
1130,27905
1131,28075
1132,27255
1133,27965
1134,28030
1135,28094
1136,28078
1137,27896
1138,27842
1139,27776
1140,27930
1141,28206
1142,27889
1143,27810
1144,27276
1145,27837
1146,28042
1147,27699
1148,27774
1149,27812
1150,27748
1151,27750
1152,27949
1153,29547
1154,28578
1155,27874
1156,28660
1157,28518
1158,27716
1159,27933
1160,27585
1161,27981
1162,27583
1163,27622
1164,27710
1165,28249
1166,27517
1167,27844
1168,27499
1169,27524
1170,27521
1171,27598
1172,27990
1173,27273
1174,28236
1175,27537
1176,27838
1177,27278
1178,28405
1179,28348
1180,27779
1181,27676
1182,28510
1183,28539
1184,28443
1185,28537
1186,28558
1187,28274
1188,28353
1189,28462
1190,28239
1191,28146
1192,28262
1193,27803
1194,28303
1195,28297
1196,27504
1197,27350
1198,27584
1199,27396
1200,27410
1201,27771
1202,27587
1203,28063
1204,28346
1205,27708
1206,27909
1207,28616
1208,27958
1209,30481
1210,27864
1211,27992
1212,27538
1213,27411
1214,30283
1215,34838
1216,35434
1217,35494
1218,26963
1219,27217
1220,27068
1221,26954
1222,27802
1223,27707
1224,27998
1225,28066
1226,28055
1227,28044
1228,28540
1229,27746
1230,37118
1231,36112
1232,36391
1233,36200
1234,34526
1235,37284
1236,36514
1237,35732
1238,27809
1239,30842
1240,31084
1241,36414
1242,37441
1243,37684
1244,39249
1245,34391
1246,39046
1247,40625
1248,41678
1249,45027
1250,49183
1251,49025
1252,49397
1253,48316
1254,49639
1255,54151
1256,54152
1257,54155
1258,54156
1259,54157
1260,54158
1261,54159
1262,54160
1263,54161
1264,54162
1265,54164
1266,54165
1267,54166
1268,54167
1269,54168
1270,54169
1271,54171
1272,54173
1273,54174
1274,54184
1275,54186
1276,54188
1277,54191
1278,54192
1279,52083
1280,54418
1281,53635
1282,53858
1283,56284
1284,58631
1285,59742
1286,57818
1287,59732
1288,27784
1289,27361
1290,27425
1291,27448
1292,27603
1293,27780
1294,27766
1295,27906
1296,27437
1297,28152
1298,28214
1299,28254
1300,28256
1301,28340
1302,28268
1303,28565
1304,28493
1305,28272
1306,27782
1307,28842
1308,28865
1309,28874
1310,28876
1311,29274
1312,29378
1313,28076
1314,29134
1315,30398
1316,29600
1317,29601
1318,28089
1319,30115
1320,30191
1321,29804
1322,30753
1323,29852
1324,29671
1325,29799
1326,29800
1327,30717
1328,30043
1329,30462
1330,28794
1331,30415
1332,25984
1333,30715
1334,31011
1335,31012
1336,30954
1337,31020
1338,31069
1339,26278
1340,31135
1341,31137
1342,28412
1343,31164
1344,30710
1345,25982
1346,31087
1347,31392
1348,31407
1349,28131
1350,31524
1351,31619
1352,31644
1353,31650
1354,31769
1355,31654
1356,31881
1357,31885
1358,26074
1359,31812
1360,26747
1361,32007
1362,32332
1363,31750
1364,32477
1365,32347
1366,32391
1367,32594
1368,32699
1369,32695
1370,32792
1371,32750
1372,32850
1373,32880
1374,32857
1375,32851
1376,32958
1377,32957
1378,32946
1379,32974
1380,30074
1381,33059
1382,33136
1383,33166
1384,33175
1385,33176
1386,33177
1387,33262
1388,33200
1389,33304
1390,33307
1391,33385
1392,33411
1393,33412
1394,33004
1395,31484
1396,33491
1397,33058
1398,33621
1399,33584
1400,33145
1401,33279
1402,34035
1403,34014
1404,34025
1405,34046
1406,34043
1407,33536
1408,33537
1409,33829
1410,33915
1411,33190
1412,34192
1413,33979
1414,34308
1415,34336
1416,34317
1417,34320
1418,34343
1419,34340
1420,34399
1421,34128
1422,34513
1423,34505
1424,34555
1425,34130
1426,34274
1427,34577
1428,34594
1429,34595
1430,33350
1431,34688
1432,34156
1433,28138
1434,32134
1435,34729
1436,34553
1437,32326
1438,34122
1439,27712
1440,34842
1441,28097
1442,27976
1443,28245
1444,28211
1445,34611
1446,34885
1447,27723
1448,33616
1449,34318
1450,34957
1451,35071
1452,30426
1453,34952
1454,30470
1455,35256
1456,35303
1457,31549
1458,34562
1459,35230
1460,35222
1461,35632
1462,35621
1463,35622
1464,35589
1465,35591
1466,35592
1467,35593
1468,35689
1469,35720
1470,34681
1471,35780
1472,35803
1473,28000
1474,35576
1475,28208
1476,35668
1477,35669
1478,27786
1479,30339
1480,30888
1481,36044
1482,35725
1483,35726
1484,29685
1485,33395
1486,35790
1487,35791
1488,30478
1489,36314
1490,36320
1491,36167
1492,36339
1493,36362
1494,36176
1495,36177
1496,36410
1497,36467
1498,36478
1499,36520
1500,36534
1501,35529
1502,36373
1503,36374
1504,36335
1505,36270
1506,36376
1507,36576
1508,36575
1509,36381
1510,36407
1511,34260
1512,36625
1513,36477
1514,36654
1515,36667
1516,36704
1517,36716
1518,36719
1519,36729
1520,36742
1521,36816
1522,35437
1523,36988
1524,37014
1525,36705
1526,36838
1527,37075
1528,37141
1529,37143
1530,37188
1531,37186
1532,36778
1533,36779
1534,36780
1535,37240
1536,36295
1537,35410
1538,37455
1539,37588
1540,37137
1541,37751
1542,37781
1543,37714
1544,37785
1545,37873
1546,37512
1547,37513
1548,37392
1549,38068
1550,35367
1551,35817
1552,38014
1553,35731
1554,38256
1555,38237
1556,37716
1557,38357
1558,37184
1559,37851
1560,35542
1561,35138
1562,37169
1563,37167
1564,38460
1565,38524
1566,38556
1567,35577
1568,38574
1569,38160
1570,38605
1571,38573
1572,38718
1573,35296
1574,38594
1575,38840
1576,38879
1577,35578
1578,38878
1579,36828
1580,38520
1581,39043
1582,37942
1583,38476
1584,37308
1585,39213
1586,39306
1587,39448
1588,34561
1589,39152
1590,39496
1591,39656
1592,39642
1593,39645
1594,39715
1595,37539
1596,39767
1597,39789
1598,39811
1599,39821
1600,39830
1601,38281
1602,39864
1603,37345
1604,38482
1605,39873
1606,39925
1607,39949
1608,39842
1609,38536
1610,39841
1611,38479
1612,40010
1613,39291
1614,39168
1615,40065
1616,40090
1617,40067
1618,40098
1619,40066
1620,40108
1621,40159
1622,37264
1623,40171
1624,39251
1625,39209
1626,40272
1627,40280
1628,37402
1629,37620
1630,39224
1631,39937
1632,39264
1633,38339
1634,38338
1635,40525
1636,38129
1637,40338
1638,39835
1639,40501
1640,39176
1641,38389
1642,36268
1643,36269
1644,36195
1645,40961
1646,39444
1647,37536
1648,36239
1649,38392
1650,39431
1651,40416
1652,39469
1653,39199
1654,43166
1655,42771
1656,39394
1657,43263
1658,40365
1659,39950
1660,46900
1661,51600
1662,56888
1663,26305
1664,26371
1665,29099
1666,31227
1667,29781
1668,34184
1669,34188
1670,34185
1671,34189
1672,33692
1673,33966
1674,34187
1675,30039
1676,34582
1677,37761
1678,38904
1679,39987
1680,40579
1681,39604
1682,42630
1683,44953
1684,41727
1685,44221
1686,42456
1687,46785
1688,42955
1689,44954
1690,46872
1691,46367
1692,49398
1693,49131
1694,49132
1695,50586
1696,51654
1697,52623
1698,52089
1699,51945
1700,52692
1701,53927
1702,53934
1703,54553
1704,52662
1705,52992
1706,51651
1707,53084
1708,55288
1709,55863
1710,51833
1711,57108
1712,56817
1713,58951
1714,56173
1715,57398
1716,58837
1717,59486
1718,60056
1719,60147
1720,34154
1721,57369
1722,57056
1723,27223
1724,27224
1725,27202
1726,27234
1727,27237
1728,27244
1729,25087
1730,27272
1731,26799
1732,27266
1733,27270
1734,27245
1735,27398
1736,27289
1737,27381
1738,27341
1739,27363
1740,27368
1741,27359
1742,27347
1743,27339
1744,27380
1745,27379
1746,27390
1747,26642
1748,27415
1749,27402
1750,27414
1751,27510
1752,27508
1753,27406
1754,26462
1755,27405
1756,27403
1757,27408
1758,27418
1759,27413
1760,25900
1761,27416
1762,28538
1763,27441
1764,27420
1765,27429
1766,27422
1767,27423
1768,27030
1769,27534
1770,27520
1771,27560
1772,27532
1773,27721
1774,27563
1775,27542
1776,27523
1777,27550
1778,27635
1779,27681
1780,27727
1781,27722
1782,26673
1783,27726
1784,27719
1785,27770
1786,27816
1787,27745
1788,27756
1789,27818
1790,27916
1791,24786
1792,27817
1793,27832
1794,27828
1795,27860
1796,27861
1797,27866
1798,27509
1799,27783
1800,27772
1801,27911
1802,27134
1803,27915
1804,27491
1805,28034
1806,27918
1807,27927
1808,28008
1809,27460
1810,27954
1811,27970
1812,27973
1813,28027
1814,26116
1815,27529
1816,28472
1817,28588
1818,28590
1819,28591
1820,28017
1821,28032
1822,28033
1823,27768
1824,27769
1825,28077
1826,28086
1827,28091
1828,28139
1829,27731
1830,28171
1831,27729
1832,28157
1833,28331
1834,28320
1835,28185
1836,28168
1837,28210
1838,27493
1839,28235
1840,26943
1841,28200
1842,28209
1843,28246
1844,27815
1845,28257
1846,28238
1847,28276
1848,28267
1849,28333
1850,28305
1851,28337
1852,28313
1853,28349
1854,28317
1855,26904
1856,28354
1857,27773
1858,28390
1859,28402
1860,28404
1861,28373
1862,28372
1863,28399
1864,28414
1865,28397
1866,28428
1867,27831
1868,28467
1869,28509
1870,28301
1871,27535
1872,28480
1873,28519
1874,28523
1875,28300
1876,28520
1877,28551
1878,28553
1879,28573
1880,28594
1881,28555
1882,28587
1883,28634
1884,28640
1885,28619
1886,28605
1887,28606
1888,28299
1889,28589
1890,28679
1891,27813
1892,27757
1893,27527
1894,28672
1895,28721
1896,28765
1897,28785
1898,28715
1899,28728
1900,28508
1901,28767
1902,28827
1903,28828
1904,27882
1905,27735
1906,28060
1907,27431
1908,27430
1909,28847
1910,28839
1911,28846
1912,27807
1913,28854
1914,27843
1915,27845
1916,28868
1917,28477
1918,28879
1919,28304
1920,26979
1921,28562
1922,27847
1923,28934
1924,25915
1925,26536
1926,28943
1927,27126
1928,29011
1929,29022
1930,29027
1931,29059
1932,29046
1933,29044
1934,29181
1935,27082
1936,29082
1937,28787
1938,29026
1939,28883
1940,29086
1941,29118
1942,29090
1943,29091
1944,29092
1945,29101
1946,28579
1947,28495
1948,29146
1949,28557
1950,29085
1951,26605
1952,29083
1953,29190
1954,29009
1955,29136
1956,27439
1957,28772
1958,29246
1959,24885
1960,29191
1961,28496
1962,29290
1963,28062
1964,28635
1965,29337
1966,29272
1967,29336
1968,29170
1969,27753
1970,26914
1971,29366
1972,28241
1973,27762
1974,29480
1975,29373
1976,29456
1977,29496
1978,29323
1979,30397
1980,29715
1981,28506
1982,29583
1983,29592
1984,28081
1985,29374
1986,28093
1987,28164
1988,27804
1989,29326
1990,29792
1991,29681
1992,29444
1993,29172
1994,30465
1995,27221
1996,29406
1997,28720
1998,30405
1999,29775
2000,29720
2001,29707
2002,29646
2003,29647
2004,29822
2005,28939
2006,29755
2007,29656
2008,29318
2009,29155
2010,29851
2011,27571
2012,29169
