,0
0,radiofrequency
1,ablation
2,ventricular
3,tachycardia
4,vt
5,coronary
6,sinus
7,cs
8,difficult
9,cannulate
10,catheter
11,cannulation
12,attempt
13,continued
14,10
15,minutes
16,2
17,reported
18,lateral
19,mitral
20,valve
21,thermocool
22,map
23,left
24,ventrical
25,patient
26,60
27,patients
28,blood
29,pressure
30,found
31,low
32,68
33,systolic
34,consultant
35,mentioned
36,procedure
37,noticed
38,heart
39,increasing
40,size
41,pericardial
42,effusion
43,drained
44,venous
45,suspected
46,due
47,difficulty
48,pericardiocentesis
49,200
50,ml
51,completed
52,6fr
53,sheath
54,marksman
55,positioned
56,pipeline
57,distal
58,aneurysm
59,stent
60,deployed
61,half
62,wire
63,manipulated
64,detach
65,capture
66,coil
67,release
68,exposed
69,proximal
70,inside
71,massage
72,times
73,sheared
74,segment
75,balloon
76,inflated
77,goose
78,neck
79,snare
80,introduced
81,vessel
82,wall
83,abandoned
84,damage
85,retrieval
86,device
87,drag
88,remove
89,budge
90,decided
91,final
92,medical
93,decision
94,leave
95,attached
96,atrial
97,fibrillation
98,irrigation
99,port
100,cool
101,path
102,detached
103,prepped
104,inserted
105,advanced
106,atrium
107,successful
108,mapping
109,appropriately
110,electrically
111,physician
112,started
113,ablating
114,disconnected
115,handle
116,occasions
117,optiflow
118,junior
119,nasal
120,cannula
121,rt330
122,infant
123,circuit
124,incident
125,wrapped
126,blanket
127,desaturated
128,70
129,oxygen
130,disconnection
131,occurred
132,moved
133,bed
134,chair
135,causing
136,specific
137,details
138,incidents
139,nurse
140,handling
141,underwent
142,aaa
143,repair
144,released
145,trigger
146,pin
147,advance
148,top
149,cap
150,deploy
151,super
152,renal
153,excessive
154,force
155,study
156,carto
157,3
158,progress
159,attended
160,voltage
161,activation
162,pace
163,fast
164,continuously
165,changing
166,pacing
167,override
168,attempted
169,vf
170,electro
171,mechanical
172,paced
173,rhythm
174,ecg
175,cpr
176,commenced
177,generator
178,impedence
179,trouble
180,shooting
181,included
182,replacing
183,cable
184,fix
185,replaced
186,magnetic
187,sensor
188,error
189,surgeon
190,ablate
191,changed
192,electrodes
193,sourced
194,hospital
195,resulted
196,40
197,minute
198,delay
199,message
200,performed
201,resolve
202,15
203,leaked
204,noted
205,temperature
206,system
207,regular
208,inspection
209,damaged
210,removed
211,package
212,loose
213,continue
214,contact
215,surface
216,power
217,varied
218,broke
219,successfully
220,therapy
221,duo
222,dr
223,loaded
224,tha
225,tecnis
226,1
227,piece
228,ar
229,injector
230,proceeded
231,insert
232,lens
233,eye
234,faulty
235,resistance
236,plunger
237,screw
238,style
239,pushed
240,injected
241,posterior
242,capsule
243,vitreous
244,body
245,stopped
246,surgery
247,captor
248,flex
249,main
250,profusely
251,estimated
252,loss
253,litre
254,leaking
255,multiple
256,baby
257,ventilator
258,tubing
259,suffered
260,major
261,clinical
262,deterioration
263,result
264,event
265,identified
266,secondary
267,extension
268,tube
269,rt265
270,dual
271,heated
272,evaqua2
273,breathing
274,incubator
275,ambient
276,35
277,measured
278,42
279,degrees
280,celsius
281,saline
282,flow
283,rate
284,maximum
285,40ml
286,min
287,set
288,cut
289,check
290,tip
291,edge
292,supplied
293,premature
294,contraction
295,team
296,experienced
297,location
298,pad
299,interference
300,current
301,noise
302,approximately
303,8
304,hours
305,patient's
306,dropped
307,chest
308,pain
309,investigated
310,theatre
311,150
312,fluid
313,doctors
314,late
315,outflow
316,tract
317,fluroscopy
318,limited
319,movement
320,transthoracic
321,echo
322,called
323,confirmed
324,tamponade
325,evar
326,graft
327,displacement
328,arteries
329,occluded
330,angiogram
331,post
332,supra
333,renals
334,patent
335,contra
336,limb
337,extensions
338,retrieve
339,snaring
340,crowns
341,mins
342,stage
343,coda
344,ipsilateral
345,limbs
346,runs
347,ballooning
348,unsuccessfully
349,apply
350,pull
351,quick
352,hand
353,shot
354,secure
355,patency
356,unable
357,appeared
358,stop
359,close
360,bag
361,baxter
362,500ml
363,batch
364,stored
365,received
366,frozen
367,centre
368,checked
369,air
370,bubble
371,cassette
372,phase
373,day
374,infusion
375,required
376,bags
377,rack
378,dry
379,level
380,inches
381,liquid
382,adverse
383,events
384,receipt
