,0
0,28501
1,33700
2,35325
3,37618
4,46962
5,49766
6,50166
7,50168
8,27191
9,27225
10,27228
11,27260
12,27274
13,27400
14,27624
15,24924
16,27744
17,27436
18,27971
19,28010
20,28012
21,28120
22,28198
23,28196
24,28418
25,28365
26,28380
27,27725
28,28710
29,28691
30,29024
31,29225
32,29223
33,25911
34,29259
35,29261
36,29262
37,29351
38,29352
39,29457
40,26491
41,26493
42,26494
43,26495
44,26496
45,26947
46,26948
47,29367
48,30104
49,24886
50,24947
51,29359
52,29365
53,29650
54,29985
55,30799
56,30833
57,30494
58,31200
59,27543
60,30708
61,30540
62,25008
63,25061
64,25010
65,31348
66,28174
67,25052
68,25050
69,25262
70,31487
71,25908
72,31685
73,30994
74,31122
75,26076
76,25996
77,26078
78,26106
79,26287
80,26427
81,26867
82,26688
83,28666
84,28669
85,26998
86,28604
87,27167
88,27180
89,33090
90,33091
91,27229
92,32635
93,32531
94,32205
95,33260
96,32312
97,33162
98,28009
99,28126
100,27795
101,27994
102,27836
103,28302
104,27856
105,28181
106,30411
107,30496
108,30525
109,28451
110,28295
111,28447
112,28469
113,28576
114,28564
115,32501
116,27445
117,28252
118,28433
119,28259
120,28253
121,28064
122,28223
123,28220
124,28154
125,28021
126,27553
127,28315
128,27464
129,27968
130,27967
131,31919
132,32019
133,27905
134,28075
135,28030
136,28094
137,27842
138,27776
139,27276
140,27699
141,27716
142,27585
143,27981
144,27583
145,27622
146,28249
147,27844
148,27499
149,27521
150,27537
151,27838
152,27278
153,27676
154,28558
155,28274
156,28353
157,28462
158,28146
159,27350
160,27410
161,27958
162,34838
163,35434
164,26963
165,27217
166,27707
167,28066
168,28055
169,28540
170,27746
171,37118
172,34526
173,35732
174,28565
175,30462
176,31087
177,31644
178,31769
179,31654
180,33176
181,33177
182,33200
183,33304
184,33621
185,34399
186,34885
187,34562
188,35632
189,35589
190,35592
191,35593
192,35668
193,35669
194,35790
195,36314
196,36339
197,36176
198,36373
199,36374
200,36335
201,36270
202,36376
203,36704
204,36742
205,35437
206,36705
207,37075
208,36778
209,36295
210,37455
211,37714
212,37513
213,37392
214,38256
215,37716
216,37184
217,35296
218,37942
219,39656
220,39767
221,39811
222,39830
223,37345
224,40090
225,39224
226,38389
227,34189
228,38904
229,39604
230,52992
231,25087
232,27415
233,27510
234,28538
235,27429
236,27550
237,27756
238,27927
239,27460
240,28590
241,28591
242,28592
243,28349
244,28300
245,28551
246,28299
247,28589
248,28728
249,28767
250,28828
251,28943
252,29011
253,29118
254,29136
255,29246
256,28496
257,28081
258,29326
259,28888
260,29968
261,29325
262,30105
263,29908
264,24899
265,30367
266,25082
267,28931
268,26882
269,26797
270,27839
271,27823
272,31257
273,25074
274,28701
275,29130
276,32143
277,31821
278,31914
279,32554
280,32600
281,32790
282,29883
283,33961
284,32142
285,32219
286,28080
287,28122
288,27503
289,29355
290,29701
291,30241
292,31176
293,31256
294,29843
295,32231
296,32235
297,32684
298,32740
299,32417
300,34093
301,31083
302,31905
303,40139
304,40430
305,43387
306,43762
307,47365
308,48865
309,50910
310,53375
311,53549
312,53700
313,53348
314,53733
315,55335
316,55345
317,55469
318,55305
319,56690
320,56785
321,56790
322,57061
323,56652
324,57448
325,56910
326,58780
327,59155
328,59199
329,59465
330,59035
331,59945
332,29315
333,54366
334,27358
335,30837
336,27754
337,31599
338,31694
339,29938
340,34165
341,32833
342,36093
343,35743
344,38936
345,34950
346,39859
347,34726
348,41237
349,35563
350,39132
351,39429
352,42997
353,41486
354,43435
355,45626
356,45548
357,43127
358,42787
359,41460
360,41711
361,45851
362,48958
363,49727
364,51257
365,51349
366,51486
367,56388
368,51631
369,57241
370,53754
371,57012
372,56095
373,58443
374,29123
375,29268
376,43871
377,45265
378,55914
379,51475
380,50540
381,54873
382,54940
383,54958
384,57527
385,57143
386,58658
387,56959
388,28881
389,28708
390,29245
391,29364
392,29954
393,30108
394,29145
395,30122
396,31187
397,31211
398,31336
399,31331
400,32490
401,31728
402,32484
403,31806
404,33069
405,32956
406,33155
407,33156
408,32606
409,33463
410,33815
411,33080
412,30599
413,32688
414,34167
415,33566
416,33163
417,34052
418,34965
419,34964
420,33774
421,35420
422,37257
423,34958
424,35425
425,34927
426,35142
427,36646
428,37427
429,37701
430,36098
431,37608
432,38467
433,37924
434,38298
435,38296
