,0
0,patient
1,underwent
2,ventricular
3,tachycardia
4,procedure
5,completed
6,approximately
7,8
8,hours
9,surgery
10,patient's
11,blood
12,pressure
13,dropped
14,experienced
15,chest
16,pain
17,pericardial
18,effusion
19,noted
20,theatre
21,ml
22,fluid
23,drained
24,doctors
25,ablation
26,complained
27,observed
28,catheter
29,situ
30,initially
31,space
32,left
33,sided
34,access
35,performed
36,iv
37,stage
38,low
39,removed
40,found
41,relief
42,noise
43,impedance
44,temperature
45,issues
46,occurred
47,atrium
48,revealed
49,saline
50,leakage
51,handle
52,cardiac
53,tamponade
54,developed
55,symptoms
56,post
57,loss
58,function
59,extreme
60,body
61,severe
62,spasms
63,received
64,electric
65,shock
66,vomiting
67,treatment
68,signs
69,burning
70,skin
71,moderate
72,bruising
73,burns
74,2
75,complaining
76,10
77,months
78,revision
79,primary
80,hip
81,replacement
82,due
83,apparent
84,metal
85,sensitivity
86,3
87,vanguard
88,knee
89,instability
90,implantation
91,putting
92,sudden
93,acute
94,lack
95,noticed
96,shoulder
97,implant
98,revised
99,required
100,1
101,month
102,suffered
103,whilst
104,home
105,4
106,black
107,material
108,sleeve
109,taper
110,stem
111,toe
112,tibial
113,subsidence
114,reported
115,evident
116,ray
117,implants
118,replaced
119,loosening
120,acetabular
121,cup
122,5
123,alleged
124,elevated
125,ions
126,11
127,total
128,reconstruction
129,fall
130,ago
131,surgeon
132,swelling
133,6
134,femoral
135,components
136,7
137,suspected
138,alval
139,grey
140,joint
141,yellow
142,mass
143,motion
144,active
145,line
146,tray
147,tests
148,sign
149,infection
150,pre
151,op
152,bearing
153,exchange
154,unknown
155,reason
156,subsequent
157,approx
158,removal
159,piece
160,extension
161,component
162,loose
163,12
164,sustained
165,bone
166,scan
167,secondary
168,diagnosis
169,necrosis
170,difficulty
171,anterior
172,patella
173,fractured
174,experience
175,9
176,base
177,plate
178,insert
179,ion
180,levels
181,neck
182,lesions
183,cysts
184,visible
185,subsequently
186,undergone
187,growth
188,ongoing
189,muscle
190,resurfacing
191,limited
192,mobility
193,appeared
194,fixed
195,osteolysis
196,period
197,time
198,increased
199,cobalt
200,metallosis
201,allergy
202,prior
203,previously
204,localised
205,synovitis
206,easily
207,ongrowth
208,cemented
209,lcs
210,duofix
211,femur
212,days
213,poor
214,range
215,significant
216,staining
217,tissues
218,decreased
219,central
220,prosthesis
221,implanted
222,tibia
223,pathology
224,report
225,scar
226,tissue
227,led
228,mildly
229,died
230,initial
231,persistent
232,rash
233,chromium
234,diagnosed
235,affected
236,prosthetic
237,cement
238,surface
239,dislocation
240,allegedly
241,aseptic
242,global
243,osteoarthritis
244,original
245,operation
246,proximal
247,humeral
248,fracture
249,tomography
250,ct
251,progressively
252,painful
253,results
254,infected
255,arthroscopic
256,examination
257,glenoid
258,delta
259,increasing
260,arthritis
261,mild
262,repair
263,entry
264,onset
265,walking
266,wheelchair
267,worsening
268,week
269,touch
270,weight
271,nail
272,broken
273,region
274,screw
275,evidence
276,medial
277,resulted
278,replace
279,vaginal
280,immediately
281,insertion
282,bad
283,sitting
284,pfc
285,tkr
286,restricted
287,psoas
288,continued
289,occasional
290,arthroscopy
291,weakness
292,arm
293,reverse
