Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28027,16/08/2012,Restylane Vital Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,194004,"Synthetic-fluid tissue reconstructive material, anaesthetic"
28610,28/09/2012,Restylane Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169755,"Synthetic-fluid tissue reconstructive material, anaesthetic"
28741,19/10/2012,Restylane SubQ & Restylane Perlane,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126204,"Tissue reconstructive material, synthetic, fluid"
28892,11/12/2012,Restylane Perlane,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126203,"Tissue reconstructive material, synthetic, fluid"
31257,12/07/2013,Restylane Vital Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,194004,"Synthetic-fluid tissue reconstructive material, anaesthetic"
31694,4/09/2013,Restylane Perlane Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169754,"Synthetic-fluid tissue reconstructive material, anaesthetic"
32486,30/10/2013,Restylane,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126201,"Tissue reconstructive material, synthetic, fluid"
33672,18/03/2014,Restylane Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169755,"Synthetic-fluid tissue reconstructive material, anaesthetic"
32833,1/10/2014,Restylane Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169755,"Synthetic-fluid tissue reconstructive material, anaesthetic"
34173,1/10/2014,Restylane SubQ Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,193814,"Synthetic-fluid tissue reconstructive material, anaesthetic"
40229,26/02/2016,Emervel Classic Lidocaine -Synthetic-fluid tissue,Galderma Australia Pty Ltd,Q-Med AB,235984,"Synthetic-fluid tissue reconstructive material, an"
35037,14/04/2016,"Restylane Perlane Lidocaine - Synthetic-fluid tissue reconstructive material, anaesthetic",Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169754,"Synthetic-fluid tissue reconstructive material, anaesthetic"
40380,17/05/2016,Restylane - Synthetic-fluid tissue reconstructive,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169755,"Synthetic-fluid tissue reconstructive material, an"
41237,18/05/2016,"Restylane Perlane - Tissue reconstructive material, synthetic, fluid",Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126203,"Tissue reconstructive material, synthetic, fluid"
37921,26/08/2016,Restylane,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126201,"Tissue reconstructive material, synthetic, fluid"
39132,31/08/2016,Emervel Classic Lidocaine,Galderma Australia Pty Ltd,Q-Med AB,235984,"Synthetic-fluid tissue reconstructive material, anaesthetic"
39627,31/08/2016,Emervel Lips Lidocaine Synthetic-fluid tissue reconstructive material,Galderma Australia Pty Ltd,Q-Med AB,235986,"Synthetic-fluid tissue reconstructive material, an"
39675,31/08/2016,"Emervel Lips Lidocaine Synthetic-fluid tissue reconstructive material, anaesthetic",Galderma Australia Pty Ltd,Q-Med AB,235986,"Synthetic-fluid tissue reconstructive material, anaesthetic"
39429,31/08/2016,"Restylane - Tissue reconstructive material, synthetic, fluid",Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126201,"Tissue reconstructive material, synthetic, fluid"
43556,10/11/2016,"Restylane Lidocaine - Synthetic-fluid tissue reconstructive material, anaesthetic",Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169755,"Synthetic-fluid tissue reconstructive material, anaesthetic"
