Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27381,11/07/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"IIrrigation fluid, medical/surgical procedure",AMO Australia Pty Ltd,AMO Groningen BV,176060,"IIrrigation fluid, medical/surgical procedure"
,,ProVisc,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141143,Aqueous/vitreous humour replacement medium kit
28519,13/09/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,188102,"Lens, intraocular, posterior chamber"
29851,15/01/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
29859,16/01/2013,"AcroMetrix PeliSpy Sero Control Type 36, CE-IVD",Thermo Fisher Scientific Australia Pty Ltd,AcroMetrix Co,192532,Viral infectious disease IVDs
30258,12/03/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
24939,25/03/2013,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
30654,11/04/2013,Zeiss Acri-Tec IOL,Carl Zeiss Pty Ltd,Carl Zeiss MediTec SAS,134490,"Lens, intraocular, posterior chamber"
26482,24/04/2013,Acrysert Delivery system,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
27250,3/06/2013,Acrysof IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31204,14/06/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31298,27/06/2013,ACRYSOF® Cachet,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,159641,"Intraocular lens, anterior chamber, phakic"
31486,16/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31490,16/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31502,17/07/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31491,17/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31493,17/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28004,21/10/2013,Acrysof IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28108,19/11/2013,AcrySert Delivery System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28288,2/12/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28597,12/12/2013,Acrysert,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28602,12/12/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28630,13/12/2013,Acrysof lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
32913,18/12/2013,Acrysof ReSTOR Toric intraocular lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33099,14/01/2014,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28806,29/01/2014,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33212,31/01/2014,Acrysof® SP Natural IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33421,21/02/2014,ACRYSOF® IQ TORIC Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33441,24/02/2014,ACRYSOF® IQ ReSTOR® MULTIFOCAL TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc - Huntington,92318,"Lens, intraocular, posterior chamber"
33572,10/03/2014,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Ireland,92318,"Lens, intraocular, posterior chamber"
33969,17/04/2014,ACRYSOF SP NATURAL IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
29883,29/04/2014,Acrysof Toric,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
30075,2/05/2014,Acrysof intraocular lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34143,7/05/2014,ACRYSOF SP IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34151,8/05/2014,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34221,17/05/2014,ACRYSOF® IQ TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34453,19/06/2014,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34147,26/06/2014,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34534,27/06/2014,ACRYSOF® IQ TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33218,30/07/2014,Acrysof ® Toric Aspheric,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,92318,"Lens, intraocular, posterior chamber"
33223,30/07/2014,Acrysof® Toric Aspheric,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,92318,"Lens, intraocular, posterior chamber"
33219,31/07/2014,Acrysof® Toric Aspheric,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,92318,"Lens, intraocular, posterior chamber"
35450,12/11/2014,ACRYSOF® lens,Alcon Laboratories Australia Pty Ltd,Alcon Huntington,92318,"Lens, intraocular, posterior chamber"
36043,16/01/2015,Fusion Pre-Loaded with Acrobat Wire Guide,William A Cook Australia Pty Ltd,Wilson-Cook Medical Incorporated,142988,"Electrosurgical system electrode, active, general-"
34216,19/02/2015,ACRYSOF® Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34218,19/02/2015,ACRYSOF® Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34600,18/03/2015,ACRYSERT® Delivery System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34800,18/03/2015,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33970,26/03/2015,ACRYSOF SP NATURAL IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33578,30/03/2015,ACRYSOF® lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,Intraocular lens-insertion cartridge,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144355,Intraocular lens inserter
34142,31/03/2015,ACRYSOF® lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28285,7/04/2015,Acrysof Toric,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,Web-based intraocular lens calculator,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,194975,Web-based intraocular lens calculator
33217,8/04/2015,Acrysof ® SP Natural IQ Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,92318,"Lens, intraocular, posterior chamber"
37361,24/06/2015,ACROBAT™ CALIBRATED TIP WIRE GUIDE,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,138446,Non-vascular guidewire
34214,15/07/2015,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34215,15/07/2015,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34418,4/08/2015,"ACRYSERT® Delivery System Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36078,5/08/2015,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36170,5/08/2015,ACRYSOF® IQ TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34652,6/08/2015,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
35537,6/08/2015,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
37239,7/08/2015,Acrysof IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
37787,7/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
35064,10/08/2015,"Acrysof Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38383,11/08/2015,Acrobat-i Stabilizer,Getinge Australia Pty Ltd,MAQUET Cardiovascular LLC,157893,"Patient positioning device, vacuum stabilized, partial body"
36802,11/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36882,11/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36966,11/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34659,11/08/2015,"Acrysof Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
37374,11/08/2015,AcrySof Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
35079,11/08/2015,"ACRYSOF® Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
35205,14/08/2015,ACRYSOF® IQ TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
35292,14/08/2015,ACRYSOF® IQ TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
35082,14/08/2015,ACRYSOF® lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34765,20/08/2015,ACRYSOF® lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
37401,25/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc.,92318,"Lens, intraocular, posterior chamber"
34653,26/08/2015,AcrySof® SP Natural Wavefront (IQ),Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
39533,8/02/2016,"AcrySof IQ PanOptix Presbyopia Correcting IOL - Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38823,22/02/2016,AcrySof IQ Toric Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Inc,92318,"Lens, intraocular, posterior chamber"
39220,24/02/2016,AcrySof IQ Toric Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38952,2/03/2016,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
37910,15/09/2016,AcrySof ReSTOR Toric Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Inc.,92318,"Lens, intraocular, posterior chamber"
38072,27/09/2016,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,92318,"Lens, intraocular, posterior chamber"
38049,29/09/2016,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38940,29/09/2016,AcrySof IQ® Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Ireland,92318,"Lens, intraocular, posterior chamber"
38026,29/09/2016,AcrySof ReSTOR Toric Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38471,4/10/2016,"Acrysof IOL - Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Pty Ltd,92318,"Lens, intraocular, posterior chamber"
,,MAXIDEX 5ML,Novartis Pharmaceuticals Australia Pty Ltd,Alcon Laboratories,25354,-
38474,5/10/2016,Acrysof IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38776,7/10/2016,"ACRYSOF SP NATURAL IQ FX - Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Pty Ltd,92318,"Lens, intraocular, posterior chamber"
38876,13/10/2016,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
39342,19/10/2016,AcrySof IQ Singlepiece IOL w/ULTRASERT Delivery Sy,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
42762,19/10/2016,"FUSION® PRE-LOADED WITH ACROBAT WIRE GUIDE - Electrosurgical system electrode, active, general-purpose, single-use",William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,142988,"Electrosurgical system electrode, active, general-purpose, single-use"
