Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27233,3/07/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
27398,6/07/2012,"T SET, 3 WAY, 2ASV, 1BCV, 15CM",CareFusion Australia 316 Pty Ltd,Anaesthetic Medical Systems,125459,"Tubing extension set, intravenous administration"
27288,6/07/2012,Vented Paxlitaxel Set with Clearlink,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
27289,9/07/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
27390,17/07/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
27816,6/08/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
27855,8/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
27858,8/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
27852,8/08/2012,ICU Quibfuse Spiros Set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
30902,9/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
27869,9/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
27906,13/08/2012,"Non-DEHP Add-On Set w/CLAVE, In-line Burette",Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
26999,30/08/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28264,30/08/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28407,6/09/2012,Agilia Volumat ST10,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
28397,6/09/2012,"Set Dual, Transfusion/ Infusion",Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,126325,"Intravenous administration set, general-purpose"
28448,7/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
,,Spiros to Spiros line,-,ICU Medical Inc,,-
28553,14/09/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
28647,18/09/2012,Gemini CKVLV W/2 SS VLV Ports,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,125916,"Infusion administration set, infusion pump"
28677,18/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28672,21/09/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
28742,27/09/2012,"Infusion Administration Set, Vented Paclitaxol Set",Baxter Healthcare Pty Ltd,Baxter SA (Lessines),151749,"Intravenous administration set, general-purpose"
28755,27/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
29126,1/11/2012,Restoration ADM Cup with HA,Stryker Australia Pty Ltd,Benoist Girard,160492,Acetabulum prosthesis
28579,2/11/2012,Level 1 IV Fluid Warming Set,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,99436,"Intravenous administration set, heat exchanging"
29161,2/11/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
29316,18/11/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
,,Microclave,-,ICU Medical Inc,,-
29456,28/11/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
29600,14/12/2012,Baxter IV Infusion Line,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
29948,29/01/2013,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
29314,4/02/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
30020,7/02/2013,Gravity Blood Administration Set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,199112,Blood transfusion set
30081,15/02/2013,Quick Set,Medtronic Australasia Pty Ltd,Unomedical AS,119216,"Infusion administration set, insulin pump"
29760,18/02/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
30131,22/02/2013,"""Y"" type extension set, narrow bore, 2 Clearlink valves",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
30159,26/02/2013,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
30139,26/02/2013,Quick Set,Medtronic Australasia Pty Ltd,Unomedical AS,119216,"Infusion administration set, insulin pump"
29757,20/03/2013,ICU Medical Gravity Set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
30318,8/04/2013,ICU Medica Microclave Connector,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
30328,8/04/2013,ICU Medica Microclave Connector,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
