Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27339,13/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Octrode Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27372,16/07/2012,Sterrad Booster,Johnson & Johnson Medical Pty Ltd,Advanced Sterilization Products a Johnson & Johnson Company Division of Ethicon Inc,123602,"Sterilant, hydrogen peroxide"
27406,18/07/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Eon Mini IPG Model 3788,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Holder, cable/lead",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27420,20/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Model 3183,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27429,20/07/2012,"Eon Rechargeable IPG, 16-Channel",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
27534,25/07/2012,Quattrode Electrode/Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131946,"Electrode/lead, stimulator, implantable, neurological"
27635,30/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
27915,13/08/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Eon Mini IPG Model 3788,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Swift-Lock Anchor, Model 1192",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
27731,23/08/2012,Octrode Percutaneous Lead,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,"Cinch Anchor, Model 1194",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,"Eon 16-Channel IPG, Model 3716 including 3701 (Charger)",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
28210,27/08/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Lamitrode S8,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126002,Neural-tissue electrical stimulation lead
,,Renew Receiver,-,Advanced Neuromodulation Systems Inc,131836,-
28349,31/08/2012,Octrode Trial Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131947,"Electrode/lead, stimulator, implantable, neurological"
28467,10/09/2012,Lamitrode S8,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126002,"Electrode/lead, stimulator, implantable, neurological"
28301,12/09/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,"Anchor, Model: 1194",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,"Single Extension, Model: 3383",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,Neural-tissue electrical stimulation lead
28300,13/09/2012,Lead Neurological,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,170450,"Electrode/lead, stimulator, implantable, neurological"
28634,17/09/2012,Octrode Trial Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131947,"Electrode/lead, stimulator, implantable, neurological"
28640,17/09/2012,Octrode Trial Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131947,"Electrode/lead, stimulator, implantable, neurological"
