Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27381,11/07/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"IIrrigation fluid, medical/surgical procedure",AMO Australia Pty Ltd,AMO Groningen BV,176060,"IIrrigation fluid, medical/surgical procedure"
,,ProVisc,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141143,Aqueous/vitreous humour replacement medium kit
26642,17/07/2012,LenSx Laser,Alcon Laboratories Australia Pty Ltd,Alcon LenSx Inc,181017,Femtosecond ophthalmic Yb: Glass laser system
28519,13/09/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"Lens, intraocular, posterior chamber",Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,188102,"Lens, intraocular, posterior chamber"
29463,23/11/2012,Chlorhexidine 0.5% in Alcohol 70%,Advanced Pharmaceuticals Pty Ltd,Aldwin Paige Ltd,177526,"Disinfectant, hospital grade"
29851,15/01/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
30258,12/03/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
24939,25/03/2013,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
26482,24/04/2013,Acrysert Delivery system,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
26738,6/05/2013,Systane Ultra Eye Drops,Novartis Pharmaceuticals Australia Pty Ltd,Alcon Laboratories Inc,175413,"Lubricant, eye"
26476,7/05/2013,Infiniti,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
26882,22/05/2013,Air Optix Astigmatism,Alcon Laboratories Australia Pty Ltd,Ciba Vision Corp,141131,"Contact lens, vision corrective, reusable"
26908,27/05/2013,Infiniti Ozil Cataract extraction system,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
27013,28/05/2013,Accurus ophthalmic Surgical procedure kit,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
27248,28/05/2013,Wavelight EX500 Excimer Laser System,Alcon Laboratories Australia Pty Ltd,WaveLight AG,172400,Ophthalmic excimer laser system
27257,29/05/2013,Bi-Manual I/A Set,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,146143,"Needle, blunt, reusable"
27839,30/05/2013,Aosept Plus,Alcon Laboratories Australia Pty Ltd,Ciba Vision Corp,121888,Contact lens solution
26848,30/05/2013,Infiniti cataract extraction system,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
26783,30/05/2013,OZIL TORSIONAL PHACO HANDPIECE,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
27250,3/06/2013,Acrysof IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31142,11/06/2013,Lensx,Alcon Laboratories Australia Pty Ltd,Alcon LenSx Inc,181017,Femtosecond ophthalmic Yb: Glass laser system
27799,13/06/2013,Custom Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
31191,13/06/2013,Infiniti Vision System Ozil,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
31204,14/06/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31213,14/06/2013,Ozil,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
31298,27/06/2013,ACRYSOF® Cachet,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,159641,"Intraocular lens, anterior chamber, phakic"
31486,16/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31490,16/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31502,17/07/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31491,17/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
31493,17/07/2013,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
32181,4/10/2013,Custom Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Houston,145666,"Surgical procedure kit, single use"
32257,14/10/2013,BSS,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories-Fort Worth,106599,"Irrigation fluid, medical/surgical procedure"
28004,21/10/2013,Acrysof IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
27999,21/10/2013,Infiniti Vision System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
28283,21/10/2013,Infiniti Vision System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
32369,24/10/2013,3cc Luer Lock Terumo Syringe,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144071,"Needle, blunt, single use"
32464,4/11/2013,Infiniti Vision System Ozil,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28117,18/11/2013,Accurus 25 + TPP Vit Pack,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
28112,18/11/2013,Constellation 23Ga Total Plus Vitrectomy Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc-Houston,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
28108,19/11/2013,AcrySert Delivery System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28123,19/11/2013,Infiniti Vision System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
28288,2/12/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
32757,3/12/2013,Ozil torsional handpiece,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsif"
32794,6/12/2013,Balanced Salt Solution,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,106599,"Irrigation fluid, medical/surgical procedure"
,,Adrenaline,-,n/k,,-
,,Betadine,-,n/k,,-
,,BSS (15ml) Irrigation,-,n/k,,-
,,BSS (500ml) with Adrenaline 1;1000. (1/2 ml adrenaline),-,n/k,,-
,,Cephazolin (intra Camal injection),-,n/k,,-
,,Cephazolin (intra Camal injection) (1mg = 0.1ml),-,n/k,,-
,,Chlorsig ointment,-,n/k,,-
,,Cyclopentolate,-,n/k,,-
,,Duovisc,-,n/k,,-
,,Phenylephrine,-,n/k,,-
32795,6/12/2013,Balanced Salt Solution,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,106599,"IIrrigation fluid, medical/surgical procedure"
32806,6/12/2013,Ozil,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
32809,9/12/2013,Centurion® Active Irrigation FMS Pack Basic,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated,"
28597,12/12/2013,Acrysert,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28602,12/12/2013,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28611,12/12/2013,Monarch Intraocular lens inserter,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144355,Intraocular lens inserter
28630,13/12/2013,Acrysof lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28693,13/12/2013,Acyrosf lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28712,13/12/2013,Monarch III IOL Delivery System handpiece,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144901,Intraocular lens inserter
28625,16/12/2013,Alcon Intraocular lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
32913,18/12/2013,Acrysof ReSTOR Toric intraocular lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33068,10/01/2014,Total Plus Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
33099,14/01/2014,Acrysof Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33087,14/01/2014,Custom Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
33110,15/01/2014,Inifinti Ozil,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
33111,15/01/2014,Systane eye drops,Novartis Pharmaceuticals Australia Pty Ltd,Alcon Laboratories Inc,175413,"Lubricant, eye"
33132,17/01/2014,Custom Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
33134,17/01/2014,Custom Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
28824,23/01/2014,Constellation Total Plus Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
33181,28/01/2014,Infiniti vision system,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories- Irvine Technology Center,94982,"Cataract extraction system generator,Phacoemulsification"
28806,29/01/2014,Acrysof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
28740,29/01/2014,BSS Plus,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,106599,"Irrigation fluid, medical/surgical procedure"
28743,29/01/2014,Duovisc IBC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,141482,Aqueous/vitreous humour replacement medium kit
33212,31/01/2014,Acrysof® SP Natural IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33227,31/01/2014,Infiniti Vision System Ozil®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
28958,3/02/2014,Infiniti Ozil Handpiece,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
,,"Infiniti Vision System, 30 Degree Straight Tip, Custom Pak, B&L Laseredge Trapezoid ANG 2.0-2.22mm",-,N/K,,-
33233,3/02/2014,Infiniti Vision System Ozil®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsification"
33421,21/02/2014,ACRYSOF® IQ TORIC Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33441,24/02/2014,ACRYSOF® IQ ReSTOR® MULTIFOCAL TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc - Huntington,92318,"Lens, intraocular, posterior chamber"
33503,28/02/2014,CONSTELLATION® Vision System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145674,Cataract extraction/vitrectomy system generator
33572,10/03/2014,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Ireland,92318,"Lens, intraocular, posterior chamber"
33576,10/03/2014,LenSx® Laser System,Alcon Laboratories Australia Pty Ltd,Alcon LenSx Inc,181017,Femtosecond ophthalmic Yb: Glass laser system
33487,18/03/2014,DUOVISC® IBC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141482,Aqueous/Vitreous Humour Replacement Medium Kit
33481,18/03/2014,DUOVISC® IBC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141482,Aqueous/Vitreous Humour Replacement Medium Kit
33665,18/03/2014,Monarch IOL Delivery System Handpiece,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144901,Intraocular lens inserter
,,Monarch D® cartridge,-,n/k,,-
,,Monarch® Handpiece,-,n/k,,-
,,Tobrex®,-,n/k,,-
33680,19/03/2014,CONSTELLATION Vision System,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,145666,"Surgical procedure kit, ophthalmic, non-medicated,"
33683,19/03/2014,Infiniti® Ultrasound Pak,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141454,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
,,Custom Pak (1515523H),-,n/k,,-
33969,17/04/2014,ACRYSOF SP NATURAL IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
29883,29/04/2014,Acrysof Toric,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
30075,2/05/2014,Acrysof intraocular lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34143,7/05/2014,ACRYSOF SP IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34151,8/05/2014,ACRYSOF®,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
34221,17/05/2014,ACRYSOF® IQ TORIC,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
30202,6/06/2014,Infiniti Ozil Cataract Extraction System Generator,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,94982,"Cataract extraction system generator, phacoemulsif"
30219,6/06/2014,LenSx laser system,Alcon Laboratories Australia Pty Ltd,Alcon LenSx Inc,181017,Femtosecond ophthalmic Yb: Glass laser system
28293,13/06/2014,Monarch IOL Delivery System Handpiece,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,144901,Intraocular lens inserter
