Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27292,9/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27373,13/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27386,17/07/2012,Allersearch economist-forte,Symbion Pty Ltd,Flaem Nuova SPA,98386,"Nebulizer, non-heated"
27916,8/08/2012,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,175420,"Prosthesis, internal, mammary, gel filled"
28760,28/09/2012,INAMED Breast Implant,Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
28766,2/10/2012,INAMED Breast Implant,Allergan Australia Pty Ltd,Allergan,126554,"Prosthesis, internal, mammary, gel filled"
29173,5/11/2012,McGhan Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
29009,7/11/2012,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
29355,20/11/2012,McGhan Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
28836,5/12/2012,Pentaflex,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,109868,"Pressure alleviation pad, (specify)"
29691,20/12/2012,INAMED Breast Implant,Allergan Australia Pty Ltd,Allergan,128763,"Prosthesis, internal, mammary, gel filled"
29701,21/12/2012,Natrelle Inspira,Allergan Australia Pty Ltd,Allergan,151739,"Prosthesis, internal, mammary, gel filled"
29982,24/01/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
30015,11/02/2013,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,128763,"Prosthesis, internal, mammary, gel filled"
30022,13/02/2013,Juvederm VOLUMA With Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
30241,7/03/2013,Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
25805,27/03/2013,LAP-BAND AP™ Adjustable Gastric Banding System,Allergan Australia Pty Ltd,Allergan Inc,92522,"Prosthesis, internal, band, gastroplasty"
30564,8/04/2013,CUI Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
30897,7/05/2013,Allergan Access Port for Lap Band,Allergan Australia Pty Ltd,Allergan Inc,92522,"Prosthesis, internal, band, gastroplasty"
30990,24/05/2013,McGhan Style 410MF Soft touch - Gel filled Moderate,Allergan Australia Pty Ltd,Allergan,128763,"Prosthesis, internal, mammary, gel filled"
27612,9/06/2013,Style 410 Cohesive Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
31176,12/06/2013,Allergan Breast Implantt,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
30157,9/07/2013,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
31503,17/07/2013,"MCGHAN, Breast Prosthesis",Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
31256,24/07/2013,Juvederm VOLUMA with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
29843,30/07/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
31175,30/07/2013,McGhan Style 110 - Gel filled Round Moderate,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
31181,30/07/2013,McGhan Style 110 - Gel filled Round Moderate Projection,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
31383,26/08/2013,CUI Textured Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
32085,4/10/2013,Orbera Intragastric Balloon,Allergan Australia Pty Ltd,Allergan Inc,106802,"Balloon, gastric, appetite-suppressing"
32144,15/10/2013,Juvederm VOLUMA with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
32231,28/10/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
32235,28/10/2013,Juvederm VOLBELLA with Lidocaine,Allergan Australia Pty Ltd,Allergan,204185,"Tissue reconstructive material, biological"
32184,30/10/2013,Juvéderm® VOLUMA® XC,Allergan Australia Pty Ltd,Allergan,172617,"Tissue reconstructive material, biological"
32527,8/11/2013,"McGhan Breast Implants, 310cc saline breast implants",Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
32671,25/11/2013,"Allergan, Breast Implant",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
32684,25/11/2013,LAP-BAND Adjustable Gastric Banding System with RAPIDPORT EZ,Allergan Australia Pty Ltd,Allergan Inc,92522,"Prosthesis, internal, band, gastroplasty"
32740,29/11/2013,Allergan (INAMED) Breast Implants,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
32772,4/12/2013,MCGHAN BREAST PROSTHESIS,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
32656,11/12/2013,Juvéderm ULTRA™ XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
32417,2/01/2014,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
31527,2/01/2014,Style 410 Cohesive Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal mammary, gel filled"
29128,23/01/2014,Juvederm Injection,Allergan Australia Pty Ltd,Allergan,204186,"Tissue reconstructive material, biological"
33375,17/02/2014,Allergan Laproscopic Inflatable Gastric Band,Allergan Australia Pty Ltd,Allergan Inc,92522,"Prosthesis, internal, band, gastroplasty"
33477,25/02/2014,Mcghan Breast implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
33488,14/03/2014,Juvederm Voluma with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
33674,19/03/2014,"Allergan, Left Breast Implant (textured, round)",Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
33675,19/03/2014,McGhan round 250cc breast implants,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
33657,1/04/2014,Juvéderm ULTRA® XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
32379,1/04/2014,"Natrelle Truform 3 gel, Textured Single Lumen Brea",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
