Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27292,9/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27373,13/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27386,17/07/2012,Allersearch economist-forte,Symbion Pty Ltd,Flaem Nuova SPA,98386,"Nebulizer, non-heated"
27916,8/08/2012,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,175420,"Prosthesis, internal, mammary, gel filled"
27971,16/08/2012,REFLECTION XLPE ALL POLY CUP,Smith & Nephew Pty Ltd,Smith & Nephew Inc Orthopaedic Division,94423,Acetabulum prosthesis
28331,27/08/2012,Acuity Central Monitoring Station,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
28320,27/08/2012,Acuity CPU Sunblade,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
28760,28/09/2012,INAMED Breast Implant,Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
28766,2/10/2012,INAMED Breast Implant,Allergan Australia Pty Ltd,Allergan,126554,"Prosthesis, internal, mammary, gel filled"
28708,23/10/2012,Genesis Uni LM/RL All-Polly Onlay Tibial Component,Smith & Nephew Pty Ltd,Smith & Nephew Inc Orthopaedic Division,114463,"Prosthesis, internal, joint, knee, tibial component"
,,Oxinium Uni Femoral Component,-,Smith & Nephew Inc Orthopaedic Division,,-
29173,5/11/2012,McGhan Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
29009,7/11/2012,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
29274,15/11/2012,Trident All-Poly Constrained Liner,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
27753,20/11/2012,Acuity Central Monitoring Station,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
,,Micropaq,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,144885,"Telemetry system transmitter, electrocardiograph"
,,Propaq LT,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,123809,"Patient monitor module, multifunction"
29355,20/11/2012,McGhan Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
28836,5/12/2012,Pentaflex,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,109868,"Pressure alleviation pad, (specify)"
29691,20/12/2012,INAMED Breast Implant,Allergan Australia Pty Ltd,Allergan,128763,"Prosthesis, internal, mammary, gel filled"
29701,21/12/2012,Natrelle Inspira,Allergan Australia Pty Ltd,Allergan,151739,"Prosthesis, internal, mammary, gel filled"
29982,24/01/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
30015,11/02/2013,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,128763,"Prosthesis, internal, mammary, gel filled"
30022,13/02/2013,Juvederm VOLUMA With Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
30241,7/03/2013,Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
30443,26/03/2013,Vital Signs Monitor 5300 series with power pack model 713254,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,104270,"Patient monitor module, multifunction"
25805,27/03/2013,LAP-BAND AP™ Adjustable Gastric Banding System,Allergan Australia Pty Ltd,Allergan Inc,92522,"Prosthesis, internal, band, gastroplasty"
30564,8/04/2013,CUI Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
30653,17/04/2013,Nagor Breast Implant,Allied Scientific Products Pty Ltd,Nagor Ltd,142863,"Prosthesis, internal, mammary, gel filled"
27554,3/05/2013,Kendall Argyle All Silicone Foley Catheter 12F,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
30897,7/05/2013,Allergan Access Port for Lap Band,Allergan Australia Pty Ltd,Allergan Inc,92522,"Prosthesis, internal, band, gastroplasty"
29950,17/05/2013,Patient Monitor,Hill-Rom Pty Ltd,Welch Allyn Inc,141027,"Patient monitor, multiparameter"
29951,17/05/2013,Patient Monitor,Hill-Rom Pty Ltd,Welch Allyn Inc,141027,"Patient monitor, multiparameter"
30990,24/05/2013,McGhan Style 410MF Soft touch - Gel filled Moderate,Allergan Australia Pty Ltd,Allergan,128763,"Prosthesis, internal, mammary, gel filled"
31168,7/06/2013,Logic Activation Wire,Allied Scientific Products Pty Ltd,Osteomed LP,130510,Distractor
27612,9/06/2013,Style 410 Cohesive Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
31176,12/06/2013,Allergan Breast Implantt,Allergan Australia Pty Ltd,Allergan,128764,"Prosthesis, internal, mammary, gel filled"
31164,12/06/2013,Y-Knot All-Suture Anchor Drill Bit,ConMed Linvatec Australia Pty Ltd,ConMed Linvatec USA,126600,"Drill bit, surgical"
30157,9/07/2013,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
30816,14/07/2013,Acuity Central Monitoring unit,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
29623,14/07/2013,Acuity Central Monitoring unit,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
31088,14/07/2013,Acuity Central Monitoring unit,Welch Allyn Australia Pty Limited,Welch Allyn Protocol Inc,100135,"Patient monitor, central unit"
31503,17/07/2013,"MCGHAN, Breast Prosthesis",Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
31546,18/07/2013,Nagor GFX breast prosthesis,Allied Scientific Products Pty Ltd,Nagor Ltd,142863,"Prosthesis, internal, mammary, gel filled"
31256,24/07/2013,Juvederm VOLUMA with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
29843,30/07/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
31175,30/07/2013,McGhan Style 110 - Gel filled Round Moderate,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
31181,30/07/2013,McGhan Style 110 - Gel filled Round Moderate Projection,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
31383,26/08/2013,CUI Textured Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
32085,4/10/2013,Orbera Intragastric Balloon,Allergan Australia Pty Ltd,Allergan Inc,106802,"Balloon, gastric, appetite-suppressing"
