Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27113,5/07/2012,Oxford Uni Phase 3 Femoral Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Alpha tibial tray size B RM,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Uni anatomic bearing right med size 4,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
27292,9/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27373,13/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
28759,25/09/2012,Alphamaxx,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
30119,22/02/2013,Oxford Alpha tibial tray size C left medial,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford bearing,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford femoral components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
31877,29/08/2013,Type-S Thermoplastic,alphaXRT Pty Ltd,CIVCO Medical Solutions Inc,149574,"Patient positioning device, diagnostic imaging/radiotherapy, moulding, thermoplastic"
32267,17/10/2013,TopBound Spatula Diathermy,Alphapharm Pty Ltd,Top-Bound Enterprise Co Ltd,198434,"Electrode, electrosurgical, active, foot-controlled, single use"
32358,23/10/2013,Lifehealthcare Diathermy spatula probe,Alphapharm Pty Ltd,Top-Bound Enterprise Co Ltd,198434,"Electrode, electrosurgical, active, foot-controlled, single use"
31109,25/02/2014,Oxford RD Unicondylar Phase 3 Femoral Component Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Oxford Alpha Tibial Tray, Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Oxford Unicondylar Anatomic right Bearing, Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
33764,28/03/2014,I-Beam Type S Overlay,alphaXRT Pty Ltd,CIVCO Medical Solutions Inc,149576,"Patient positioning device, diagnostic imaging/radiotherapy, head/neck"
34000,22/04/2014,Oxford Alpha Tibial Tray Size C LM,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
,,"Prosthesis, internal, joint, knee, unicondylar - Oxford Bearing",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar - Oxford Femoral",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
33994,22/04/2014,Oxford RD Uni Phase 3 Femoral Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar - Oxford Alpha Tibial Tray",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar - Oxford Uni Ant Bearing",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
31921,14/05/2014,Cerafit Hip Prosthesis,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,ALPHA CERA FIT CERAMIC INSERT,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,ALPHA CERA FIT CUP BONIT COATED,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,AMPLITUDE ALUMINA HEAD,Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,INTEGRALE MODULAR STEM HA,Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,MODULAR NECK LATERAL/MEDIAL,Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
32415,14/05/2014,Cerafit hip prothesis,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,"ALPHA CERA FIT CUP BONIT COATED 50MM , Corin-Orthopaedic systems - Hips - various - Prosthesis, internal, joint, hip, total",Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,"AMPLITUDE ALUMINA HEAD 32MM LONG, Prosthesis, internal, joint, hip, total",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,"INTEGRALE MODULAR STEM HA SIZE 2, Prosthesis, internal, joint, hip, total",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,"MODULAR NECK LATERAL+/ MEDIA L +, Prosthesis, internal, joint, hip, total",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
34543,30/06/2014,Alpha Resposne,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,206081,Alternating-pressure bed mattress overlay system
34857,5/08/2014,Oxford Alpha Tibial Tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Oxford Bearing, Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Oxford Femoral, Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
37054,14/04/2015,Oxford Alpha Tibial Tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
37673,16/06/2015,Oxford Alpha Tibial Tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
38010,17/07/2015,IsoAid ADVANTAGE™ I-125 Brachytherapy Seeds,alphaXRT Pty Ltd,Isoaid LLC,154457,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
37854,27/07/2015,METASUL HEAD - Hip prosthesis,Zimmer Biomet Pty Ltd,Zimmer GmbH,99906,"Prosthesis, internal, joint, hip, femoral component"
,,"ALPHA INSERT ME NEUTRAL, Prosthesis, internal, joint, hip, acetabular component",Zimmer Pty Ltd,Zimmer GmbH,99907,"Prosthesis, internal, joint, hip, acetabular component"
,,"Hip stem, Coated hip femur prosthesis, modular",Zimmer Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
38576,11/09/2015,Flexlab System,Alphapharm Pty Ltd,Inpeco SA,198135,Instrument/analyser IVDs
38720,1/10/2015,Alpha Xcell Alternating-pressure bed mattress overlay ststem,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,206081,Alternating-pressure bed mattress overlay system
36448,24/11/2015,Versys - Hip Component,Zimmer Biomet Pty Ltd,Zimmer Inc,95938,"Coated hip femur prosthesis, modular"
,,Durasul? Alpha Inserts - Non-constrained polyethylene acetabular liner,Zimmer Pty Ltd,Zimmer GmbH,226717,Non-constrained polyethylene acetabular liner
,,Revision coated hip femur prosthesis,Zimmer Pty Ltd,Zimmer Inc,208654,Revision coated hip femur prosthesis
,,Revision uncoated hip femur prosthesis,Zimmer Pty Ltd,Zimmer Inc,208269,Revision uncoated hip femur prosthesis
40110,12/02/2016,Alpha Active 3 - Alternating-pressure bed mattress overlay system,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,206081,Alternating-pressure bed mattress overlay system
,,"Bed, general-purpose, electrical",Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
,,"Pressure alleviation pad,",Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,201160,"Pressure alleviation pad, (specify)"
39927,1/03/2016,Alpha Relief Alternating-pressure bed mattress overlay system,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,208235,Alternating-pressure bed mattress overlay system
35519,17/05/2016,Flexlab 3.6 Instrument/Analyser IVD,Alphapharm Pty Ltd,Inpeco S.A,198135,Instrument/Analyser IVD
,,Instrument/analyser IVDs,Abbott Australasia Pty Ltd Diagnostic Division,Abbott Labs Diagnostic Division,199356,Instrument/analyser IVDs
41414,9/06/2016,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable"
,,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
41496,22/06/2016,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegrada"
38652,6/07/2016,"Metasul Alpha Insert II/32, Acetabulum prosthesis",Zimmer Biomet Pty Ltd,Zimmer GmbH,99907,Acetabulum prosthesis
,,"Alloclassic® Zweymüller® Hip Stem Uncemented - Press-fit hip femur prosthesis, modular",Zimmer Pty Ltd,Zimmer GmbH,206912,"Press-fit hip femur prosthesis, modular"
,,"Prosthesis, internal, joint, hip, femoral component",Zimmer Pty Ltd,Zimmer GmbH,99906,"Prosthesis, internal, joint, hip, femoral component"
,,The Allofit®/Allofit®-S Alloclassic® Shell Uncemented - Acetabulum prosthesis,Zimmer Pty Ltd,Zimmer GmbH,210092,Acetabulum prosthesis
41642,7/07/2016,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegrada"
42676,4/10/2016,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
43264,20/10/2016,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
44450,19/01/2017,Durasul Alpha Insert - Non-constrained polyethylene acetabular liner,Zimmer Biomet Pty Ltd,Zimmer GmbH,226717,Non-constrained polyethylene acetabular liner
44293,21/02/2017,XIENCE Alpine Everolimus Eluting Coronary Stent,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
44469,2/03/2017,Durasul Alpha Insert - Non-constrained polyethylene acetabular liner,Zimmer Biomet Pty Ltd,Zimmer GmbH,226717,Non-constrained polyethylene acetabular liner
45362,5/04/2017,Flexlab - Instrument/analyser IVDs,Alphapharm Pty Ltd,Inpeco SA,198135,Instrument/analyser IVDs
45986,10/05/2017,Durasul® Alpha Hooded Inserts,Zimmer Biomet Pty Ltd,Zimmer GmbH,230651,Constrained polyethylene acetabular liner
46155,30/05/2017,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
46040,27/06/2017,Durasul® Alpha Hooded Inserts - Constrained polyethylene acetabular liner,Zimmer Biomet Pty Ltd,Zimmer GmbH,230651,Constrained polyethylene acetabular liner
45364,28/06/2017,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
46383,17/07/2017,Zenith Alpha™ Thoracic Endovascular Graft Proximal Tapered Components,William A Cook Australia Pty Ltd,William Cook Europe A/S,281255,"Graft, vascular, synthetic"
46386,17/07/2017,Zenith Alpha™ Thoracic Endovascular Graft Proximal Tapered Components,William A Cook Australia Pty Ltd,William Cook Europe A/S,281255,"Graft, vascular, synthetic"
47289,12/09/2017,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
46435,7/11/2017,"Zenith Alpha™ Thoracic Endovascular Graft Proximal Components - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,281253,"Graft, vascular, synthetic"
48962,21/12/2017,AlphaXcell - Alternating-pressure bed mattress overlay system,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,288608,Alternating-pressure bed mattress overlay system
49477,22/12/2017,"Trade mark ALP841 Gynecare Gynemesh PS GPSL L02 - Mesh, surgical",Johnson & Johnson Medical Pty Ltd,Ethicon LLC,165075,"Mesh, surgical"
48619,10/01/2018,Accelerator a3600 - Instrument/analyser IVDs,Alphapharm Pty Ltd,Inpeco SA,198135,Instrument/analyser IVDs
48532,30/01/2018,"ZENITH ALPHA ABDOMINAL ENDOVASCULAR GRAFT - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
49675,9/02/2018,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
49233,1/03/2018,"ZENITH ALPHA ABDOMINAL ENDOVASCULAR GRAFT - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
50235,6/04/2018,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
50296,4/05/2018,"ZENITH ALPHA ABDOMINAL ENDOVASCULAR GRAFT - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
49236,24/05/2018,"ZENITH ALPHA ABDOMINAL ENDOVASCULAR GRAFT - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
49875,30/05/2018,Zenith Alpha Abdominal Endovascular Graft,William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
52487,9/07/2018,1133.22 Alphamaxx Extra Long Shift - Surgical table,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
52029,20/07/2018,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
52453,3/08/2018,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
50841,7/08/2018,"Zenith Alpha Abdominal Endovascular Graft - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
51578,28/09/2018,"ZENITH ALPHA ABDOMINAL ENDOVASCULAR GRAFT - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,265762,"Graft, vascular, synthetic"
53276,29/10/2018,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
54653,28/11/2018,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
53451,18/01/2019,"Alphamaxx Surgical Table - Table, operation,",Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
54898,22/02/2019,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
55194,20/03/2019,"ZENITH ALPHA SPIRAL-Z ENDOVASCULAR LEG - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,William Cook Europe A/S,229923,"Graft, vascular, synthetic"
56195,22/03/2019,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
55524,23/03/2019,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
56373,12/04/2019,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
56784,3/05/2019,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
56374,8/05/2019,XIENCE Alpine Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
54996,10/05/2019,ZENITH ALPHA SPIRAL-Z ENDOVASCULAR LEG,William A Cook Australia Pty Ltd,William Cook Europe A/S,229923,"Graft, vascular, synthetic"
54998,10/05/2019,ZENITH ALPHA SPIRAL-Z ENDOVASCULAR LEG,William A Cook Australia Pty Ltd,William Cook Europe A/S,229923,"Graft, vascular, synthetic"
56399,14/05/2019,"XIENCE Alpine Everolimus Eluting Coronary Stent System - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Vascular Inc,266175,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
