Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28850,5/10/2012,Perigee,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
29176,30/10/2012,Perigee,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
29642,17/12/2012,Monarc Subfascial Hammock,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
29506,3/01/2013,AMS Sphincter 800 Urinary Prosthesis,Boston Scientific Pty Ltd,American Medical Systems,165326,"Prosthesis, internal, urethral, sphincter"
29769,4/02/2013,AMS 700 Inflatable Penile Prosthesis,Boston Scientific Pty Ltd,American Medical Systems,106606,"Prosthesis, internal, penile, inflatable"
,,"Stereotactic biopsy system, diagnostic x-ray, mammography",-,Hologic Inc,158773,-
29793,4/02/2013,AMS Sphincter 800 Urinary Prosthesis,Boston Scientific Pty Ltd,American Medical Systems,165326,"Prosthesis, internal, urethral, sphincter"
30315,11/03/2013,Perigee,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
32215,7/10/2013,Elevate Anterior Prolapse Repair System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
30129,5/11/2013,Elevate Anterior Prolapse Repair System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
32681,22/11/2013,Elevate Anterior Prolapse Repair System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
32976,24/12/2013,AMS Sphincter 800 Urinary Prosthesis,Boston Scientific Pty Ltd,American Medical Systems,131706,"Prosthesis, internal, urethral, sphincter"
33629,13/03/2014,Aura XP Laser System,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
34257,26/05/2014,Surgical Mesh,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,132191,"Mesh, surgical"
32059,17/07/2014,AMS ADVANCE XP Sling System,Boston Scientific Pty Ltd,American Medical Systems,126765,"Mesh, surgical"
33037,17/07/2014,SureFlex Fiber,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
,,Holmuim Dornier Medilas Laser Unit,-,N/K,,-
,,Storz Flex-X-Scope,-,N/K,,-
34941,4/08/2014,GreenLight MoXy Fiber Optic,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
,,"GreenLight XPS Laser System, Laser, LBO crystal",Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169103,"Laser, LBO crystal"
,,Storz laser Cystoscope,-,n/k,,-
35303,23/09/2014,AS Link 48,Dako Australia Pty Ltd,Dako North America Inc,225876,Instrument/analyser IVDs
35502,8/10/2014,SureFlex Fibers,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
35868,6/11/2014,Endostat laser,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
,,Aura XP Laser System,-,n/k,,-
,,Laser safe endotracheal tube,-,n/k,,-
,,Rigid laryngoscope,-,n/k,,-
36135,19/12/2014,Ant Elev Post Pros Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
36128,19/12/2014,Ant Elevate Mesh Kit,American Medical Systems Australia Pty Ltd,American Medical Systems,210026,"Mesh, polymeric, non-biodegradable"
36139,19/12/2014,Apogee Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
36126,19/12/2014,Apogee Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
36132,19/12/2014,Apogee Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
36142,19/12/2014,Monarc Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
36145,19/12/2014,SPARC Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,132191,"Mesh, surgical"
36695,25/02/2015,GreenLight MoXy Fiber Optic - Laser,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
36592,7/04/2015,GreenLight MoXy Fiber Optic,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
37089,19/04/2015,Perigee (R) System with IntePro (R) Lite (TM),ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
38112,10/07/2015,"GreenLight MoXy Fiber Optic Laser delivery unit, fibreoptic",Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
38508,3/09/2015,MiniArc Precise,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,144354,"Mesh, surgical"
,,"AMS Elevate Anterior - Elevate PC Anterior and Apical Prolapse Repair System - Mesh, polymeric, non-biodegradable",American Medical Systems Australia Pty Ltd,American Medical Systems,210026,"Mesh, polymeric, non-biodegradable"
,,"AMS Elevate Posterior - Elevate PC Apical and Posterior Prolapse Repair System - Mesh, polymeric, non-biodegradable",American Medical Systems Australia Pty Ltd,American Medical Systems,201891,"Mesh, polymeric, non-biodegradable"
40005,3/02/2016,AMS Greenlight Moxy Fiber Optic,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
40917,24/04/2016,AMS - Monarc Pelvic Mesh,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
41026,1/05/2016,MONARC - Ethicon,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
