Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27381,11/07/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"IIrrigation fluid, medical/surgical procedure",AMO Australia Pty Ltd,AMO Groningen BV,176060,"IIrrigation fluid, medical/surgical procedure"
,,ProVisc,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141143,Aqueous/vitreous humour replacement medium kit
28480,12/09/2012,Ultra Injector,AMO Australia Pty Ltd,Duckworth & Kent Ltd,131006,Intraocular lens inserter
,,One Series Ultra Cartridge,AMO Australia Pty Ltd,Abbott Medical Optics Inc,179040,Intraocular lens inserter
27567,13/09/2012,Emerald AR Unfolder for the Tecnos 1 -piece,AMO Australia Pty Ltd,Abbott Medical Optics Inc,145631,Intraocular lens inserter
31134,31/05/2013,Tecnis Toric Lens,AMO Australia Pty Ltd,Abbott Medical Optics Inc,181845,"Lens, intraocular, posterior chamber"
35447,8/10/2014,Intraocular Lens pre-loaded,AMO Australia Pty Ltd,Abbott Medical Optics Inc,203780,"Lens, intraocular, posterior chamber"
35781,22/12/2014,Tecnis iTec Preloaded Delivery System,AMO Australia Pty Ltd,Abbott Medical Optics Inc,203780,"Lens, intraocular, posterior chamber"
35881,14/01/2015,Tecnis iTec Preloaded Delivery System,AMO Australia Pty Ltd,Abbott Medical Optics Inc,203780,"Lens, intraocular, posterior chamber"
40508,31/05/2016,Tecnis iTec Preloaded 1-Piece IOL,AMO Australia Pty Ltd,Abbott Medical Optics Inc,203780,"Lens, intraocular, posterior chamber"
41860,29/06/2016,COMPLETE RevitaLens,AMO Australia Pty Ltd,Abbott Medical Optics Inc,127336,"Remote control, foot-switch"
43235,16/11/2016,Emerald C30 Cartridge - Intraocular lens-insertion cartridge,AMO Australia Pty Ltd,Abbott Medical Optics Inc,262305,Intraocular lens-insertion cartridge
50262,19/02/2018,The Unfolder Platinum 1 Series Cartridge - Intraocular lens-insertion cartridge,AMO Australia Pty Ltd,Abbott Medical Optics Inc,199682,Intraocular lens-insertion cartridge
,,DUCKWORTH & KENT LTD,-,DUCKWORTH & KENT LTD,,-
48119,10/08/2018,"Baerveldt Glaucoma Shunt - Drain, internal, eye",AMO Australia Pty Ltd,Abbott Medical Optics Inc,168768,"Drain, internal, eye"
59284,5/09/2019,"Verisyse, Anterior Chamber Intraocular Lens, Phakic - Lens, intraocular, anterior chamber",AMO Australia Pty Ltd,Ophtec BV,98019,"Lens, intraocular, anterior chamber"
