Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27813,20/09/2012,"EXTREME EPIPHYSEAL SECTION, Hip Prosthesis",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,AMPLITUDE METALLIC HEAD 28MM MEDIUM,-,Amplitude SAS,,-
,,EXTREME DISTAL NAIL HAP D=16MM L=350MM,-,Amplitude SAS,,-
,,EXTREME LOCKING SCREW D=6.2MM L=40MM,-,Amplitude SAS,,-
,,EXTREME LOCKING SCREW D=6.2MM L=45MM,-,Amplitude SAS,,-
28849,12/10/2012,Amplatzer PFO Occluder,Abbott Medical Australia Pty Ltd,AGA Medical Corporation,134069,Cardiac occluder
28848,12/10/2012,Amplatzer Septal Occluder,Abbott Medical Australia Pty Ltd,AGA Medical Corporation,134067,Cardiac occluder
28997,10/01/2013,Amplatz Superstiff Guidewire,annes test Boston Scientific Pty Ltd,Boston Scientific Corporation,159293,Catheter guide wire
30111,17/04/2013,Amplatz Super Stiff guidewire,Boston Scientific Pty Ltd,Boston Scientific Corporation,201941,Catheter guide wire
31197,24/07/2013,Amplatz Renal Catheter,William A Cook Australia Pty Ltd,Cook Urological Incorporated,139309,"Endotherapy dilator, single use"
31066,10/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Amplatz Super Stiff Guidewire - Catheter guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,201941,Catheter guide wire
32153,11/12/2013,Amplatz SS Straight,Boston Scientific Pty Ltd,Boston Scientific Corporation,201941,Catheter guide wire
31921,14/05/2014,Cerafit Hip Prosthesis,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,ALPHA CERA FIT CERAMIC INSERT,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,ALPHA CERA FIT CUP BONIT COATED,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,AMPLITUDE ALUMINA HEAD,Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,INTEGRALE MODULAR STEM HA,Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,MODULAR NECK LATERAL/MEDIAL,Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
32415,14/05/2014,Cerafit hip prothesis,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,"ALPHA CERA FIT CUP BONIT COATED 50MM , Corin-Orthopaedic systems - Hips - various - Prosthesis, internal, joint, hip, total",Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,"AMPLITUDE ALUMINA HEAD 32MM LONG, Prosthesis, internal, joint, hip, total",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,"INTEGRALE MODULAR STEM HA SIZE 2, Prosthesis, internal, joint, hip, total",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,"MODULAR NECK LATERAL+/ MEDIA L +, Prosthesis, internal, joint, hip, total",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
35718,17/12/2014,Amplatz Super Stiff™,annes test Boston Scientific Pty Ltd,Boston Scientific,159293,Catheter guide wire
,,25mm Lotus Valve System and Lotus Introducer Set,-,n/k,,-
37385,20/07/2015,Amplatz Super Stiff™ Catheter guidewire,Boston Scientific Pty Ltd,Boston Scientific Corporation,201941,"Catheter, guidewire"
,,23mm Lotus Valve system,-,Boston Scientific,N/A,-
38629,18/09/2015,SCORE tibial base plate for mobile bearing insert – HA coated cementless,Corin (Australia) Pty Limited,Amplitude SAS,135327,"Prosthesis, internal, joint, knee, total"
,,ANATOMIC? posterior stabilized femoral component cementless HA coated - Coated knee femur prosthesis,Amplitude Australia Pty Ltd,Amplitude SAS,222528,Coated knee femur prosthesis
39456,2/12/2015,Cobas EGFR AMP/DET 24T IVD - Acquired genetic alteration IVDs,Roche Diagnostics Australia Pty Limited,Roche Diagnostics GmbH,194319,Acquired genetic alteration IVDs
39733,15/02/2016,COBAS® AmpliPrep/COBAS® TaqMan system,Roche Diagnostics Australia Pty Limited,Roche Molecular Systems Inc,180220,Human immunodeficiency virus (HIV) IVDs
37437,4/03/2016,SCORE Knee Prosthesis,Corin (Australia) Pty Limited,Amplitude SAS,135327,"Prosthesis, internal, joint, knee, total"
35598,4/03/2016,Score Knee Prosthesis,Amplitude Australia Pty Ltd,Amplitude SAS,210578,"Uncoated knee tibia prosthesis, metallic"
35600,4/03/2016,Score knee prosthesis,Amplitude Australia Pty Ltd,Amplitude SAS,210577,Uncoated knee femur prosthesis
35634,4/03/2016,Score knee prosthesis,Amplitude Australia Pty Ltd,Amplitude SAS,210577,Uncoated knee femur prosthesis
