Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27113,5/07/2012,Oxford Uni Phase 3 Femoral Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Alpha tibial tray size B RM,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Uni anatomic bearing right med size 4,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
27444,24/07/2012,Oxford Uni anatomic bearing left medium size 6,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford femoral components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford tibial tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28418,3/09/2012,AGC Anatomic porous femoral 65MM (R),Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,AGC V2 Interlok tibial 10X667MM,Biomet Australia Pty Ltd,Biomet UK Ltd,109966,"Prosthesis, internal, joint, knee, tibial component"
28388,4/09/2012,Oxford Medium Anatomic Arcom left 4MM meniscal bearing,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28531,13/09/2012,Oxford Uni anatomic bearing left medium size 6,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford femoral components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford tibial components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28936,18/10/2012,Biomet Oxford Uni anatomical bearing right small size 4,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
29710,21/12/2012,Biomet Oxford Phase 3 HAP femoral medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Anatomic bearing right medium size 3,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Uni cementless tibial tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
29853,21/02/2013,Maxim Interlok anatomic femoral 65 (R),Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,Arcom 3 peg patella,Biomet Australia Pty Ltd,Biomet Orthopedics Inc,121186,"Prosthesis, internal, joint, knee, patellar component"
,,Maxim finned stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Maxim tibial bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Maxim tibial tray,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
30760,23/04/2013,Oxford Phase 3 HAP Medium Femoral Component,Zimmer Pty Ltd,Biomet UK Ltd,206977,Unicondylar knee prosthesis
,,Oxford Medial Porous HA Coated Tibia with Extractor Slot - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206917,Unicondylar knee prosthesis
,,Oxford Partial Knee System Anatomic Meniscal Bearing - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
31561,19/08/2013,Oxford Anatomic left Bearing 3mm,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
,,Oxford Medial Porous HA Coated Tibia with Extractor Slot - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206917,Unicondylar knee prosthesis
,,Oxford Partial Knee System Femoral HA & Porous Coated - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206977,Unicondylar knee prosthesis
31560,19/08/2013,Oxford Anatomic right Bearing 6mm,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
,,"Oxford II femoral component ,Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Right cementless medical tibial tray ,Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
32297,21/10/2013,Oxford meniscal anatomic bearing right med size 4,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
,,Oxford Partial Knee System Femoral HA & Porous Coated - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206977,Unicondylar knee prosthesis
,,"tibial tray, Oxford Medial Porous HA Coated Tibia with Extractor Slot - Unicondylar knee prosthesis",Zimmer Pty Ltd,Biomet UK Ltd,206917,Unicondylar knee prosthesis
32898,17/12/2013,Oxford Unicondylar Anatomical Bearing Right Medium S,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
32900,17/12/2013,Oxford Unicondylar Anatomical Bearing Right Medium S 3mm,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
33349,14/02/2014,Oxford PKS Anatomic bearing right large 5,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
,,other Oxford items,-,n/k,,-
31109,25/02/2014,Oxford RD Unicondylar Phase 3 Femoral Component Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Oxford Alpha Tibial Tray, Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Oxford Unicondylar Anatomic right Bearing, Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
38629,18/09/2015,SCORE tibial base plate for mobile bearing insert – HA coated cementless,Corin (Australia) Pty Limited,Amplitude SAS,135327,"Prosthesis, internal, joint, knee, total"
,,ANATOMIC? posterior stabilized femoral component cementless HA coated - Coated knee femur prosthesis,Amplitude Australia Pty Ltd,Amplitude SAS,222528,Coated knee femur prosthesis
37786,9/03/2016,SMR Anatomic Resection Jig,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,180715,"Orthopaedic prosthesis implantation instrument, re"
,,"Fixation device, internal, wire",Lima Orthopaedics Australia Pty Ltd,Limacorporate,220709,"Fixation device, internal, wire"
41835,1/07/2016,Polytech breast implants - 285cc - 20727 XH Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171782,"Prosthesis, internal, mammary, gel filled"
41833,1/07/2016,Polytech breast implants - 290cc - 20727 XH Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171782,"Prosthesis, internal, mammary, gel filled"
41849,1/07/2016,Polytech breast implants - 320cc - 20735 TMS Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171782,"Prosthesis, internal, mammary, gel filled"
41842,1/07/2016,Polytech breast implants - 320cc - 20776 THS Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171782,"Prosthesis, internal, mammary, gel filled"
41844,1/07/2016,Polytech breast implants - 350cc - 20736 Replicon Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171783,"Prosthesis, internal, mammary, gel filled"
41847,1/07/2016,Polytech breast implants - 350cc - 20736 THS Replicon Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171782,"Prosthesis, internal, mammary, gel filled"
41845,1/07/2016,Polytech breast implants - 390cc - 20735 TMS Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171781,"Prosthesis, internal, mammary, gel filled"
41840,1/07/2016,Polytech breast implants - 395cc - 20736 THS Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171782,"Prosthesis, internal, mammary, gel filled"
41846,1/07/2016,Polytech breast implants - 395cc - 20736 THS Replicon Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171783,"Prosthesis, internal, mammary, gel filled"
41837,1/07/2016,Polytech breast implants - 400cc - 20736 THS Replicon Anatomical,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171783,"Prosthesis, internal, mammary, gel filled"
44239,24/01/2017,Oxford PKS Anatomic Meniscal Bearing - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
46022,4/07/2017,Oxford Partial Knee System Anatomic Meniscal Bearing - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
47071,21/07/2017,Oxford Partial Knee System Anatomic Meniscal Bearing - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
46048,24/07/2017,Oxford Partial Knee System Anatomic Meniscal Bearing - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
41713,19/10/2017,"Anatomic Resection Jig - Orthopaedic prosthesis implantation instrument, re",Lima Orthopaedics Australia Pty Ltd,Lima Corporate S.P.A.,180715,"Orthopaedic prosthesis implantation instrument, re"
47145,2/02/2018,"ATTUNE FB TIB BASE SZ 7 CEM - Uncoated knee tibia prosthesis, metallic",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220503,"Uncoated knee tibia prosthesis, metallic"
,,Attune Cruciate Retaining Cemented Femur - Uncoated knee femur prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220502,Uncoated knee femur prosthesis
,,"Attune Cruciate Retaining Fixed Bearing Insert - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220506,"Prosthesis, knee, internal, insert component"
,,Attune Medialised Anatomic Patella - Polyethylene patella prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),208794,Polyethylene patella prosthesis
50007,16/03/2018,NEUROVENT-P - Intracerebral sensor catheter,Anatomics Pty Ltd,Raumedic AG,282695,Intracerebral sensor catheter
47116,20/03/2018,"SMR Anatomic Resection Jig - Orthopaedic prosthesis implantation instrument, reusable",Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,180715,"Orthopaedic prosthesis implantation instrument, reusable"
50897,28/05/2018,"McGhan Style 510FX - Gel filled Full Height anatomical - Prosthesis, internal, mammary, gel filled",Allergan Australia Pty Ltd,Allergan,171387,"Prosthesis, internal, mammary, gel filled"
,,"Natrelle Truform Dual gel, Textured Single Lumen Breast Implants - Prosthesis, internal, mammary, gel filled",Allergan Australia Pty Ltd,Allergan,171387,"Prosthesis, internal, mammary, gel filled"
51992,14/09/2018,"ATTUNE FB TIB BASE SZ 6 CEM - Uncoated knee tibia prosthesis, metallic",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220503,"Uncoated knee tibia prosthesis, metallic"
,,Attune Medialised Anatomic Patella - Polyethylene patella prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),208794,Polyethylene patella prosthesis
,,Attune Posterior Stabilised Cemented Femur - Uncoated knee femur prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220504,Uncoated knee femur prosthesis
,,"Attune Posterior Stabilised Fixed Bearing Insert - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220507,"Prosthesis, knee, internal, insert component"
52016,26/09/2018,"Eurosilicone Anatomical - Prosthesis, internal, mammary, gel filled",Euro Implants Pty Ltd,Eurosilicone SAS,132040,"Prosthesis, internal, mammary, gel filled"
53704,2/10/2018,"Eurosilicone, Anatomical: The Matrix, Natural Cohesive Gel, Cristalline Textured, (M) Moderate Height, (2) Moderate Projection - Prosthesis, internal, mammary, gel filled",Euro Implants Pty Ltd,Eurosilicone SAS,132040,"Prosthesis, internal, mammary, gel filled"
52501,5/10/2018,"CROSS LINKED ANCHOR PEG GLENOID 40 - Prosthesis, internal, joint, shoulder, glenoid component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedics Inc,224217,"Prosthesis, internal, joint, shoulder, glenoid component"
,,Global Unite Anatomic Proximal Body - Coated shoulder humeral stem prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),231183,Coated shoulder humeral stem prosthesis
,,Global Unite Humeral Head - Humeral head prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),222178,Reverse shoulder prosthesis
48992,9/10/2018,"ATTUNE FB TIB BASE SZ 4 CEM - Uncoated knee tibia prosthesis, metallic",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220503,"Uncoated knee tibia prosthesis, metallic"
,,Attune Medialised Anatomic Patella - Polyethylene patella prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),208794,Polyethylene patella prosthesis
,,Attune Posterior Stabilised Cemented Femur - Uncoated knee femur prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220504,Uncoated knee femur prosthesis
,,"Attune Posterior Stabilised Fixed Bearing Insert - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220507,"Prosthesis, knee, internal, insert component"
53688,19/11/2018,"ATTUNE FB TIB BASE SZ 6 CEM - Uncoated knee tibia prosthesis, metallic",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220503,"Uncoated knee tibia prosthesis, metallic"
,,Attune Cruciate Retaining Cemented Femur - Uncoated knee femur prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220502,Uncoated knee femur prosthesis
,,"Attune Cruciate Retaining Fixed Bearing Insert - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),220506,"Prosthesis, knee, internal, insert component"
,,Attune Medialised Anatomic Patella - Polyethylene patella prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),208794,Polyethylene patella prosthesis
54252,22/11/2018,Neurovent-P - Intracerebral sensor catheter,Anatomics Pty Ltd,Raumedic AG,282695,Intracerebral sensor catheter
54566,22/11/2018,Raumedic Bolt Drill Kit - Intracerebral catheter cranial-fixation kit,Anatomics Pty Ltd,Raumedic AG,283029,Intracerebral catheter cranial-fixation kit
,,NEUROVENT-P - Intracerebral sensor catheter,Anatomics Pty Ltd,Raumedic AG,282695,Intracerebral sensor catheter
55029,18/12/2018,Polytech Textured Gel Anatomical Shape Breast Implant,JT Medical Pty Ltd,Polytech Health & Aesthetics GmbH,171783,"Prosthesis, internal, mammary, gel filled"
53854,9/01/2019,ATTUNE RP TIB BASE SZ 7 POR - Coated knee tibia prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),290324,Coated knee tibia prosthesis
,,Attune Cementless CR Femur - Coated knee femur prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),290326,Coated knee femur prosthesis
,,"Attune Cruciate Retaining Rotating Platform Insert - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),226662,"Prosthesis, knee, internal, insert component"
,,Attune Medialised Anatomic Patella - Polyethylene patella prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),208794,Polyethylene patella prosthesis
56020,21/02/2019,"Eurosilicone, Anatomical The Matrix, Natural Cohesive Gel, Cristalline Textured - Prosthesis, internal, mammary, gel filled",Euro Implants Pty Ltd,Eurosilicone SAS,132040,"Prosthesis, internal, mammary, gel filled"
56395,18/03/2019,Neurovent-P - Intracerebral sensor catheter,Anatomics Pty Ltd,Raumedic AG,282695,Intracerebral sensor catheter
54946,16/04/2019,Oxford Unicondylar Knee Prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206977,Unicondylar knee prosthesis
,,Oxford Medial Porous HA Coated Tibia with Extractor Slot - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206917,Unicondylar knee prosthesis
,,Oxford Partial Knee System Anatomic Meniscal Bearing - Unicondylar knee prosthesis,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
54662,6/05/2019,"ANATOMIC® tibial base plate for fixed bearing insert cemented Size 4 - Uncoated knee tibia prosthesis, metallic",Amplitude Australia Pty Ltd,Amplitude,222531,"Uncoated knee tibia prosthesis, metallic"
58300,8/07/2019,"Stem: Minimax Cementless anatomical stem right size 2 - Press-fit hip femur prosthesis, one-piece",Medacta Australia Pty Ltd,Medacta International SA,273843,"Press-fit hip femur prosthesis, one-piece"
,,Biolox Delta Ball Head - Ceramic femoral head prosthesis,Medacta Australia Pty Ltd,Ceramtec GmbH,230892,"Prosthesis, hip, internal, femoral head component"
,,Biolox Delta Ceramic Liner - Ceramic acetabular liner,Medacta Australia Pty Ltd,Ceramtec GmbH,230648,Acetabulum prosthesis
57529,23/08/2019,"Stem: Minimax Cementless anatomical stem right size 3 - Press-fit hip femur prosthesis, one-piece",Medacta Australia Pty Ltd,Medacta International SA,273843,"Press-fit hip femur prosthesis, one-piece"
57733,23/08/2019,"Stem: Minimax Cementless anatomical stem right size 3 - Press-fit hip femur prosthesis, one-piece",Medacta Australia Pty Ltd,Medacta International SA,273843,"Press-fit hip femur prosthesis, one-piece"
59795,15/10/2019,Neurovent-P - Intracerebral sensor catheter,Anatomics Pty Ltd,Raumedic AG,282695,Intracerebral sensor catheter
60123,14/11/2019,Neurovent-P - Intracerebral sensor catheter,Anatomics Pty Ltd,Raumedic AG,282695,Intracerebral sensor catheter
58797,11/12/2019,"SMR - ANATOMIC RESECTION JIG - Orthopaedic prosthesis implantation instrument, reusable",Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,180715,"Orthopaedic prosthesis implantation instrument, reusable"
59811,13/12/2019,"Stem: Minimax Cementless anatomical stem right size 5 - Press-fit hip femur prosthesis, one-piece",Medacta Australia Pty Ltd,Medacta International SA,273843,"Press-fit hip femur prosthesis, one-piece"
60073,1/04/2020,SMR - ANATOMIC RESECTION JIG,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,180715,"Orthopaedic prosthesis implantation instrument, reusable"
59196,15/04/2020,"ATTUNE PS RP INSRT SZ 6 8MM - Prosthesis, knee, internal, insert component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy (Ireland),213019,"Prosthesis, knee, internal, insert component"
