Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27391,17/07/2012,"Balloon, gastric, appetite-suppressing",Gastro Pacific Pty Ltd,Spatz FGIA Inc,174506,"Balloon, gastric, appetite-suppressing"
27415,18/07/2012,Alexis Wound Retractor Large for 9-14cm,Applied Medical Australia Pty Ltd,Applied Medical Resources,116725,"Holder, retractor, surgical"
27414,18/07/2012,Direct Drive Disposable Clip Applier 10mm,Applied Medical Australia Pty Ltd,Applied Medical Resources,116980,"Clip, internal, ligating"
27418,19/07/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145398,"Clamp, surgical, vascular"
27509,10/08/2012,Epix Direct Drive Disposable Clip Applier 10mm,Applied Medical Australia Pty Ltd,Applied Medical Resources,116980,"Clip, internal, ligating"
27491,14/08/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145123,"Clamp, surgical, vascular"
28058,21/08/2012,Libra Applicator Tampon,Asaleo Personal Care Pty Ltd,Ontex Hygienartike,180105,"Sanitary wear, tampon, menstrual"
28171,24/08/2012,Epicor UltraCinch LP,St Jude Medical Australia Pty Ltd,St Jude Medical,160368,Cardiac tissue ablation system applicator
,,Epicor Ablation Control System,St Jude Medical Australia Pty Ltd,St Jude Medical,118008,"Generator, hyperthermia system"
,,Positioning and Sizing System (PAS),St Jude Medical Australia Pty Ltd,St Jude Medical,123728,Cardiac tissue ablation system applicator placement device
28316,3/09/2012,COVIDIEN PREMIUM SURGICLIP,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,149288,"Applier, surgical, clip, haemostatic, single use"
28317,3/09/2012,COVIDIEN stapler with dst series technology,Medtronic Australasia Pty Ltd,Covidien llc,180134,"Applier, surgical, staple"
28757,6/09/2012,Epix Universal Clip Applier,Applied Medical Australia Pty Ltd,Applied Medical Resources,116980,"Clip, internal, ligating"
27438,12/09/2012,CURVED AGB W/ SUTURELESS PORT & APPLIER,Johnson & Johnson Medical Pty Ltd,Obtech Medical SARL,94766,"Prosthesis, internal, band, gastroplasty"
28527,14/09/2012,Acculis Microwave ablation applicator,Getz Healthcare Pty Ltd,Microsulis Holdings Ltd incorporating Microsulis Medical Ltd,174514,"Hyperthermia applicator, microwave, intracorporeal"
28629,18/09/2012,LiquiBand,Life Healthcare Pty Ltd,Advanced Medical Solutions Plymouth Ltd,151324,"Adhesive, soft tissue approximation"
27903,25/09/2012,Ligamax Clip Applier,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,122810,"Clip, internal, ligating"
,,Ligamax Clip Applier,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,122810,"Clip, internal, ligating"
27979,25/09/2012,Ligamax Clip Applier,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,122810,"Clip, internal, ligating"
28272,25/09/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
,,Linear Cutter Reload Selectable,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
27975,4/10/2012,45MM ARTICNG LNR CUTR/WHT RLD,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132169,"Applier, surgical staple, cutting"
,,EES Endopath Reloads,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132171,"Fixation device, internal, staple, tissue"
