Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26781,17/07/2012,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
,,Speed Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
26784,17/07/2012,Speed Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
,,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
26432,2/08/2012,Tibiaxys Ankle Arthrodesis Plating System,Integra Neurosciences Pty Ltd,Newdeal SAS,173932,"Fixation plate, fracture-healing, non-biodegradable."
28238,29/08/2012,Wave Pump III - Fluid Pump,Device Technologies Australia Pty Ltd,Arthrex Inc,140707,"Distension unit, fluid, arthroscopic"
28477,12/10/2012,Biocomposite Corkscrew with Suture Anchor,Device Technologies Australia Pty Ltd,Arthrex Inc,164048,"Prosthesis, internal, ligament, anchor"
29387,22/11/2012,Small Bone Fasttak,Device Technologies Australia Pty Ltd,Arthrex Inc,126657,"Prosthesis, internal, ligament, anchor"
28714,4/02/2013,Tibiaxys Ankle Arthrodesis Plating System,Integra Neurosciences Pty Ltd,Newdeal SAS,173932,"Fixation plate, fracture-healing, non-biodegradable."
30018,8/02/2013,Small Bone Fasttak,Device Technologies Australia Pty Ltd,Arthrex Inc,126657,"Prosthesis, internal, ligament, anchor"
26488,26/02/2013,Smart Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
25157,28/03/2013,DYONICS RF-S WHIRLWIND 90° Probe,Arthrocare Australasia Pty Ltd,Arthrocare Corporation,147259,"Electrosurgical system electrode, active, general-purpose"
29813,8/04/2013,Ambient Super TurboVac 90 electrosurgical hand controlled switch,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,186655,"Electrode, electrosurgical, active, hand-controlled, single use"
26776,25/04/2013,Ambient Super TurboVac 90 IFS,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,186655,"Electrode, electrosurgical, active, hand-controlled, single use"
29979,29/04/2013,Ambient Super TurboVac 90 with Integrated Finger Switches,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,186655,"Electrode, electrosurgical, active, hand-controlled, single use"
