Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28850,5/10/2012,Perigee,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
29176,30/10/2012,Perigee,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
29392,11/12/2012,Fluted silicone drain FG10 with trocar,Astra Tech Pty Ltd,Astra Tech AB,141220,Drain insertion set
29642,17/12/2012,Monarc Subfascial Hammock,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
30315,11/03/2013,Perigee,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
26882,22/05/2013,Air Optix Astigmatism,Alcon Laboratories Australia Pty Ltd,Ciba Vision Corp,141131,"Contact lens, vision corrective, reusable"
32215,7/10/2013,Elevate Anterior Prolapse Repair System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
30129,5/11/2013,Elevate Anterior Prolapse Repair System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
32681,22/11/2013,Elevate Anterior Prolapse Repair System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
34257,26/05/2014,Surgical Mesh,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,132191,"Mesh, surgical"
33940,8/07/2014,Sigma Asthma Spacer,Ecomed Pty Ltd,Koo Shanghai Industries Co Ltd,202559,Medicine chamber spacer
36135,19/12/2014,Ant Elev Post Pros Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
36126,19/12/2014,Apogee Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
36132,19/12/2014,Apogee Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
36139,19/12/2014,Apogee Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
36142,19/12/2014,Monarc Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
36145,19/12/2014,SPARC Mesh Kit,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,132191,"Mesh, surgical"
37089,19/04/2015,Perigee (R) System with IntePro (R) Lite (TM),ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
38508,3/09/2015,MiniArc Precise,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,144354,"Mesh, surgical"
,,"AMS Elevate Anterior - Elevate PC Anterior and Apical Prolapse Repair System - Mesh, polymeric, non-biodegradable",American Medical Systems Australia Pty Ltd,American Medical Systems,210026,"Mesh, polymeric, non-biodegradable"
,,"AMS Elevate Posterior - Elevate PC Apical and Posterior Prolapse Repair System - Mesh, polymeric, non-biodegradable",American Medical Systems Australia Pty Ltd,American Medical Systems,201891,"Mesh, polymeric, non-biodegradable"
40917,24/04/2016,AMS - Monarc Pelvic Mesh,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
41026,1/05/2016,MONARC - Ethicon,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
41031,2/05/2016,American Medical Systems/Boston Scientific - Elevate Apical and Posterior System with InteProLite,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
41402,1/06/2016,MONARC SUB FACIAL SLING,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
42238,3/08/2016,"Monarc trans-obturator tape, Vaginal Mesh",ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
43863,29/11/2016,Monarc (R) Subfascial Hammock,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
43891,1/12/2016,Miniarc - Sub-Urethral suspension,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,144354,"Mesh, surgical"
44281,30/12/2016,Monarc (TM) Subfacial Hammock,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
44283,2/01/2017,Monarc (TM) Subfacial Hammock,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
44943,22/02/2017,American Medical Systems Monarc Subfascial Hammock - Trans Vaginal Tape or TVT-O,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
45002,26/02/2017,American Medical Systems - SPARC Self Fixating Sling System,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,132191,"Mesh, surgical"
45304,19/03/2017,Monarc tape,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
45796,27/04/2017,American Medical Systems - Monarc Bladder Sling,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
45845,1/05/2017,Monarc (TM) Subfascial Hammock,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
45853,1/05/2017,Tyco healthcare-IVS-02,Covidien Pty Ltd,Tyco Healthcare (UK) Manufacturing LTD,96213,"Prosthesis, incontinence"
,,"Mesh, surgical",ASTORA Women's Health Australia Pty Ltd,American Medical Systems,106520,"Mesh, surgical"
,,"Mesh, surgical",Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,94490,"Mesh, surgical"
46007,3/05/2017,Monarc Bladder Sling,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,92718,"Mesh, surgical"
46025,11/05/2017,Perigee System with IntePro,ASTORA Women's Health Australia Pty Ltd,American Medical Systems,108395,"Mesh, surgical"
45070,29/05/2017,3M ESPE ASTRIGENT RETRACTION PASTE - Gingival retraction solution,3M Australia Pty Ltd,3M Deutschland GmbH,196022,Gingival retraction solution
