Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29911,9/01/2013,ACDA - Anticogulant for Apheresis Therapeutic Plasma Exchange,Aurora BioScience Pty Ltd,Baxter Healthcare Pty Ltd,203404,"Blood storage solution, anticoagulation"
29912,9/01/2013,ACDA infusion for Anti-coagulant during Apheresis Therapeutic Platelet Reduction,Aurora BioScience Pty Ltd,Baxter Healthcare Pty Ltd,203404,"Blood storage solution, anticoagulation"
33629,13/03/2014,Aura XP Laser System,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
34794,29/07/2014,Uptake Medical® Endoscopic Thermal Vapor Ablation System (InterVapor),Aurora BioScience Pty Ltd,Uptake Medical Corp,193139,Thermal vapour lung treatment system catheter
,,Thermal vapour lung treatment system application software,Aurora BioScience Pty Ltd,Uptake Medical Corp,193138,Thermal vapour lung treatment system application software
,,Thermal vapour lung treatment system generator,Aurora BioScience Pty Ltd,Uptake Medical Corp,193147,Thermal vapour lung treatment system generator
39580,15/12/2015,Ambu AuraGain,AMBU Australia Pty Ltd,Ambu AS,220597,"Airway, laryngeal, single-use"
41758,25/06/2016,Ambu AuraGain Laryngeal Mask Airway,AMBU Australia Pty Ltd,Ambu AS,104654,"Airway, laryngeal, single-use"
41150,4/07/2016,"Laser delivery unit, fibreoptic",Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169227,"Laser delivery unit, fibreoptic"
,,"Laser, KTP, Aura XP Laser Console",Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,169092,"Laser, KTP"
43589,10/10/2016,Replens Vaginal Gel 35g Vaginal Moisturiser,Aurora Pharmaceuticals Pty Ltd T/a Omega Pharma,Church & Dwight Co Inc,266826,"Lubricant, patient, vaginal"
47740,6/10/2017,Aurous Centimeter Vessel Sizing Catheter - Vessel measuring device,William A Cook Australia Pty Ltd,Cook Incorporated,153374,Vessel measuring device
50130,9/02/2018,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,LivaNova USA Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
53000,15/08/2018,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,LivaNova USA Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
,,VNS Therapy,LivaNova Australia Pty Ltd,LivaNova USA Inc,192081,"Electrode/lead, stimulator, implantable, vagus nerve"
53126,17/09/2018,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,LivaNova USA Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
53967,19/11/2018,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,Aurora BioScience Pty Ltd,LivaNova USA Inc,275135,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
49387,26/02/2019,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,LivaNova USA Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
55004,6/03/2019,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,LivaNova USA Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
55700,26/03/2019,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,Aurora BioScience Pty Ltd,LivaNova USA Inc,275135,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
57468,19/07/2019,Aura XP Laser System - Surgical frequency-doubled Nd:YAG laser system>,Boston Scientific Pty Ltd,American Medical Systems Innovation Centre - Silicon Valley,279817,"Laser, Nd/YAG freqyency-doubled"
59034,18/10/2019,"Aurical AUD/PMM, 1081 - Audiometer, pure-tone",Natus Medical Pty Ltd,GN Otometrics AS,94701,"Audiometer, pure-tone"
59180,29/10/2019,VNS Therapy - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,LivaNova USA Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
58808,7/02/2020,Aurical VSM Freefit - Audiometer testing system,Natus Medical Pty Ltd,GN Otometrics AS,94689,Audiometer testing system
