Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27224,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27223,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27202,2/07/2012,Promote Accel RF Model CD3215,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,158920,"Defibrillator, implantable, automatic"
27234,3/07/2012,Laminectomy Pack,Medline International Two Australia Pty Ltd,Medline International Two Australia Pty Ltd,140058,"Surgical procedure kit, neurosurgical, single-use, medicated"
27237,3/07/2012,Perclose ProGlide 6F Suture Medicated Closure (SMC) System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
27244,3/07/2012,Xience Prime LL Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167878,"Coronary artery stent, drug-eluting"
,,Balance Inflation Device,-,Abbott Vascular,,-
,,Trek Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,158027,Catheter guide wire
,,Xience Prime,-,Abbott Vascular Inc,,-
25087,5/07/2012,32MM +4 LFIT V40 HEAD,Stryker Australia Pty Ltd,Benoist Girard,139227,"Prosthesis, hip, internal, femoral head component"
27272,5/07/2012,Delta ceramic femoral head,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,Exceed ABT acetabular shell,Zimmer Pty Ltd,Biomet UK Ltd,108359,"Prosthesis, internal, joint, hip, acetabular component"
,,Mallory Head femoral stem,Zimmer Pty Ltd,Biomet UK Ltd,108360,"Prosthesis, internal, joint, hip, femoral component"
26799,5/07/2012,Durata Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,159845,"Lead, defibrillator/pacemaker, implantable"
,,Current RF DR Model 2207,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,149302,"Defibrillator, implantable, automatic"
27784,5/07/2012,Linox Smart,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,191636,"Lead, defibrillator/pacemaker, implantable"
27266,5/07/2012,Prostar XL Suture-Mediated Closure,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
27260,5/07/2012,"SMR, Shoulder Prosthesis",Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,168581,"Prosthesis, internal, joint, shoulder, glenoid component"
27270,5/07/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Resolute Integrity stent,Medtronic Australasia Pty Ltd,Medtronic Inc,188598,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
27245,6/07/2012,CaviWipes XL,Kerr Australia Pty Ltd,Metrex Research Corporation,102132,Towelettes disinfectant wipes
27274,6/07/2012,SMR Metal Back Insert,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,168581,"Prosthesis, internal, joint, shoulder, glenoid component"
27398,6/07/2012,"T SET, 3 WAY, 2ASV, 1BCV, 15CM",CareFusion Australia 316 Pty Ltd,Anaesthetic Medical Systems,125459,"Tubing extension set, intravenous administration"
27289,9/07/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
27381,11/07/2012,AcrySof,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
,,"IIrrigation fluid, medical/surgical procedure",AMO Australia Pty Ltd,AMO Groningen BV,176060,"IIrrigation fluid, medical/surgical procedure"
,,ProVisc,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,141143,Aqueous/vitreous humour replacement medium kit
27341,11/07/2012,Endurant Stent Graft,Medtronic Australasia Pty Ltd,Medtronic Inc,158459,"Graft, vascular, synthetic"
27363,12/07/2012,Illumena contrast injector system,Guerbet Australia Pty Ltd,Liebel-Flarsheim Company,93438,"Contrast medium injector system, powered, single-phase"
27361,12/07/2012,Multi-Link RX Vision Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
27368,12/07/2012,Nathanson Cystic/Common Bile Duct Exploration Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
27359,12/07/2012,PressureWire Certus,St Jude Medical Australia Pty Ltd,St Jude Medical Systems AB,156251,"Transducer, pressure, catheter tip"
27347,12/07/2012,Technipro PulmoMed,Mediplast Australia Pty Ltd,Pari Pharma GmbH,148661,"Nebulizer, non-heated"
27339,13/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Octrode Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27380,16/07/2012,ABSOLUTE .035 Self Expanding Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,146848,"Prosthesis, internal, stent, vascular"
27379,16/07/2012,MINI TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Balance Inflation Device,-,Abbott Vascular,,-
,,Xience Prime,-,Abbott Vascular Inc,,-
27369,16/07/2012,MISC. INSTRUMENTS - UPPER TRAY,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27390,17/07/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
26642,17/07/2012,LenSx Laser,Alcon Laboratories Australia Pty Ltd,Alcon LenSx Inc,181017,Femtosecond ophthalmic Yb: Glass laser system
27400,17/07/2012,SMR Metal Back Insert,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,168581,"Prosthesis, internal, joint, shoulder, glenoid component"
27415,18/07/2012,Alexis Wound Retractor Large for 9-14cm,Applied Medical Australia Pty Ltd,Applied Medical Resources,116725,"Holder, retractor, surgical"
27402,18/07/2012,Blade laryngoscope macintosh size 4 LED single use,Proact Medical Systems (Australia) Pty Ltd,Vision Medical Devices India Pvt Ltd,122907,"Laryngoscope, intubation"
27414,18/07/2012,Direct Drive Disposable Clip Applier 10mm,Applied Medical Australia Pty Ltd,Applied Medical Resources,116980,"Clip, internal, ligating"
27510,18/07/2012,Duracon Knee Prosthesis,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146124,"Prosthesis, internal, joint, knee, tibial component"
,,DURACON CS TIBIA INSERT MED 11,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146124,"Prosthesis, internal, joint, knee, tibial component"
27508,18/07/2012,Guide Wire,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139721,"Fixation device, internal, wire"
,,"Fixation device, internal, screw",Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
27406,18/07/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Eon Mini IPG Model 3788,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Holder, cable/lead",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
26462,18/07/2012,Pulsar 18,Biotronik Australia Pty Ltd,Biotronik AG,169368,"Prosthesis, internal, stent, vascular"
,,Pulsar 18,Biotronik Australia Pty Ltd,Biotronik AG,169368,"Prosthesis, internal, stent, vascular"
27405,18/07/2012,StarClose SE Vascular Closure System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,151851,Femoral Artery Closure Kit
27403,18/07/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Balance MiddleWeight J tip guide wire,-,Abbott Vascular,,-
27408,18/07/2012,Voyager NC Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,160365,"Catheter, angioplasty, balloon dilatation"
,,NC Quantum Apex Dilatation Catheter,-,Boston Scientific Corporation,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
,,TREK Inflation Device,-,Abbott Vascular,,-
,,Whisper guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,198622,Catheter guide wire
27418,19/07/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145398,"Clamp, surgical, vascular"
27413,19/07/2012,Entral Feeding Pump,Abbott Australasia Pty Ltd,Abbott Ireland Ltd,133466,"Infusion pump, enteral feeding"
25900,19/07/2012,Optium Xceed Blood Glucose Monitoring System,Abbott Australasia Pty Ltd T/A Abbott Diabetes Care,Abbott Diabetes Care Ltd,107114,"Glucose monitoring system IVD, home-use/point-of-care"
27416,19/07/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
,,Balance MiddleWeight Guide wire,-,Abbott Vascular,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
28538,20/07/2012,Angio-Seal,Terumo Australia Pty Ltd,St Jude Medical,128525,"Sponge, haemostatic, absorbable"
27425,20/07/2012,ConMed Goldvac,ConMed Linvatec Australia Pty Ltd,ConMed Corporation,160999,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27441,20/07/2012,Deltec Cozmo Insulin Pump,Medical Specialties Australia Pty Ltd,Smiths Medical ASD Incorporated,98469,"Infusion pump, insulin, ambulatory"
27420,20/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Model 3183,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27429,20/07/2012,"Eon Rechargeable IPG, 16-Channel",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27423,20/07/2012,Xpert Self-Expanding Stent System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,151852,"Prosthesis, internal, stent, vascular"
27030,23/07/2012,Patient Monitor,GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,115304,"Patient monitor, multiparameter"
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
27558,24/07/2012,Triathlon Size 4-6 Keel Punch,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27534,25/07/2012,Quattrode Electrode/Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131946,"Electrode/lead, stimulator, implantable, neurological"
27559,25/07/2012,T-handle reamer,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27557,25/07/2012,TRIDENT ACET WINDOW TRIAL 54MM,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27520,26/07/2012,ALARIS GP VOLUMETRIC PUMP GUARDRAILS,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
27560,26/07/2012,C2A Delta ceramic femoral head 36MM -3MM T1,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
27532,26/07/2012,Portex,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,156925,"Tracheostomy tube, clinical-use, reinforced, single-use"
27721,26/07/2012,Trident 0 Deg Constrained Insert,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
27563,27/07/2012,ACCU-CHEK COMBO,Roche Diabetes Care Australia Pty Ltd,Roche Diagnostics GmbH,190251,Clinical chemistry substrate IVDs
27542,27/07/2012,Deltec,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Incorporated,169403,"Port/catheter, internal, subcutaneous"
27523,27/07/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27550,27/07/2012,Infuse Bone Graft with LT Cage,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,121164,"Graft kit, spinal fusion"
27635,30/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
27681,30/07/2012,Libra,Asaleo Personal Care Pty Ltd,SCA Hygiene Australasia Pty Limited,27944,Tampon
27727,31/07/2012,"MRI system, full-body, superconducting magnet",GE Healthcare Australia Pty Ltd,GE Medical Systems LLC,108415,"MRI system, full-body, superconducting magnet"
27722,1/08/2012,Accolade Plus TMZF Hip Stem #4,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,145594,"Prosthesis, internal, joint, hip, femoral component"
,,Mitch TRH Md Hd Sz50+4,-,Finsbury Orthopaedics Ltd,,-
27675,2/08/2012,Pipeline Embolization Device (PEP),Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
26673,2/08/2012,Portex Spinal Needle - 25g x 90mm length,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,138950,"Needle, anaesthesia, spinal"
27726,2/08/2012,SJM Epic Stented Porcine Heart Valve,Abbott Medical Australia Pty Ltd,St Jude Medical,164941,"Graft, cardiac valve"
27719,3/08/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27770,3/08/2012,INRatio2,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
27816,6/08/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
27745,6/08/2012,Lomb Scalpel Blade,Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151830,"Surgical procedure kit, general-purpose, single-use, non-medicated"
,,"Surgical procedure kit, ENT, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151834,"Surgical procedure kit, ENT, single-use, non-medicated"
,,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151833,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated"
,,"Surgical procedure kit, orthopaedic, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151832,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
27743,6/08/2012,SMR Glenoid Insert,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,168581,"Prosthesis, internal, joint, shoulder, glenoid component"
27756,6/08/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
27863,7/08/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
27818,7/08/2012,INRatio2,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
27916,8/08/2012,Allergan Breast Implant,Allergan Australia Pty Ltd,Allergan,175420,"Prosthesis, internal, mammary, gel filled"
27809,8/08/2012,Babylog,Draeger Australia Pty Ltd,Drager Medical GmbH,170141,"Ventilator, neonatal/paediatric"
24786,8/08/2012,Endoscopic Cholangiography Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
27817,8/08/2012,Impax,AGFA HealthCare Australia,Heartlab Inc,127983,"Picture archiving and communication system, radiology"
27766,8/08/2012,MULTI-LINK 8 Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,174511,"Stent, vascular, coronary artery"
,,Apex dilatation catheter,-,Boston Scientific Corporation,,-
,,Multi Link Vision stent,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
27832,8/08/2012,X3 Patella Button,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
27828,8/08/2012,Xience Prime SV Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167879,"Coronary artery stent, drug-eluting"
