Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
31249,1/08/2013,Avantage insert 46/22,Zimmer Pty Ltd,Biomet France,119236,Acetabulum prosthesis
,,"Avantage cemented Shell , Prosthesis, internal, joint, hip, acetabular component",Zimmer Pty Ltd,Biomet France,119236,"Prosthesis, internal, joint, hip, acetabular component"
31675,7/08/2013,Avalon Double Lumen ECMO catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
28566,23/08/2013,Magnetom Avanto MRI,Siemens Healthcare Pty Ltd,Siemens AG,98485,"MRI system, full-body, superconducting magnet"
32240,11/10/2013,Avantage cemented shell,Zimmer Pty Ltd,Biomet France,119236,Acetabulum prosthesis
,,"modular femoral head, Prosthesis, hip, internal, femoral head component",Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,"The Avantage liner, Prosthesis, internal, joint, hip, acetabular component",Zimmer Pty Ltd,Biomet France,119236,"Prosthesis, internal, joint, hip, acetabular component"
,,"The OSS femoral stem components, Prosthesis, internal, joint, knee, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
31489,11/10/2013,MAGNETOM Avanto,Siemens Healthcare Pty Ltd,Siemens AG,98485,"MRI system, full-body, superconducting magnet"
32631,21/11/2013,Nimbus 3 sistema Fluttuazione dinamica Avanzata,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,206081,Alternating-pressure bed mattress overlay system
32090,11/12/2013,Avalon Elite Bi-Caval Dual Lumen Catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
32972,24/12/2013,Avantage cemented shell 52MM,Zimmer Pty Ltd,Biomet France,119236,Acetabulum prosthesis
,,"Prosthesis, hip, internal, femoral head component",Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, acetabular component",Zimmer Pty Ltd,Biomet France,119236,"Prosthesis, internal, joint, hip, acetabular component"
33027,4/02/2014,MAGNETOM Avanto,Siemens Healthcare Pty Ltd,Siemens AG,98485,"MRI system, full-body, superconducting magnet"
34084,24/04/2014,enfilcon A / Avaira Sphere contact lens,Coopervision Australia Pty Ltd,CooperVision Manufacturing Ltd T/a Aspect Vision Care - CL Tinters - Hydron - Ocular Sciences,169193,"Contact lens, vision corrective, reusable"
34594,7/07/2014,Avantage Liner 50/28 UHMWPE,Zimmer Pty Ltd,Biomet France,119236,Acetabulum prosthesis
35184,20/10/2014,ThermoCool Smart Touch Bi-Directional Navigation C,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
,,"FIXED 6F 4P F PU 252MM R10 115, AVAIL Fixed Curve Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping?",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,145985,"Catheter, cardiac, electrophysiological mapping"
,,"FIXED AVAIL 6F 10P P 282 10P, WEBSTER Fixed Curve Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping?",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,146266,"Catheter, cardiac, electrophysiological mapping"
28325,24/11/2014,GC Envoy 6F 070 MPD 100CM Intravascular Catheter,Johnson & Johnson Medical Pty Ltd,Cordis Corp,141866,"Catheter, intravascular, guiding"
,,"Avanti+ 6F Sheath, Catheter Sheath Introducer System - Catheter introducer",Johnson & Johnson Medical Pty Ltd,Cordis Corp,125583,Catheter introducing sheath
