Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28340,30/08/2012,Multi-Link RX Vision Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
,,SeQuent Please - paclitaxel coated balloon catheter,B Braun Australia Pty Ltd,B Braun Melsungen AG,181392,"Angioplasty catheter, balloon dilatation, coronary, basic"
31477,15/07/2013,Extension Tube Discofix C,B Braun Australia Pty Ltd,B Braun Melsungen AG,121262,Infusion stopcock
33520,20/02/2014,BRAUN SANGOFIX B (IV GIVING set),B Braun Australia Pty Ltd,B Braun Melsungen AG,202978,"Infusion administration set, infusion pump"
33844,4/04/2014,SeQuent Please,B Braun Australia Pty Ltd,B Braun Melsungen AG,181392,"Angioplasty catheter, balloon dilatation, coronary, basic"
34340,5/06/2014,Infusomat Space Line,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,"Infusion administration set, infusion pump"
34339,5/06/2014,Infusomat spaceline,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,"Infusion administration set, infusion pump"
34990,20/08/2014,"Dosifix / Braun, Burette",B Braun Australia Pty Ltd,B Braun Melsungen AG,140870,"Intravenous administration set, buret"
35605,27/10/2014,"Aesculap Loan set Mini op suction cannula, sharp",B Braun Australia Pty Ltd,Single Use Surgical Ltd,98428,"Catheter, suction, general-purpose"
35652,30/10/2014,Infusomat Cyto set Infusomat space 5 x safsite,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,"Infusion administration set, infusion pump"
35949,1/12/2014,"Infusomat space admin set, piggyback",B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
36322,15/01/2015,Infusomat Admin set,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
37159,24/04/2015,"B.Braun Volumetric Infusion Pump for the infusion of blood/blood products, Saline and medications.",B Braun Australia Pty Ltd,B Braun Melsungen AG,116814,"Infusion pump, general-purpose"
37236,1/05/2015,"BBraun Infusomat Spaceline ""Safe Set""- IV Pump infusion set",B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
37403,18/05/2015,Ecopin Syringe tip cap,B Braun Australia Pty Ltd,B Braun Melsungen AG,141998,Syringe tip cap
37699,17/06/2015,Infusomat,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
37732,19/06/2015,Discofix C Extension Tubing,B Braun Australia Pty Ltd,B Braun Melsungen AG,139265,"Tubing extension set, intravenous administration"
37727,19/06/2015,"Discofix C Tubing extension set, intravenous administration",B Braun Australia Pty Ltd,B Braun Melsungen AG,139265,"Tubing extension set, intravenous administration"
38027,20/07/2015,B Braun Caresite Luer Access Device,B Braun Australia Pty Ltd,B Braun Melsungen AG,140173,"Adaptor, luer"
38098,27/07/2015,"Dosifix IV ADMIN SET, BURETTE, 150mL, 60dpm shut off valve",B Braun Australia Pty Ltd,B Braun Melsungen AG,140870,"Intravenous administration set, buret"
38323,14/08/2015,"Sangofix, admin set sangofix 2 x safesite 1 way valve hand blood pump set",B Braun Australia Pty Ltd,B Braun Melsungen AG,202978,Electric infusion pump administration set
38878,16/10/2015,B Braun Infusomat Space Line- Type IV-Injection -Neutrapur Luer lock,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
39134,4/11/2015,Caresite Valve Positive Pressure,B Braun Australia Pty Ltd,B Braun Melsungen AG,140173,"Adaptor, luer"
39144,6/11/2015,Caresite Valve positive pressure,B Braun Australia Pty Ltd,B Braun Melsungen AG,140173,"Adaptor, luer"
39145,6/11/2015,Caresite Valve Positive Pressure,B Braun Australia Pty Ltd,B Braun Melsungen AG,140173,"Adaptor, luer"
41040,3/05/2016,Admin Set Sangofix 2 X Safsite 1 Way Valve G Clamp Hand Blood Pump Set,B Braun Australia Pty Ltd,B Braun Melsungen AG,202978,Electric infusion pump administration set
40487,16/05/2016,"Celsite Epoxy Access Port - Port, infusion, implan",B Braun Australia Pty Ltd,B Braun Medical,133738,"Port, infusion, implantable"
41349,27/05/2016,Aesculap - Pituitary upbiter/rongeur,B Braun Australia Pty Ltd,B Braun Medical Ltd (T/A Aesculap Downs Surgican & William Skidmore),111039,"Rongeur, (specify)"
41927,8/07/2016,Aesculap - Distraction pin 14mm,B Braun Australia Pty Ltd,Aesculap AG,134538,"Fixation system, internal, spinal, bone screw"
37578,25/08/2016,"Infusomat Space Pump Infusion pump, general-purpose",B Braun Australia Pty Ltd,B Braun Melsungen AG,116814,"Infusion pump, general-purpose"
43825,18/11/2016,Prontosan® - Wound Irrigation,B Braun Australia Pty Ltd,B Braun Medical AG,209351,Non-sterile wound irrigation solution
43965,6/12/2016,Filter needle,B Braun Australia Pty Ltd,B Braun Medical Inc,136031,"Needle, filter"
44765,8/02/2017,Smallbore Ext. Set W. Safeflow Valve,B Braun Australia Pty Ltd,B Braun Medical Inc,204138,"Tubing extension set, intravenous administration"
42348,18/04/2017,"Perfuser Space - Infusion pump, syringe",B Braun Australia Pty Ltd,B Braun Melsungen AG,114011,"Infusion pump, syringe"
,,"Infusion pump, syringe",B Braun Australia Pty Ltd,B Braun Melsungen AG,114011,"Infusion pump, syringe"
45959,4/05/2017,Ecobag Click - 3 litre bag normal saline for irrigation,B Braun Australia Pty Ltd,B Braun Melsungen AG,97832,"IIrrigation fluid, medical/surgical procedure"
45934,5/05/2017,"Caresite Valve Positive Pressure Adaptor, luer",B Braun Australia Pty Ltd,B Braun Melsungen AG,140173,"Adaptor, luer"
46061,15/05/2017,"Introcan Safety Canula, Intravenous, 24G x 19mm, Straight, Yellow",B Braun Australia Pty Ltd,B Braun Melsungen AG,135323,Peripheral vascular infusion/aspiration catheter
46062,15/05/2017,"Introcan Safety Canula, Intravenous, 24G x 19mm, Straight, Yellow",B Braun Australia Pty Ltd,B Braun Melsungen AG,135323,Peripheral vascular infusion/aspiration catheter
46063,15/05/2017,"Introcan Safety Canula, Intravenous, 24G x 19mm, Straight, Yellow",B Braun Australia Pty Ltd,B Braun Melsungen AG,135323,Peripheral vascular infusion/aspiration catheter
46345,31/05/2017,B Braun Australia Pty Ltd / Aesculap AG,B Braun Australia Pty Ltd,Aesculap AG,112017,Sterilization container
46696,23/06/2017,Aesculap Sterile Container System (B. Braun),B Braun Australia Pty Ltd,Aesculap AG,112017,Sterilization container
48710,7/11/2017,B Braun Aesculap AG - Aesculap Rigid Reusable Containers for Sterilisation of Medical Devices.,B Braun Australia Pty Ltd,Aesculap AG,112017,Sterilization container
45911,10/11/2017,"Prontosan Wound Solution, 350ml bottle",B Braun Australia Pty Ltd,B Braun Medical AG,158000,"IIrrigation fluid, medical/surgical procedure"
48915,20/11/2017,B Braun - Reusable Bipolar Laparoscopic Insert,B Braun Australia Pty Ltd,Aesculap AG,137932,"Endotherapy electrosurgical diathermy system electrode, reusable"
48198,12/02/2018,"Perfusor Space Pump - Infusion pump, syringe",B Braun Australia Pty Ltd,B Braun Melsungen AG,114011,"Infusion pump, syringe"
,,"Infusion pump, syringe",B Braun Australia Pty Ltd,B Braun Melsungen AG,114011,"Infusion pump, syringe"
51007,6/04/2018,INFUSOMAT Space SAFESET - Electric infusion pump administration set,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
,,"Infusomat - Infusion pump, general-purpose",B Braun Australia Pty Ltd,B Braun Melsungen AG,116814,"Infusion pump, general-purpose"
51953,4/06/2018,"Administration Set, Intravenous, Burette 150mL",B Braun Australia Pty Ltd,B Braun Melsungen AG,140870,"Intravenous administration set, buret"
53077,20/08/2018,"Dosifix IV 150ML Burette - Intravenous administration set, buret",B Braun Australia Pty Ltd,B Braun Melsungen AG,140870,"Intravenous administration set, buret"
53370,10/09/2018,B. Braun Australia Pty Ltd,B Braun Australia Pty Ltd,B Braun Melsungen AG,116814,"Infusion pump, general-purpose"
53714,3/10/2018,"B Braun - Gravity set infusion line with filter 150cm - Intravenous administration set, buret",B Braun Australia Pty Ltd,B Braun Melsungen AG,140870,"Intravenous administration set, buret"
54863,10/12/2018,"B Braun - Transfer set, fluid",B Braun Australia Pty Ltd,B Braun Medical Inc,136028,"Transfer set, fluid"
56450,19/03/2019,INTROCAN SAFETY 3 - Peripheral vascular infusion/aspiration catheter,B Braun Australia Pty Ltd,B Braun Melsungen AG,135323,Peripheral vascular infusion/aspiration catheter
56451,19/03/2019,Introcan Safety 3 Closed IV catheter,B Braun Australia Pty Ltd,B Braun Melsungen AG,135323,Peripheral vascular infusion/aspiration catheter
57257,5/05/2019,"Hernia mesh - Mesh, polymeric, non-biodegradable",B Braun Australia Pty Ltd,B Braun Surgical SA,191743,"Mesh, polymeric, non-biodegradable"
56897,6/08/2019,"Infusomat - Infusion pump, general-purpose",B Braun Australia Pty Ltd,B Braun Melsungen AG,116814,"Infusion pump, general-purpose"
58807,8/08/2019,B BRAUN - Angiographic kit,Paul Hartmann Pty Ltd,Paul Hartmann Pty Ltd,228576,Angiographic kit
57698,20/09/2019,Infusomat Spaceline - Electric infusion pump administration set,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
58315,23/10/2019,B Braun Celsite Safety 6.5F SI,B Braun Australia Pty Ltd,B Braun Medical,286710,"Port, infusion, implantable"
50821,23/06/2020,"Celsite Expoxy Port - Port, infusion, implantable",B Braun Australia Pty Ltd,B Braun Medical,133738,"Port, infusion, implantable"
51446,23/06/2020,"Perfusor Space - Infusion pump, syringe",B Braun Australia Pty Ltd,B Braun Melsungen AG,114011,"Infusion pump, syringe"
