Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27270,5/07/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Resolute Integrity stent,Medtronic Australasia Pty Ltd,Medtronic Inc,188598,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
27379,16/07/2012,MINI TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Balance Inflation Device,-,Abbott Vascular,,-
,,Xience Prime,-,Abbott Vascular Inc,,-
27391,17/07/2012,"Balloon, gastric, appetite-suppressing",Gastro Pacific Pty Ltd,Spatz FGIA Inc,174506,"Balloon, gastric, appetite-suppressing"
27403,18/07/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Balance MiddleWeight J tip guide wire,-,Abbott Vascular,,-
27408,18/07/2012,Voyager NC Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,160365,"Catheter, angioplasty, balloon dilatation"
,,NC Quantum Apex Dilatation Catheter,-,Boston Scientific Corporation,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
,,TREK Inflation Device,-,Abbott Vascular,,-
,,Whisper guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,198622,Catheter guide wire
27736,5/08/2012,Pulmonary Artery Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160615,"Catheter, cardiac, balloon, pulmonary artery"
27308,22/08/2012,Apex Monorail 12mm x 2.50mm angioplasty Catheter,Boston Scientific Pty Ltd,Boston Scientific Corporation,145999,"Catheter, angioplasty, balloon dilatation"
28267,30/08/2012,NC TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,189474,"Catheter, angioplasty, balloon dilatation"
,,Xience Prime,-,Abbott Vascular Inc,,-
28404,4/09/2012,NC TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,195010,"Catheter, angioplasty, balloon dilatation"
28390,4/09/2012,NC TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,189474,"Catheter, angioplasty, balloon dilatation"
,,Pantera LEO NC balloon,Biotronik Australia Pty Ltd,Biotronik AG,172106,"Catheter, angioplasty, balloon dilatation"
28402,4/09/2012,NC TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,189474,"Catheter, angioplasty, balloon dilatation"
,,NC Quantum Apex Dilatation Catheter,-,Boston Scientific Corporation,,-
,,Xience Prime Stent,-,Abbott Vascular Inc,,-
28414,6/09/2012,MINI TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
28554,14/09/2012,"Balloon system, Unilateral XL, 11mm",EMT Healthcare Pty Ltd,Pajunk GmbH Medizintechnologie,137506,"Balloon dissector, laparoscopic"
28605,18/09/2012,NC TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,189474,"Catheter, angioplasty, balloon dilatation"
,,Balance inflation device,-,Abbott Vascular,,-
,,Promus Element Stent,-,Boston Scientific Corporation,,-
,,Trek Guide Wire,-,Abbott Vascular,,-
27527,21/09/2012,NC Sprinter,Medtronic Australasia Pty Ltd,Medtronic Inc,154737,"Catheter, angioplasty, balloon dilatation"
28763,27/09/2012,HT Balance Middleweight Universal Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,158035,Catheter guide wire
28842,4/10/2012,Linear 7.5Fr. 40cc IAB Balloon Catheter,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
,,System 98XT Intra-Aortic Balloon Pump,Maquet Australia Pty Ltd,Datascope Corp,118266,"Circulatory assist unit, pump, balloon"
28867,5/10/2012,Armada 35 PTA Catheter,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,191827,"Catheter, angioplasty, balloon dilatation"
28846,5/10/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,NC TREK,-,Abbott Vascular,,-
,,Resolute Integrity Stent,Medtronic Australasia Pty Ltd,Medtronic Inc,188598,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
,,TREK,-,Abbott Vascular,,-
28878,12/10/2012,Armada 35 PTA Catheter,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,191827,"Catheter, angioplasty, balloon dilatation"
