Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28060,3/10/2012,Bausch + Lomb Purevision 2HDA,Bausch & Lomb Australia Pty Ltd,Bausch & Lomb Inc,95899,"Contact lens, vision corrective, reusable"
27431,3/10/2012,Boston Advance Cleaner,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,187435,Rigid contact lens cleaning solution
,,Boston Advance conditioning solution,Bausch & Lomb Australia Pty Ltd,Bausch & Lomb Inc,136640,Contact lens solution
28062,14/11/2012,Akreos Adapt AO,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
29638,18/12/2012,Fraxel Repair,Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,150531,"Laser, carbon dioxide"
29197,5/03/2013,Cataract extraction/vitrectomy system,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,127264,Cataract extraction/vitrectomy system
30614,3/07/2013,Bausch + Lomb Purevision 2 contact lens,Bausch & Lomb Australia Pty Ltd,Bausch & Lomb Inc,95902,"Contact lens, vision corrective, reusable"
30613,15/07/2013,Amvisc Plus,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,161187,Aqueous/vitreous humour replacement medium
30376,22/01/2014,Liposonix System,Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,202967,Ultrasonic body-contouring system
33259,31/01/2014,Fraxel Re:Store Dual Laser System,Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,141041,"Laser, erbium:YAG"
32771,6/03/2014,Akreos intraocular lens,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
34031,28/04/2014,Fraxel Re:store Dual Laser System,Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,141041,"Laser, erbium:YAG"
33606,5/05/2014,Akreos intraocular len,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
33459,5/05/2014,enVista,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
35361,19/02/2015,Amvisc Plus,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,221380,Aqueous/vitreous humour replacement medium kit
,,Amvisc - Aqueous/vitreous humour replacement medium kit,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,221380,Aqueous/vitreous humour replacement medium kit
,,"Envista Lens, Lens, intraocular, posterior chamber",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
,,"I/A Headpieces single use, Cataract extraction system handpiece, phacoemulsification",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,131963,"Cataract extraction system handpiece, phacoemulsification"
,,"Phaco Tubing, Suction system tubing",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,132177,Suction system tubing
37406,29/07/2015,PureVision2 Toric,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,224239,"Soft corrective contact lens, extended-wear"
37898,29/06/2016,Akreos Adapt Intraocular Lens,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
37900,29/06/2016,Akreos Adapt Introcular Lens,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,98915,"Lens, intraocular, posterior chamber"
43156,12/10/2016,Bausch + Lomb Splash saline,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,187454,Soft contact lens cleaning solution
41954,21/06/2017,Ultra contact lens,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,224237,"Soft corrective contact lens, daily-wear"
47304,7/08/2017,Renu Contact Lens Solution NOS,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,218224,Multi-purpose soft contact lens solution
52156,28/06/2018,Boston Advanced Cleaner - Rigid contact lens cleaning solution,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,187435,Rigid contact lens cleaning solution
51892,4/07/2018,VASERlipo - Liposuction system,Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,228296,Liposuction system
52353,5/07/2018,"Ultra contact lenses - Soft corrective contact lens, daily-wear",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,224237,"Soft corrective contact lens, daily-wear"
52354,6/08/2018,"Stellaris Ultrasonic Handpiece - Cataract extraction system handpiece, phacoemulsification",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,131963,"Cataract extraction system handpiece, phacoemulsification"
,,Cataract extraction/vitrectomy system,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,127264,Cataract extraction/vitrectomy system
,,"Surgical procedure kit, ophthalmic, non-medicated, single-use",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,132178,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
52350,15/08/2018,"Stellaris Ultrasonic Handpiece - Cataract extraction system handpiece, phacoemulsification",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,131963,"Cataract extraction system handpiece, phacoemulsification"
,,Cataract extraction/vitrectomy system,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,127264,Cataract extraction/vitrectomy system
47939,22/08/2018,Ocucoat - Aqueous/vitreous humour replacement medium,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,140513,Aqueous/vitreous humour replacement medium
53349,17/10/2018,"Clear+Brilliant - Skin surface treatment system applicator, laser",Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,141041,"Skin surface treatment system applicator, laser"
52973,22/10/2018,"Thermage System - Skin contouring system generator, radio-frequency",Bausch & Lomb Australia Pty Ltd,Solta Medical Inc,192878,"Skin contouring system generator, radio-frequency"
57458,2/07/2019,Boston Simplus Multi-Action Solution - Multi-purpose rigid contact lens solution,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,218225,Multi-purpose rigid contact lens solution
57154,10/07/2019,Renu Fresh Multi-Purpose Solution - Multi-purpose soft contact lens solution,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc (United States of America),218224,Multi-purpose soft contact lens solution
56748,31/07/2019,Biotrue - Multi-purpose soft contact lens solution,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,193133,Multi-purpose soft contact lens solution
,,"Soft corrective contact lens, extended-wear",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,224239,"Soft corrective contact lens, extended-wear"
59745,3/12/2019,Stellaris System - Cataract Extraction/Vitrectomy System,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,127264,Cataract extraction/vitrectomy system
,,"IIrrigation fluid, medical/surgical procedure",iNova Pharmaceuticals Australia Pty Ltd,Vioser SA,242184,"IIrrigation fluid, medical/surgical procedure"
,,"Surgical procedure kit, ophthalmic, non-medicated, single-use",iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,132178,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
