Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27283,6/07/2012,Baxter Colleague Infusion Pumps,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation USA,128345,"Infusion pump, general-purpose"
27288,6/07/2012,Vented Paxlitaxel Set with Clearlink,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
28350,3/09/2012,AK 200 S DIALYSIS MONITOR,Baxter Healthcare Pty Ltd,Gambro Lundia AB Monitor Division,112135,Haemodialysis unit
,,Polyflux 170H (Dialyzer),-,Gambro Lundia AB Monitor Division,,-
28493,12/09/2012,Gambro Medical Line,Baxter Healthcare Pty Ltd,Gambro Medical Products Co Ltd,135627,"Tubing set, dialysis/haemodialysis"
28742,27/09/2012,"Infusion Administration Set, Vented Paclitaxol Set",Baxter Healthcare Pty Ltd,Baxter SA (Lessines),151749,"Intravenous administration set, general-purpose"
29433,19/11/2012,Cryocyte Bag,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation Cellular Therapies Division,129892,Blood collection/cell-culture container
29539,7/12/2012,Salt Cartridge- SelectCart,Baxter Healthcare Pty Ltd,Gambro Lundia AB,201277,Sodium carbonate haemodialysis system cleaning cartridge
29600,14/12/2012,Baxter IV Infusion Line,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
29451,19/12/2012,Prismaflex,Baxter Healthcare Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
,,Prismaflex,Gambro Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
29538,21/12/2012,Prismaflex,Baxter Healthcare Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
,,Prismaflex,Gambro Pty Ltd,Gambro Lundia AB Monitor Division,142047,Therapeutic plasma exchange system
,,"Vascular catheter, 14F",-,Arrow International Inc,,-
