Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27855,8/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
27858,8/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
30902,9/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
27869,9/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
28426,7/09/2012,BD Plastipak Syringe 30ml Slip Tip,Becton Dickinson Pty Ltd,Becton Dickinson SA,129781,"Syringe, hypodermic, metered-delivery"
28730,26/09/2012,BD Vacutainer Plasma Preparation Tube K2E 9.0mg,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
28938,19/10/2012,Hypodermic Syringe 20 ml,Becton Dickinson Pty Ltd,Becton Dickinson Industrias Cirurgicas Ltda,181939,"Syringe, hypodermic, metered-delivery"
28690,21/11/2012,Siltex Contour Becker Cohesive II Breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Medical Systems BV,119809,"Prosthesis, internal, mammary, gel filled"
29481,3/12/2012,BD Vacutainer Plasma Preparation Tube K2E 9.0mg,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
28492,3/12/2012,Siltex Contour Becker Cohesive II Breast Implant,Johnson & Johnson Medical Pty Ltd,Mentor Medical Systems BV,119809,"Prosthesis, internal, mammary, gel filled"
30079,6/02/2013,BD Connecta 10cm,Becton Dickinson Pty Ltd,Becton Dickinson Infusion Therapy AB,126507,Infusion stopcock
30972,22/05/2013,Alaris Docking Stationfor alaris pumps,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,174810,"Infusion pump management unit, mobile"
30974,22/05/2013,BD 10 ml single use syringe,Becton Dickinson Pty Ltd,Becton Dickinson & Company Ltd (BD Medical Surgical),120461,"Syringe, hypodermic, metered-delivery"
31000,27/05/2013,Insyte™ peripheral venous catheter,Becton Dickinson Pty Ltd,Becton Dickinson Medical Systems,96769,"Catheter, intravascular, peripheral"
26932,21/06/2013,"AU640 with ISE, Chemistry Analyzer",Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,185654,Clinical chemistry substrate IVDs
31352,2/07/2013,Becton Dickinson,Becton Dickinson Pty Ltd,Becton Dickinson & Company,137630,"Adaptor, blood collecting tube, single use"
31478,15/07/2013,"INTRAVENOUS LINE STOPCOCK, 3-WAY, 360deg, WHITE, 1",Becton Dickinson Pty Ltd,Becton Dickinson Infusion Therapy AB,126507,Infusion stopcock
31594,16/08/2013,COULTER® LH 750 Hematology Analyzer,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
31886,30/08/2013,BD Vacutainer Plasma Preparation Tube K2E9.0 mg,Becton Dickinson Pty Ltd,Becton Dickinson & Company,137630,"Adaptor, blood collecting tube, single use"
31488,5/09/2013,UniCel® DxC 600i Synchron® Access® Clinical System,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
31547,6/09/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
,,"UniCel® DxC 600i Synchron® Access® Clinical System, Instrument/analyser IVDs",Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
31526,6/09/2013,UniCel® DxC 600i Synchron® Access® Clinical System,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
32117,26/09/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
31703,3/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,"Troponin I IVD, kit, Enzyme Immunoassay (EIA)"
,,UniCel® DxC 600i Synchron® Access® Clinical System,-,unknown,,-
31765,8/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
31766,8/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
31768,8/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
32270,14/10/2013,BD Vacutainer K2E 10.8mg Plus,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
31903,21/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
,,UniCel® DxC 600i Synchron® Access® Clinical System,-,N/K,,-
31908,21/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
,,UniCel® DxC 600i Synchron® Access® Clinical System,-,N/K,,-
31888,21/10/2013,UniCel® DxC 600i Synchron® Access® Clinical System,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
31907,24/10/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
,,UniCel® DxC 600i Synchron® Access® Clinical System,-,N/K,,-
31969,25/10/2013,COULTER® HmX Hematology Analyzer with Autoloader,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
31970,25/10/2013,COULTER® HmX Hematology Analyzer with Autoloader,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
32440,28/10/2013,Mentor Siltex Beckor Expandor / Mammary Prosthesis( gel vol. 100cc),Johnson & Johnson Medical Pty Ltd,Mentor Medical Systems BV,130678,"Prosthesis, internal, mammary, gel filled"
32101,12/11/2013,UniCel® DxC 600i Synchron® Access® Clinical System,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
32263,26/11/2013,UniCel® DxH 800 Coulter® Cellular Analysis System,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
32266,26/11/2013,UniCel® DxH 800 Coulter® Cellular Analysis System,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
32496,5/12/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
32497,5/12/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
32506,5/12/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
32508,5/12/2013,Access® AccuTnI™,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,114057,Human origin material
