Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27679,2/08/2012,Electro Surgical Pencil,Big Green Surgical Company Pty Ltd,Cimpax,196690,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
34696,18/07/2014,Megadyne Electrosurgical pencil,Big Green Surgical Company Pty Ltd,Megadyne Medical Products Inc,191342,"Electrode, electrosurgical, active, foot-controlled, single use"
32022,19/09/2014,Pegged Glenoid,Zimmer Biomet Pty Ltd,Zimmer Inc,208339,"Prosthesis, internal, joint, shoulder, glenoid component"
,,"Head, Bigliani/Flatow® The Complete Shoulder System Modular Humeral Heads - Prosthesis, internal, joint, shoulder, total",Zimmer Pty Ltd,Zimmer Inc,207472,"Prosthesis, internal, joint, shoulder, total"
,,"TM Primary Stem, Prosthesis, internal, joint, shoulder, total",Zimmer Pty Ltd,Zimmer Inc,94829,"Prosthesis, internal, joint, shoulder, total"
35805,17/11/2014,Sieglar Forsep adson bi-polar 5 inch disposable 1.0mm,Big Green Surgical Company Pty Ltd,Cimpax,175523,"Endotherapy electrosurgical diathermy system electrode, single-use"
37382,15/05/2015,OSS Big Head Small Thread Lock Screw,Zimmer Pty Ltd,Biomet Orthopedics,98451,"Prosthesis, internal, joint, knee, tibial component"
38538,8/09/2015,"I.C Medical , INC Pen VaEvacl diathermy pencil with suction tube",Big Green Surgical Company Pty Ltd,Cimpax,196690,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
37591,13/11/2015,Brilliance Big Bore Oncology,Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, full-body"
40418,12/04/2016,TM Stem Coated shoulder humeral stem prosthesis,Zimmer Biomet Pty Ltd,Zimmer Inc,227172,Coated shoulder humeral stem prosthesis
,,"Bigliani/Flatow® The Complete Shoulder System Modular Humeral Heads - Prosthesis, internal, joint, shoulder, total",Zimmer Pty Ltd,Zimmer Inc,207472,"Prosthesis, internal, joint, shoulder, total"
,,"Bigliani/Flatow™ The Complete Shoulder Solution Trabecular Metal™ Glenoid component Articular Surface - Prosthesis, internal, joint, shoulder, glenoid component",Zimmer Pty Ltd,Zimmer Trabecular Metal Technology Inc,223567,"Prosthesis, internal, joint, shoulder, glenoid component"
45840,23/05/2017,"Xodus Medical - Rack, counter, surgical instrument",Big Green Surgical Company Pty Ltd,Xodus Medical Inc,222654,"Rack, counter, surgical instrument"
49282,11/12/2017,Megadyne - Mega Soft Universal Dual Cord return electrode for diathermy/electrocautery,Big Green Surgical Company Pty Ltd,Megadyne Medical Products Inc,183053,"Electrode, electrosurgical, return"
,,Diathermy machine.,-,No clue,,-
49320,31/08/2018,"Brilliance CT BigBore - X-ray system, diagnostic, computed tomography, full-body",Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, full-body"
