Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27228,2/07/2012,Vanguard cruciate retaining curved bearing 63/67X12MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,one piece tibial tray,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard cruciate retaining porous femoral,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
26081,4/07/2012,Thermocool Ablation catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178844,"Catheter, cardiac, electrophysiological mapping"
,,Bidirectional CS Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,162172,"Catheter, cardiac, electrophysiological mapping"
27272,5/07/2012,Delta ceramic femoral head,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,Exceed ABT acetabular shell,Zimmer Pty Ltd,Biomet UK Ltd,108359,"Prosthesis, internal, joint, hip, acetabular component"
,,Mallory Head femoral stem,Zimmer Pty Ltd,Biomet UK Ltd,108360,"Prosthesis, internal, joint, hip, femoral component"
27277,5/07/2012,Kudo Humeral Cr/Cblt Small Right,Zimmer Pty Ltd,Biomet UK Ltd,129289,"Prosthesis, internal, joint, elbow, humeral component"
,,Kudo ulnar component,Zimmer Pty Ltd,Biomet UK Ltd,129288,"Prosthesis, internal, joint, elbow, radial component"
27784,5/07/2012,Linox Smart,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,191636,"Lead, defibrillator/pacemaker, implantable"
27279,5/07/2012,Oxford Uni Phase 3 Femoral Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford bearing,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
27113,5/07/2012,Oxford Uni Phase 3 Femoral Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Alpha tibial tray size B RM,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Uni anatomic bearing right med size 4,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
27114,5/07/2012,Vanguard CR porous fem left 70,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,Patella button,Biomet Australia Pty Ltd,Biomet Orthopedics Inc,121186,"Prosthesis, internal, joint, knee, patellar component"
,,Tibial tray,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
27291,9/07/2012,Oxford Uni Phase 3 bearing large size 3,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford femoral components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford tibial components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
26149,17/07/2012,Carto 2 system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
27393,17/07/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard cruciate retaining femoral component,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
26462,18/07/2012,Pulsar 18,Biotronik Australia Pty Ltd,Biotronik AG,169368,"Prosthesis, internal, stent, vascular"
,,Pulsar 18,Biotronik Australia Pty Ltd,Biotronik AG,169368,"Prosthesis, internal, stent, vascular"
27354,23/07/2012,CPT Stem Inserter,Zimmer Biomet Pty Ltd,Zimmer Inc,109936,Prosthetic joint implantation kit
27353,23/07/2012,ZMR Femoral Stem,Zimmer Biomet Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
,,ZMR Taper Body,Zimmer Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
27477,24/07/2012,Biodesign Surgisis Hernia Graft,Endotherapeutics Pty Ltd,Cook Biotech Incorporation,153052,"Tissue reconstructive material, biological"
27448,24/07/2012,"Exceed Shell, C2A liner C2A head",Zimmer Pty Ltd,Biomet UK Ltd,108359,Acetabulum prosthesis
,,Taperloc fermoral stem,Zimmer Pty Ltd,Biomet UK Ltd,108360,"Prosthesis, internal, joint, hip, femoral component"
27446,24/07/2012,Mallory Head acetabular shell 54MM porous coated,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biomet Cr/Cblt modular femoral head,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,Mallory Head femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
27444,24/07/2012,Oxford Uni anatomic bearing left medium size 6,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford femoral components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford tibial tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
27447,24/07/2012,Vanguard Rotating Platform Deep Dish bearing 12X60MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard femoral components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,Vanguard tibial components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
27560,26/07/2012,C2A Delta ceramic femoral head 36MM -3MM T1,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
27714,30/07/2012,Arcos porous STS distal stem 20X150MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
,,Arcos femoral component,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
26432,2/08/2012,Tibiaxys Ankle Arthrodesis Plating System,Integra Neurosciences Pty Ltd,Newdeal SAS,173932,"Fixation plate, fracture-healing, non-biodegradable."
27436,6/08/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard posterior stabilised femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
27863,7/08/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
27797,7/08/2012,Recap PF HA/PC acetabular component 52/46MM,Zimmer Pty Ltd,Biomet UK Ltd,108359,Acetabulum prosthesis
,,Insert,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
,,M2A Magnum modular head 46MM,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
27432,9/08/2012,Vanguard ROCC reamer 40mm,Zimmer Pty Ltd,Biomet France,112915,Prosthetic joint implantation kit
,,Vanguard ROCC punch tower,-,Biomet Orthopedics Inc,,-
,,Vanguard ROCC reamer 35mm,-,Biomet Orthopedics Inc,,-
27870,10/08/2012,Vanguard cruciate retaining curved bearing 71/75X10MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Biomet finned stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Regenerex tibial tray,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard cruciate retaining femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
27929,14/08/2012,Regenerex/ Ringloc multi+ shell 54MM sz 23,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,PLR femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
27935,14/08/2012,Vanguard PS Interlok femur rt 70,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,One piece high polish finned tibial tray 79MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard PS bearing 79/83X10,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
27927,15/08/2012,Bionic Hip System,Eska Australia,Eska Implants GmbH and Co,118430,"Prosthesis, internal, joint, hip, resurfacing"
,,HIP.SURF.REPL.CEM-BIOSURF SILVER,-,Eska Implants GmbH and Co,,-
,,METAL SHELL.CEM.LESS-CAP,-,Eska Implants GmbH and Co,,-
,,NAIL TINB-COAT,-,Eska Implants GmbH and Co,,-
26130,27/08/2012,EZ STEER THERMOCOOL NAVIGATION CATHETER,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
,,Carto 3,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
26822,27/08/2012,EZ STEER THERMOCOOL NAVIGATION CATHETER,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
28213,27/08/2012,LASSO 7F 10 POLE 20MM,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,145997,"Catheter, cardiac, electrophysiological mapping"
26825,27/08/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
28277,28/08/2012,Magnum Tri-spike cup 50X44,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Magnum M2A modular head 44MM 1584717,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, hip, internal, femoral head component",Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
,,Taperloc porous femoral HA 7.5X135 602720,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
25936,28/08/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
28418,3/09/2012,AGC Anatomic porous femoral 65MM (R),Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,AGC V2 Interlok tibial 10X667MM,Biomet Australia Pty Ltd,Biomet UK Ltd,109966,"Prosthesis, internal, joint, knee, tibial component"
28347,3/09/2012,SSK bearing posterior stabilised constrained 22X63/67,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,SSK femoral components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,SSK tibial components - other,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
28352,4/09/2012,Oxford cementless right medial tibial tray size D,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford medium right bearing 3MM,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28388,4/09/2012,Oxford Medium Anatomic Arcom left 4MM meniscal bearing,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28500,7/09/2012,Vanguard posterior stabilised bearing 12X63/37,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Finned tibial tray,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard PS femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
28051,10/09/2012,Maxrom liner,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biolox Delta Option femoral head 40MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,Regenerex/Ringloc shell + LTD 56MM sz 24,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,"Prosthesis, internal, joint, hip, acetabular component"
,,Taperloc femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
28056,10/09/2012,Ring Loc Hip Prosthesis,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,36MM CoCr modualr head standard,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
28505,11/09/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
,,EP WorkMate System,St Jude Medical Australia Pty Ltd,St Jude Medical Inc,160471,Single-patient physiologic monitoring system
28269,11/09/2012,PELORIS Rapid Tissue Processor,Leica Biosystems Melbourne Pty Ltd,Leica Biosystems Melbourne Pty Ltd,176143,Instrument/analyser IVDs
28513,13/09/2012,Genscreen HIV Ag/Ab Ultra,Bio-Rad Laboratories Pty Ltd,Bio-Rad,134410,Unclassified
28531,13/09/2012,Oxford Uni anatomic bearing left medium size 6,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford femoral components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford tibial components,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28573,17/09/2012,Acumed LLC,Medical & Optical Instruments Australia Pty Ltd,Acumed Instruments Inc,99824,"Fixation plate, fracture-healing, non-biodegradable."
28684,21/09/2012,Arcom XL Ringloc Hiwall Liner 28mm,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biomet modular femoral head,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
28681,21/09/2012,Vanguard Knee Prosthesis,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard cruciate retaining femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
28685,21/09/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard CR bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard CR Interlok femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
28761,27/09/2012,Biomet offset tibial tray 79MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,SSK bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,SSK femoral components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
27029,8/10/2012,Carto 3 system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
28734,9/10/2012,Vanguard Cruciate Retaining Bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"Prosthesis, internal, joint, knee, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
29227,9/10/2012,Vanguard cruciate retaining bearing 63/67X10,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
