Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27233,3/07/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
26999,30/08/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28264,30/08/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28448,7/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
,,Spiros to Spiros line,-,ICU Medical Inc,,-
28677,18/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28755,27/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
29161,2/11/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
29292,9/11/2012,Plum A+,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
29316,18/11/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
,,Microclave,-,ICU Medical Inc,,-
29314,4/02/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
30020,7/02/2013,Gravity Blood Administration Set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,199112,Blood transfusion set
29760,18/02/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
30363,18/04/2013,Plum A + Pump V11.6,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
30739,26/04/2013,Gemstar - Yellow,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
30323,8/05/2013,ICU Medical Spiros Connector,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,145149,"Adaptor, luer"
30688,21/05/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
,,Plum A+ infusion pump,ICU Medical Australia Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
30063,12/06/2013,Gravity Blood Administration Set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,199112,Blood transfusion set
31448,11/07/2013,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
31225,26/07/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
31968,7/10/2013,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
31627,26/10/2013,Plum A + Pump V11.6,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
28503,26/11/2013,Plum A+ Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
32946,20/12/2013,BMDI Tuta Valve Needle Free injection Port,BMDi TUTA Healthcare Pty Ltd,BMDi TUTA Healthcare Pty Ltd,164120,"Connector, intravenous line"
33146,14/02/2014,Plum Plump Infusion Set - Nitroglycerin IV Dual Channel Infuser Set with Light Blocking Tubing Set,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
33725,24/03/2014,"""Lifeshield"" Primary Plum Set 15 micron filter in sight chamber",BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
33607,4/04/2014,Plum A + Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
34352,5/06/2014,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
34459,20/06/2014,Transpac IT 03ml Safest Reservoir w/needleless Valve and 30ml Flush Devise,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
34458,20/06/2014,Transpac IT W/10 cc Safeset Reservoir,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,200714,Neutral-pressure needleless valve-connector
34617,10/07/2014,ICU Medical Arterial Safeset Transpac,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
34843,4/08/2014,"Saphire, Multiple Therapy pump",BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
34591,30/08/2014,Plum A + Pump infusion pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35155,29/09/2014,Plum A + Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35221,9/10/2014,Gemstar Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35522,10/10/2014,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
35223,11/10/2014,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35415,17/11/2014,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35855,21/11/2014,Neutron Connector 061-NC100,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,207069,Neutral-pressure needleless valve-connector
35539,1/12/2014,Gemstar Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35547,1/12/2014,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35755,2/12/2014,Gemstar Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35733,5/12/2014,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
35517,8/12/2014,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
35521,8/12/2014,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
35754,8/12/2014,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
36306,13/01/2015,Multiflow extension set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
35649,20/01/2015,"Primary Plumset Infusion administration set, infusion pump",BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
36350,12/02/2015,Primary Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
36117,16/02/2015,Primary Plumset infusion pump administration set,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
36463,6/03/2015,Gemstar Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
36898,22/04/2015,Plum A+ Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
36899,22/04/2015,Primary Plumset administration set,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
,,Luer Lock Syringe attached to the secondary port for use in administering IV antibiotics.,-,N/K,,-
36874,4/05/2015,Plum A+ Pump infusion pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
36817,11/05/2015,Gemstar Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
37017,13/05/2015,"Gemstar Pump , Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
37555,28/05/2015,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
37651,12/06/2015,Minimum Volume Extension Set,BMDi TUTA Healthcare Pty Ltd,Hanscent Ningbo Co Ltd,222156,"Tubing extension set, intravenous administration"
37735,19/06/2015,Minimum Volume Extension Set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
33266,22/06/2015,TUTA / TUTA Hand Pump Set Needle Free,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,163140,Blood transfusion set
37368,30/06/2015,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
37394,30/06/2015,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
36697,3/07/2015,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
37981,15/07/2015,Minimum Volume Extension Set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
38191,15/07/2015,Minimum Volume Extension Set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
37712,16/07/2015,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
38106,27/07/2015,ICU Medical Neutron valve,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,207069,Neutral-pressure needleless valve-connector
38172,3/08/2015,Plum A+ Pump,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
38173,3/08/2015,Q-Core Sapphire Patient Controlled Analgesic Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38170,3/08/2015,Q-Core Sapphire Patient-Controlled Analgesic Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38082,3/08/2015,Sapphire infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38448,26/08/2015,ICU Medical Safeset Transpac IT w/03 ml reservoir and single Nedleless Valve,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
38225,7/09/2015,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38335,29/09/2015,Sapphire infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38891,16/11/2015,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
39362,26/11/2015,SafeSet Transpac,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39363,26/11/2015,SafeSet Transpac Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39364,26/11/2015,SafeSet Transpac Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39365,26/11/2015,SafeSet Transpac Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39412,27/11/2015,"5 way low sorb multi ext set (Multi-flow Transfer Set) - Tubing extension set, intravenous administration",ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
39361,1/12/2015,SafeSet Transpac - Blood Pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood Pressure Transducer Set
40149,17/02/2016,Standard extension set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
40151,17/02/2016,Standard extension set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
40155,17/02/2016,Standard extension set,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,164119,"Tubing extension set, intravenous administration"
41550,9/06/2016,Needleless valve,ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,235966,Neutral-pressure needleless valve-connector
40274,8/07/2016,Transpac IV Monitoring Kit,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
42149,2/08/2016,"16"" (41 cm) Trifuse Add-On Set w/3 Bag Spikes, 3 C - Tubing extension set, intravenous administration",BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,221608,"Tubing extension set, intravenous administration"
42200,3/08/2016,"16"" (41cm) Trifuse Add-On Setw/3 Bag Spikes, 3 Clamps (Blue, 2 Red) Plug Adapter",BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,221608,"Tubing extension set, intravenous administration"
42446,23/08/2016,QCore/Hospira Sapphire - Patient Controlled Analgesic Infusion Pump - Power supply,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,224993,Basic power supply
42471,21/09/2016,Plum A+ E302,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
43659,23/11/2016,"Clements - Suction system regulator, surgical",ICU Medical Australia Pty Limited,BMDi TUTA Healthcare Pty Ltd,239973,"Suction system regulator, surgical"
43924,2/12/2016,ICU Medical Arterial Safeset Transpac IT,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
44047,13/12/2016,"Mednet - Administration set, infusion pump: primary; plumset; dual channel; with integral claves; 272cm long; non dehp",BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,Electric infusion pump administration set
43135,12/01/2017,Transpac IV Transducers - Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
