Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29856,22/02/2013,CK Mesh,Bard Australia Pty Ltd,Davol Inc Subsidiary of C R Bard Inc,122873,"Mesh, surgical"
31125,4/06/2013,Wolf Electrode,C R Kennedy & Co Pty Ltd,Richard Wolf GmbH,205640,"Endotherapy device, active, single use"
31376,5/08/2013,Composix L/P,Bard Australia Pty Ltd,Davol Inc Subsidiary of C R Bard Inc,122873,"Mesh, surgical"
32727,29/11/2013,Silicone Catheter,Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
33661,17/03/2014,"BARD, In-Dwelling foley catheter French gauge 24 with 5cc/ml balloon",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
32050,7/04/2014,"BARD Biocath, Hydrogel long term catheter",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
33889,9/04/2014,BARD VENTRALEX Hernia Patch,Bard Australia Pty Ltd,Davol Inc Subsidiary of C R Bard Inc,219323,"Abdominal hernia surgical mesh, composite-polymer"
34209,14/05/2014,Ventralex BARD Mesh,Bard Australia Pty Ltd,Davol Inc Subsidiary of C R Bard Inc,219323,"Abdominal hernia surgical mesh, composite-polymer"
33914,26/05/2014,Ventralex Mesh,Bard Australia Pty Ltd,Davol Inc Subsidiary of C R Bard Inc,122873,"Mesh, surgical"
35185,3/09/2014,"Bardia, 14fg BARD Silicone elastomer coated foley catheter",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
35202,11/09/2014,Ventralex Mesh,Bard Australia Pty Ltd,Davol Inc Subsidiary of C R Bard Inc,122873,"Mesh, surgical"
28439,22/09/2014,SIG C R POROCOAT FEM LT SZ 4,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International Ltd,97699,"Prosthesis, internal, joint, knee, femoral compone"
,,"MBT Duofix [35669] - Prosthesis, internal, joint, knee, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,143525,"Prosthesis, internal, joint, knee, tibial component"
