Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27603,31/07/2012,Receptal liner,Hospira Pty Limited,Hospira Inc,133339,Suction system canister liner
27866,9/08/2012,Penumbra System Aspiration Pump Canister,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,179310,Suction system tubing
,,Suction unit,Penumbra Neuro Australia Pty Ltd,Allied Healthcare Products Inc,152106,"Suction unit, electric powered"
28214,28/08/2012,surgical suction cannister liner,Medline International Two Australia Pty Ltd,Cardinal Health,172872,Suction system canister liner
28246,29/08/2012,Candela Gentlase,Syneron Candela Corporation Australia Pty Ltd,Candela Corporation,142893,"Laser, erbium:YAG"
28268,30/08/2012,Receptal liner,Hospira Pty Limited,Hospira Inc,133339,Suction system canister liner
28305,31/08/2012,91251C-Two Stage Venous Cannula 36/51FR,Medtronic Australasia Pty Ltd,Medtronic Inc,154998,"Cannula, venous"
28306,31/08/2012,TF3646O-Thin Flex Dual Stage Venous Drainage Cannula,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,182853,"Cannula, venous"
28628,18/09/2012,TRITANIUM REVISION ACETABULAR,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
,,6.5 CANCELLOUS SCREW 25mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,"Prosthesis, internal, joint, hip, acetabular component"
,,6.5 CANCELLOUS SCREW 30mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,"Prosthesis, internal, joint, hip, acetabular component"
,,6.5 CANCELLOUS SCREW 35mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,"Prosthesis, internal, joint, hip, acetabular component"
29532,5/02/2013,UMI-Loc Lockable Uterine Manipulator Injector,William A Cook Australia Pty Ltd,Catheter Research Inc,170158,"Cannula, uterine, manipulation/injection"
24976,20/03/2013,Pinnacle Acetabular Cup,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98086,Acetabulum prosthesis
,,ACETABULAR H/E POS STOP SCREW,Johnson & Johnson Medical Pty Ltd T/A Depuy Australia,Depuy Orthopaedic Inc,153087,"Orthopaedic bone screw, non-biodegradable"
,,PINNACLE 6.5 CANCELLOUS SCREW 15MM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,99196,"Fixation device, internal, screw"
,,PINNACLE 6.5 CANCELLOUS SCREW 20MM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,99196,"Fixation device, internal, screw"
,,PINNACLE METAL INSERT NEUT 36MM 52 OD,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98086,"Prosthesis, internal, joint, hip, acetabular component"
29604,15/04/2013,Asnis lll Cannulaed Screw 06.5x120mm TL40mm,Stryker Australia Pty Ltd,Stryker Trauma AG,119660,"Fixation device, internal, screw"
30850,8/05/2013,"Protective Plus, Intravenous cannula",Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
31137,7/06/2013,PORTEX BLUE LINE ULTRA TRACHEOSTOMY TUBE INNER CANNULA,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,138261,"Tube, tracheostomy, reusable"
30262,27/07/2013,Healix Transtend Anchor,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Mitek (a Johnson & Johnson Company),196695,"Fixation anchor, soft-tissue, biodegradable"
,,Percannula System,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Mitek (a Johnson & Johnson Company),136373,"Cannula, arthroscopy drainage"
28747,3/09/2013,BAYLIS MEDICAL BMC RF Cannula,Medishine Pty Ltd T/A Shine Medical,Baylis Medical Company Inc,101732,Needle introducer
26284,12/09/2013,PINNACLE MULTIHOLE CUP,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98086,Acetabulum prosthesis
,,"ARTICUL/EZE M, Prosthesis, hip, internal, femoral head component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138290,"Prosthesis, hip, internal, femoral head component"
,,"PINNACLE 6.5 CANCELLOUS SCREW, Fixation device, internal, screw",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,99196,"Fixation device, internal, screw"
,,"PINNACLE MAR +4 10D 60 OD X 36 ID, Prosthesis, internal, joint, hip, acetabular component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98086,"Prosthesis, internal, joint, hip, acetabular component"
30890,29/10/2013,XIA CANNULATED PROBE,Stryker Australia Pty Ltd,Enztec Limited (NZ),180133,"Guide, (specify)"
26961,20/11/2013,Pinnacle sector acetabular cup,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,DePuy International Ltd,98086,Acetabulum prosthesis
