Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27195,2/07/2012,ALTRUA 40 DDDR-EL Dual Chamber Extended Longevity IS-1,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158085,"Pacemaker, cardiac, implantable"
,,Dextrus lead,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
27202,2/07/2012,Promote Accel RF Model CD3215,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,158920,"Defibrillator, implantable, automatic"
26081,4/07/2012,Thermocool Ablation catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178844,"Catheter, cardiac, electrophysiological mapping"
,,Bidirectional CS Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,162172,"Catheter, cardiac, electrophysiological mapping"
26799,5/07/2012,Durata Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,159845,"Lead, defibrillator/pacemaker, implantable"
,,Current RF DR Model 2207,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,149302,"Defibrillator, implantable, automatic"
27284,6/07/2012,Contak Renewal TR 2 Bi-ventricular Pacemaker LV-1,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101573,"Pacemaker, cardiac, implantable"
27398,6/07/2012,"T SET, 3 WAY, 2ASV, 1BCV, 15CM",CareFusion Australia 316 Pty Ltd,Anaesthetic Medical Systems,125459,"Tubing extension set, intravenous administration"
26818,10/07/2012,INSIGNIA,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,131143,"Pacemaker, cardiac, implantable"
26149,17/07/2012,Carto 2 system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
27008,17/07/2012,COGNIS HE IS-1/DF-1/IS-1 Bi-Ventricular ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154033,"Defibrillator, implantable, automatic, dual-chamber"
27407,17/07/2012,FLEXTEND,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,129949,"Lead, defibrillator/pacemaker, implantable"
27418,19/07/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145398,"Clamp, surgical, vascular"
25900,19/07/2012,Optium Xceed Blood Glucose Monitoring System,Abbott Australasia Pty Ltd T/A Abbott Diabetes Care,Abbott Diabetes Care Ltd,107114,"Glucose monitoring system IVD, home-use/point-of-care"
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27456,23/07/2012,ENDOTAK RELIANCE,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,165644,"Lead, defibrillator/pacemaker, implantable"
,,INCEPTA DR Dual-Chamber ICD,Boston Scientific Pty Ltd,Boston Scientific Corporation,192551,"Defibrillator, implantable, automatic, dual-chamber"
27475,24/07/2012,SELUTE Picotip Atrial J,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128828,"Lead, pacemaker, implantable, endocardial"
27485,24/07/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27213,25/07/2012,INSIGNIA I Ultra DDDRO Dual Chamber IS-1 Comp,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101793,"Pacemaker, cardiac, implantable"
27505,25/07/2012,TELIGEN IS-4 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
27009,25/07/2012,VITALITY 2 VR EL,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,113729,Defibrillator/pacemaker
27520,26/07/2012,ALARIS GP VOLUMETRIC PUMP GUARDRAILS,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
26946,26/07/2012,OTVERIO SYSTEM MMOL AU,Johnson & Johnson Medical Pty Ltd,Lifescan Inc,115565,"Glucose monitoring system IVD, home-use/point-of-care"
27563,27/07/2012,ACCU-CHEK COMBO,Roche Diabetes Care Australia Pty Ltd,Roche Diagnostics GmbH,190251,Clinical chemistry substrate IVDs
