Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
30654,11/04/2013,Zeiss Acri-Tec IOL,Carl Zeiss Pty Ltd,Carl Zeiss MediTec SAS,134490,"Lens, intraocular, posterior chamber"
33792,31/03/2014,Intraocular Lens Ct Asphina 409MP and At Torbi 709,Carl Zeiss Pty Ltd,Carl Zeiss MediTec SAS,134490,"Lens, intraocular, posterior chamber"
33910,10/04/2014,"Asphina, Lens intraocular",Carl Zeiss Pty Ltd,Carl Zeiss MediTec SAS,134490,"Lens, intraocular, posterior chamber"
34011,23/04/2014,"20.5, 18.5, 21.0 Lens intraocular CT Asphina 409MP x 3",Carl Zeiss Pty Ltd,Carl Zeiss MediTec SAS,134490,"Lens, intraocular, posterior chamber"
35724,18/12/2014,LumaDent Light source,Carl Zeiss Pty Ltd,Integra York PA Inc,207981,"Light source, hand-held, battery powered"
40264,16/03/2016,"AT TORBI Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
40407,18/03/2016,"AT TORBI Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
41037,30/05/2016,Visucam Pro NM/FA - Camera,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,129300,"Camera, fundus"
41600,10/06/2016,"AT TORBI Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
42274,16/09/2016,"CT ASPHINA 409MP - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
43461,29/11/2016,"AT TORBI 709MP, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
42278,7/06/2017,"CT XTreme D Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
46455,20/06/2017,"AT TORBI 709MP - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
46701,23/06/2017,"Acri.Tec - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
46927,12/07/2017,"AT TORBI 709MP - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
47028,18/07/2017,"ZEISS - CT ASPHINA 409MP INTRAOCULAR LENS+14.0 - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
46707,5/10/2017,"CT ASPHINA 409MP - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
48291,11/10/2017,Carl Zeiss CT Asphina 409mp,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
48292,11/10/2017,Carl Zeiss CT Asphina 409MP,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
48295,11/10/2017,Carl Zeiss CT Asphina 409MP,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
48195,25/10/2017,"AT TORBI 709MP - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
48997,24/11/2017,Zeiss CT Asphina 409MP,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
49824,13/07/2018,"AT LISA TRI Toric - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
49826,13/07/2018,"AT LISA TRI Toric - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
49466,16/07/2018,"CT Asphina - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
53043,17/08/2018,Combivisc - Aqueous/vitreous humour replacement medium kit,Carl Zeiss Pty Ltd,Hyaltech Ltd,293592,Aqueous/vitreous humour replacement medium kit
53856,18/10/2018,"AT TORBI - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
51301,18/10/2018,"CT Asphina - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
49699,18/10/2018,"CT Asphina - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
52019,9/05/2019,"Lumera i - Microscope, surgical",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,187127,"Microscope, surgical, (specify)"
56786,31/07/2019,"AT TORBl - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
57991,22/10/2019,CT Asphina Lens,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
58252,23/10/2019,"AT TORBI - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
58253,23/10/2019,"AT TORBI - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
58374,23/10/2019,"CT ASPHINA - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
58720,18/11/2019,LISA,Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
59298,9/03/2020,"CT ASPHINA - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
59299,3/04/2020,"AT TORBI - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
59371,3/04/2020,"CT ASPHINA - Lens, intraocular, posterior chamber",Carl Zeiss Pty Ltd,Carl Zeiss Meditec AG,151348,"Lens, intraocular, posterior chamber"
