Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27418,19/07/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145398,"Clamp, surgical, vascular"
27906,13/08/2012,"Non-DEHP Add-On Set w/CLAVE, In-line Burette",Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
27491,14/08/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145123,"Clamp, surgical, vascular"
29157,6/11/2012,Claripose Island Dressing,Multigate Medical Products Pty Ltd,Shanghai ISO Medical Products Co Ltd,133767,"Dressing, high-absorbent, surgical"
30049,13/02/2013,Doro Head Clamp Model # 3003-00,Life Healthcare Pty Ltd,Incus Surgical Ltd,154099,"Holder, patient, head, ear/nose/throat"
,,"Holder, patient, head,",Taylor Bryant Pty Ltd,Pro Med Instrumente GmbH,113623,"Holder, patient, head, (specify)"
27338,20/05/2013,Advia Centaur Classic analyser,Siemens Ltd Diagnostics Division,Siemens Healthcare Diagnostics Inc,174383,Instrument/analyser IVDs
30758,25/05/2013,NC 100 Clave Neutron Connector,Robert Forbes & Associates Pty Ltd,ICU Medical Inc,198457,Neutral-pressure needleless valve-connector
32598,15/11/2013,"Kimberly-Clark, MIC-KEY low profile Transgastric-Jejunal Feeding Tube",Kimberly Clark Aust Pty Ltd,Ballard Medical Products,94849,Enteral feeding kit
28807,2/12/2013,Mayfield Modified Skull clamp,Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,170095,"Clamp, surgical, skull"
,,"Mayfield skull pins, Fixation device, internal, pin",Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,130969,"Fixation device, internal, pin"
,,"Mayfield system as a whole, Patient positioning device,",Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,170094,"Patient positioning device, (specify)"
30146,2/12/2013,Mayfield Modified Skull Clamp,Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,170095,"Clamp, surgical, skull"
,,"Mayfield skull pins, Fixation device, internal, pin",Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,130969,"Fixation device, internal, pin"
33194,31/01/2014,Suff Pilot Classic,Teleflex Medical Australia Pty Ltd,Tianjin Medis Medical Devices Co Ltd,151415,"Airway, laryngeal, single-use"
33294,27/02/2014,Sterile Umbilical Cord Clamp,Mediflex Industries Pty Ltd,Ningbo Greetmed Medical Instruments Co Ltd,221410,Umbilical cord clamp/cutter
34113,5/05/2014,"Cholongiogram Forceps Sterile, Single Use",Endovision Pty Ltd,Tontarra Medizintechnik GmbH,153148,"Clamp, cannula"
34937,8/07/2014,Mic-key Gastrostomy button Mic-key 16fg x 2.0cm,Kimberly Clark Aust Pty Ltd,Kimberly-Clark,140898,"Tube, feeding, gastrostomy"
34788,29/07/2014,Umbilical cord clamp/cutter,Mediflex Industries Pty Ltd,Ningbo Greetmed Medical Instruments Co Ltd,221410,Umbilical cord clamp/cutter
35039,25/08/2014,Umbilical Cord Clamp,Mediflex Industries Pty Ltd,Ningbo Greetmed Medical Instruments Co Ltd,221410,Umbilical cord clamp/cutter
32083,1/10/2014,"Kimberly Clark Generator, lesion, radio frequency",Medishine Pty Ltd T/A Shine Medical,Kimberly-Clark,195221,"Generator, lesion, radio frequency"
31867,21/10/2014,Tontarra,Endovision Pty Ltd,Tontarra Medizintechnik GmbH,153148,"Clamp, cannula"
35611,27/10/2014,Universal Pack drape,Kimberly Clark Aust Pty Ltd,Kimberly-Clark,139474,"Drape, surgical, general-purpose, single use"
35650,30/10/2014,Umbilical cord clamp,Mediflex Industries Pty Ltd,Ningbo Greetmed Medical Instruments Co Ltd,221410,Umbilical cord clamp/cutter
35719,7/11/2014,Umbilical Cord Clamp,Mediflex Industries Pty Ltd,Ningbo Greetmed Medical Instruments Co Ltd,221410,Umbilical cord clamp/cutter
35810,17/11/2014,mickey gastrostomy button,Kimberly Clark Aust Pty Ltd,Kimberly-Clark,140898,"Tube, feeding, gastrostomy"
35630,21/11/2014,CLAVICLE PLATE CENTRAL THIRD LEFT SS,Device Technologies Australia Pty Ltd,Arthrex Inc,140686,"Fixation plate, fracture-healing, non-biodegradable."
36420,9/12/2014,Mickey Gastrostomy Button Mickey,Kimberly Clark Aust Pty Ltd,Kimberly-Clark,140898,"Tube, feeding, gastrostomy"
36421,3/02/2015,Mickey Gastrostomy button Mickey,Kimberly Clark Aust Pty Ltd,Kimberly-Clark,140898,"Tube, feeding, gastrostomy"
36671,26/03/2015,"ATTAIN CLARITY , Catheter, cardiac, ventricular",Medtronic Australasia Pty Ltd,Medtronic Inc,204454,"Catheter, cardiac, ventricular"
33849,13/04/2015,Mayfield Skull Clamp,Integra Neurosciences Pty Ltd,Integra Lifesciences Corporation,170095,"Clamp, surgical, skull"
