Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27879,24/07/2012,Sonata i 100,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,145733,"Stimulator, electrical, auditory, cochlea"
28216,29/08/2012,Nucleus 24,Cochlear Ltd,Cochlear Ltd,139306,"Stimulator, electrical, auditory, cochlea"
24948,10/10/2012,Freedom Hybrid L24,Cochlear Ltd,Cochlear Ltd,158207,"Stimulator, electrical, auditory, cochlea"
27351,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
28376,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
28232,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
28229,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
27790,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
26528,10/10/2012,Nucleus 24 Contour Advance,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
28441,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28382,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28379,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28444,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28450,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28461,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28453,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28457,10/10/2012,Nucleus Freedom Implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
28378,10/10/2012,Nucleus Freedom implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
26798,10/10/2012,Nucleus Freedom implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
26373,10/10/2012,Nucleus Freedom implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
28463,10/10/2012,Nucleus Freedom implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
29576,10/10/2012,Nucleus Freedom implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
25241,10/10/2012,Nucleus Freedom implant with straight electrode,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
28368,10/10/2012,Nucleus Hybrid L24,Cochlear Ltd,Cochlear Ltd,158207,"Stimulator, electrical, auditory, cochlea"
28909,18/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
28992,24/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
29002,24/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
27702,6/12/2012,Freedom Hybrid L24,Cochlear Ltd,Cochlear Ltd,158207,"Stimulator, electrical, auditory, cochlea"
29573,6/12/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
25235,6/12/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28374,13/12/2012,Cochlear BAHA,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28774,13/12/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28184,21/01/2013,Nucleus 24,Cochlear Ltd,Cochlear Ltd,139306,"Stimulator, electrical, auditory, cochlea"
29076,18/02/2013,HiRes™ 90K Cochlear Implant,Advanced Bionics Australia Pty Ltd,Advanced Bionics LLC,159550,"Stimulator, electrical, auditory, cochlea"
28781,25/02/2013,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
29782,25/02/2013,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28440,25/02/2013,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
28820,25/02/2013,Nucleus Freedom implant with Contour Advance Electrode,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
29785,21/03/2013,CI512 Cochlear Implant with Contour Advance (CA) Electrode,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
29774,21/03/2013,CI512 Cochlear Implant with Contour Advance (CA) Electrode,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
29788,21/03/2013,CI512 Cochlear Implant with Contour Advance (CA) Electrode,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
29778,25/03/2013,CI512 Cochlear Implant with Contour Advance (CA) Electrode,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
29679,25/03/2013,CI512 Cochlear Implant with Contour Advance (CA) Electrode,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
29645,12/04/2013,SONATAti 100,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,145733,"Stimulator, electrical, auditory, cochlea"
29628,12/04/2013,SONATAti100,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,145733,"Stimulator, electrical, auditory, cochlea"
26518,22/04/2013,Baha Fixtures and Abutments,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
26522,22/04/2013,Baha Fixtures and Abutments,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
26520,22/04/2013,Baha Fixtures and Abutments,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
26376,22/04/2013,BAHA Fixtures and Abutments - Screws,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
26375,23/04/2013,BAHA Fixtures and abutments - Screw,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28233,1/05/2013,BAHA,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28224,1/05/2013,BAHA,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28784,1/05/2013,Baha Fixtures and Abutments,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
29565,1/05/2013,BIA 300 Implant 3mm W Abutment 6mm,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28464,1/05/2013,BIA 300 Implant 4mm W Abutment 9mm,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
29689,1/05/2013,Flange fixture and abutment,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
29559,1/05/2013,Flange fixture and abutment,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28786,1/05/2013,Flange fixture and abutment,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
28215,30/05/2013,BAHA Cochlear Implant,Cochlear Ltd,Cochlear Bone Anchored Solutions AB,123984,"Fixation device, internal, screw"
