Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27283,6/07/2012,Baxter Colleague Infusion Pumps,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation USA,128345,"Infusion pump, general-purpose"
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
26116,17/08/2012,Fenwal Transfer Pack,Fresenius Kabi Australia Pty Ltd,Fenwal Inc,169160,Blood collection/cell-culture container
28168,27/08/2012,MacoPharma Cord Blood Collection Bag,MacoPharma Australia Pty Ltd,Maco Pharma SA,148314,Umbilical cord blood collection set
28313,31/08/2012,MacoPharma Cord Blood Collection Bag,MacoPharma Australia Pty Ltd,Maco Pharma SA,148314,Umbilical cord blood collection set
28730,26/09/2012,BD Vacutainer Plasma Preparation Tube K2E 9.0mg,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
29101,1/11/2012,MacoPharma Cord Blood Collection Bag,MacoPharma Australia Pty Ltd,Maco Pharma SA,148314,Umbilical cord blood collection set
29433,19/11/2012,Cryocyte Bag,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation Cellular Therapies Division,129892,Blood collection/cell-culture container
28718,20/11/2012,WallFlex Enternal Colonic Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,119517,Unclassified
29481,3/12/2012,BD Vacutainer Plasma Preparation Tube K2E 9.0mg,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
28729,9/01/2013,Microfrance Sataloff Straight Laryngeal Collagen Needle,Integra Neurosciences Pty Ltd,Medtronic Xomed Instrumentation SAS,126145,"Needle, injection, single use"
30040,7/02/2013,Agility,Elekta Pty Ltd,Elekta Limited,196919,"Collimator, accelerator system, motorized, automatic aperture control"
30196,1/03/2013,COMTEC PL1 Procedural Blood Apheresis Therapeutic Plasma Exchange Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
30277,11/03/2013,COMTEC PL1 Procedural Blood Apheresis Therapeutic Plasma Exchange Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
30377,18/03/2013,Comtec P1YA Blood Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
26907,20/05/2013,Colleague Triple Channel CXE pump,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,177494,"Infusion pump, general-purpose"
31352,2/07/2013,Becton Dickinson,Becton Dickinson Pty Ltd,Becton Dickinson & Company,137630,"Adaptor, blood collecting tube, single use"
31539,23/07/2013,TERUMO BCT Spectra Optia Apheresis System Collection Set,Terumo BCT Australia Pty Ltd,Terumo BCT Inc,129064,Blood collection tubing set
31551,24/07/2013,Pentax Colonoscope,Hoya Lens Australia Pty Ltd,Hoya Corporation,194530,"Colonoscope, flexible, video"
31585,26/07/2013,HerbalPackOz,Marketing Sales Pty Ltd,Marketing Sales Pty Ltd,195629,"Compress, hot/cold pack, reusable"
29389,15/08/2013,COLB840 VENTILATOR BDU & GUI,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
31778,19/08/2013,Invacare Powered Wheelchair,Invacare Australia Pty Ltd,Taiwan Armada Enterprise Co Ltd,101081,"Wheelchair, attendant/occupant, electric drive/manual steer, collapsible"
31855,22/08/2013,Coles Medi Strips,3P Pty Ltd,Nanjing Jinzhou Sanitary Commodity Company Limited,150595,"Adhesive strip, skin-cover"
31886,30/08/2013,BD Vacutainer Plasma Preparation Tube K2E9.0 mg,Becton Dickinson Pty Ltd,Becton Dickinson & Company,137630,"Adaptor, blood collecting tube, single use"
31963,9/09/2013,"OPEN-ENDED URINE COLLECTION BAG, WEARABLE, LEG BAG",Coloplast Pty Ltd,Coloplast AS,107143,"Bag, urine collection, open-ended, body worn"
32046,16/09/2013,"MacoPharma, Cord blood collection bag",MacoPharma Australia Pty Ltd,Maco Pharma SA,148314,Umbilical cord blood collection set
