Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27745,6/08/2012,Lomb Scalpel Blade,Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151830,"Surgical procedure kit, general-purpose, single-use, non-medicated"
,,"Surgical procedure kit, ENT, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151834,"Surgical procedure kit, ENT, single-use, non-medicated"
,,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151833,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated"
,,"Surgical procedure kit, orthopaedic, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151832,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
28851,18/09/2012,AirSep,Air Liquide Healthcare Pty Ltd,Airsep Corporation,137067,Oxygen concentrator
29135,9/10/2012,Oxygen concentrator,Air Liquide Healthcare Pty Ltd,Airsep Corporation,137067,Oxygen concentrator
30200,12/02/2013,AirSep,Air Liquide Healthcare Pty Ltd,Airsep Corporation,137067,Oxygen concentrator
29809,19/04/2013,Trevo Pro embolectomy catheter,N Stenning & Co Pty Ltd,Concentric Medical Inc,193745,"Catheter, embolectomy"
31214,13/06/2013,AirSep,Air Liquide Healthcare Pty Ltd,Airsep Corporation,137067,Oxygen concentrator
31538,22/07/2013,AirSep Oxygen Concentrator,Air Liquide Healthcare Pty Ltd,Airsep Corporation,137067,Oxygen concentrator
32298,17/10/2013,"Grifols Perfect Pool,10ml bottles of Human Red Cells in a buffered suspension medium at 0.8% concentration",Grifols Australia Pty Ltd,Grifols Australia Pty Ltd,178738,Human origin material
32467,2/11/2013,Essure Micro Insert,Bayer Australia Ltd,Conceptus Inc,174123,"Contraceptive, tubal occlusion, Insert"
32610,13/11/2013,AirSep oxygen concentrator,Air Liquide Healthcare Pty Ltd,Airsep Corporation,137067,Oxygen concentrator
