Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27284,6/07/2012,Contak Renewal TR 2 Bi-ventricular Pacemaker LV-1,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101573,"Pacemaker, cardiac, implantable"
27292,9/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27340,10/07/2012,Contoura 380,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,100826,"Bed, (specify)"
27346,12/07/2012,Durex Pleasuremax Condom,Reckitt Benckiser Pty Ltd,Reckitt Benckiser Healthcare (UK) Limited,197225,"Condom, male, latex, lubricated"
27363,12/07/2012,Illumena contrast injector system,Guerbet Australia Pty Ltd,Liebel-Flarsheim Company,93438,"Contrast medium injector system, powered, single-phase"
27373,13/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27425,20/07/2012,ConMed Goldvac,ConMed Linvatec Australia Pty Ltd,ConMed Corporation,160999,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27721,26/07/2012,Trident 0 Deg Constrained Insert,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
27530,27/07/2012,Sharps Container,Chelsea Medical Pty Ltd,Zhejiang Vitalcare Medical Devices Co Ltd,200654,"Waste disposal unit, container, sharp"
27679,2/08/2012,Electro Surgical Pencil,Big Green Surgical Company Pty Ltd,Cimpax,196690,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27745,6/08/2012,Lomb Scalpel Blade,Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151830,"Surgical procedure kit, general-purpose, single-use, non-medicated"
,,"Surgical procedure kit, ENT, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151834,"Surgical procedure kit, ENT, single-use, non-medicated"
,,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151833,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated"
,,"Surgical procedure kit, orthopaedic, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151832,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
27863,7/08/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
27855,8/08/2012,Alaris Secondary Set Oncology,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
