Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27368,12/07/2012,Nathanson Cystic/Common Bile Duct Exploration Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
27477,24/07/2012,Biodesign Surgisis Hernia Graft,Endotherapeutics Pty Ltd,Cook Biotech Incorporation,153052,"Tissue reconstructive material, biological"
27863,7/08/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
24786,8/08/2012,Endoscopic Cholangiography Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
27973,16/08/2012,Performer Introducer,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
,,Lunderquist Stiff Wire,-,Cook Incorporated,,-
,,Zenith Fenestrated Endovascular Graft,-,William A Cook Australia Pty Ltd,,-
28046,21/08/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
28505,11/09/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
,,EP WorkMate System,St Jude Medical Australia Pty Ltd,St Jude Medical Inc,160471,Single-patient physiologic monitoring system
28555,17/09/2012,Frova intubating bougie,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
28744,25/09/2012,Zenith AAA Endovascular Graft AAA Ancillary,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
27730,25/09/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
28856,10/10/2012,Zenith Branch Iliac Endovascular Graft Bifurcated,William A Cook Australia Pty Ltd,William A Cook Australia Pty Ltd,138930,"Graft, vascular, synthetic"
28891,12/10/2012,"Cool Path Duo 7F, 1304-CP2-7-1.5(5)2-M-TE4BE1A",Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,153862,"Catheter, cardiac, electrophysiological mapping"
,,Therapy Cool Flex Ablation Catheter,St Jude Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,172928,"Catheter, cardiac, electrophysiological mapping"
29080,30/10/2012,Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
29232,13/11/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
,,CODA Balloon Catheter,-,Cook Incorporated,,-
29229,22/11/2012,EchoTip ProCore High Definition Ultrasound Biopsy Needle,William A Cook Australia Pty Ltd,Cook Ireland Ltd,181256,"Biopsy kit, ultrasonic aspiration"
29447,27/11/2012,Advance 35 LP Low Profile Balloon Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,171374,"Catheter, angioplasty, balloon dilatation"
29237,4/12/2012,Wood Pleural/Pnemopericarial Drainage Set,William A Cook Australia Pty Ltd,Cook Incorporated,156668,"Tube, drainage"
29230,4/12/2012,Zenith AAA Endovascular Graft AAA Ancillary,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
,,CODA Balloon Catheter,-,Cook Incorporated,,-
29610,17/12/2012,Mystic II M-Style Mushroom Cup Vacuum Assist Delivery System Intergrated Pump & Cup System,Endeavour Medical & Surgical Supplies Pty Ltd,Cooper Surgical Inc,136607,"Extractor, vacuum, foetal"
29446,19/12/2012,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29236,20/12/2012,Flexor High-Flex Ansel Guiding Sheath,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
29508,8/01/2013,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29507,8/01/2013,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29532,5/02/2013,UMI-Loc Lockable Uterine Manipulator Injector,William A Cook Australia Pty Ltd,Catheter Research Inc,170158,"Cannula, uterine, manipulation/injection"
30089,18/02/2013,Catheter PICC 3.0ga 50cm,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
29238,26/02/2013,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
29509,27/02/2013,Nester Platinum Embolization Coil,William A Cook Australia Pty Ltd,Cook Incorporated,143783,"Embolization implant, non-neurovascular"
29531,27/03/2013,Zenith Endovascular Graft,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
29530,27/03/2013,Zenith Endovascular Graft,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
29649,28/03/2013,Zenith AAA Endovascular Graft AAA Ancillary,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
29919,28/03/2013,Zenith AAA Endovascular Graft AAA Ancillary,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
29823,28/03/2013,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
29984,10/04/2013,Thal Quick Chest Tube Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
30182,30/04/2013,Heavy Duty Double Flexible Tipped Wire Guide,William A Cook Australia Pty Ltd,Cook Incorporated,153527,Catheter guide wire
30179,2/05/2013,Beacon Tip Royal Flush Plus Flush Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,137861,"Catheter, angiography"
30334,7/05/2013,CXI Support Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,137864,"Catheter, angiography"
30622,8/05/2013,Cook Spectrum Minocycline/Rifampin Impregnated Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
29983,8/05/2013,Thal-Quick Chest Tube Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
30684,9/05/2013,Cook Spectrum Minocycline / Rifampin Impregnated Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
30064,21/05/2013,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
30566,23/05/2013,Performer Introducer,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
30568,19/06/2013,Turbo-Ject Double Lumen Peripherally Inserted Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161616,"Catheterization kit, central venous"
30674,19/06/2013,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
30340,19/06/2013,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
31349,28/06/2013,Therapy Cool Flex Ablation Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,172928,"Catheter, cardiac, electrophysiological mapping"
,,"Inquiry Optima Steerable Catheter - Inquiry Cardioversion Steerable Diagnostic Catheter - Single Catheter System - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,148117,"Catheter, cardiac, electrophysiological mapping"
,,"Livewire Steerable Decapolar Catheter -Livewire Steerable Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical,141868,"Catheter, cardiac, electrophysiological mapping"
30580,8/07/2013,RL1265 BLOOD GAS + COOX,Siemens Ltd Diagnostics Division,Siemens Healthcare Diagnostics Inc,174383,Instrument/analyser IVDs
31479,11/07/2013,Instinct Endoscopic Hemoclip,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,96698,"Clip, internal, haemostatic"
31480,11/07/2013,Instinct Endoscopic Hemoclip,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,96698,"Clip, internal, haemostatic"
31197,24/07/2013,Amplatz Renal Catheter,William A Cook Australia Pty Ltd,Cook Urological Incorporated,139309,"Endotherapy dilator, single use"
31330,21/08/2013,Cool Flow Pump Europe Ship Kit,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
31860,21/08/2013,Instinct Endoscopic Hemoclip,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,96698,"Clip, internal, haemostatic"
31394,29/08/2013,Wayne Pneumothorax Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
32011,12/09/2013,Wayne Pneumothorax Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
28995,18/09/2013,Fusion OMNI-Tome Pre-loaded Sphincterotome,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,142988,"Electrosurgical system electrode, active, general-purpose, single-use"
26584,9/10/2013,CoolFlow Pump,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
28188,14/10/2013,Cardiac catheter - Cool Path Duo 7F,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,153862,"Catheter, cardiac, electrophysiological mapping"
,,10F Introducer,-,unknown,,-
,,7F Introducer,-,unknown,,-
,,Archer Super Stiff Guidewire - Catheter guide wire,Medtronic Australasia Pty Ltd,Medtronic Inc,200043,Catheter guide wire
,,"EnSite Multi-eletcrode Diagnostic Catheter - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical Inc,140779,"Catheter, cardiac, electrophysiological mapping"
32063,31/10/2013,Flexor Parallel Ureteral Access Sheath and Dilators,William A Cook Australia Pty Ltd,Cook Incorporated,203472,"Endotherapy dilator, single use"
32408,19/11/2013,Vital Port,William A Cook Australia Pty Ltd,Cook Vascular Incorporated,142612,"Port/catheter, internal, subcutaneous"
32546,10/12/2013,Methafilcon A / Frequency XCEL Toric XR,Coopervision Australia Pty Ltd,CooperVision Manufacturing Ltd T/a Aspect Vision Care - CL Tinters - Hydron - Ocular Sciences,169193,"Contact lens, vision corrective, reusable"
32633,12/12/2013,AcuSnare Polypectomy Snare,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,176864,"Endotherapy snare, electrosurgical, single use"
32488,21/01/2014,Zenith Flex with Spiral Z Technology AAA Endovascular Graft Iliac Leg,William A Cook Australia Pty Ltd,Cook Incorporated,184456,"Graft, vascular, synthetic"
33256,4/02/2014,IVC 'Celect' Filter,William A Cook Australia Pty Ltd,William Cook Europe,170111,"Vena cava filter, optional"
33509,24/02/2014,Cool Point Tubing Set,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,150541,"Tubing set, irrigation pump"
,,"Agilis ES Steerable Introducer - Cardiovascular device introducer, steerable",St Jude Medical Australia Pty Ltd,St Jude Medical,184457,"Cardiovascular device introducer, steerable"
,,"BRK Transseptal Needles - Needle, catheter",St Jude Medical Australia Pty Ltd,St Jude Medical,202331,"Needle, catheter"
,,"Livewire Diagnostic Catheter, MediGuide Enabled - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical,193897,"Catheter, cardiac, electrophysiological mapping"
,,"Swartz Braided Transseptal Introducer, Catheter introducer",St Jude Medical Australia Pty Ltd,St Jude Medical,135568,Catheter introducing sheath
33203,26/03/2014,Thal-Quick Chest Tube Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
33908,10/04/2014,"Hercules, Balloon three stage guided",William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,138320,"Catheter, gastrointestinal balloon"
33495,10/04/2014,Zenith LP AAA Endovascular Graft Iliac Leg,William A Cook Australia Pty Ltd,Cook Incorporated,201761,"Graft, vascular, synthetic"
33706,23/04/2014,Retracta Detachable Embolization Coil,William A Cook Australia Pty Ltd,Cook Incorporated,210182,"Embolization implant, non-neurovascular"
34084,24/04/2014,enfilcon A / Avaira Sphere contact lens,Coopervision Australia Pty Ltd,CooperVision Manufacturing Ltd T/a Aspect Vision Care - CL Tinters - Hydron - Ocular Sciences,169193,"Contact lens, vision corrective, reusable"
33760,26/05/2014,Cook Micropuncture Transitionless Access Set,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
34006,26/05/2014,Single Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,154879,"Catheterization kit, central venous"
34170,12/06/2014,Single Lumen Peripherally Inserted Central Venous,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
34123,13/06/2014,Flexor Parallel Ureteral Access Sheath and Dilator,William A Cook Australia Pty Ltd,Cook Incorporated,203472,"Endotherapy dilator, single use"
34128,13/06/2014,Turbo-Ject Standard Power Injectable PICC Line PIC,William A Cook Australia Pty Ltd,Cook Incorporated,161615,"Catheterization kit, central venous"
34447,18/06/2014,Wayne Pneumothorax Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
34206,18/06/2014,Wayne Pneumothorax Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
34285,30/06/2014,Retracta Detachable Embolization Coil,William A Cook Australia Pty Ltd,Cook Incorporated,210182,"Embolization implant, non-neurovascular"
34582,4/07/2014,Evolution® Esophageal Controlled-Release Stent - Partially Covered,William A Cook Australia Pty Ltd,Cook Ireland Ltd,153840,"Prosthesis, internal, stent, oesophageal"
34733,22/07/2014,Anspec Icy Cool,Anspec Pty Ltd,Spraypack Pty Ltd,134375,"Cryogenic spray, cutaneous"
34411,23/07/2014,Zenith Branch Iliac Endovascular Graft Bifurcated,William A Cook Australia Pty Ltd,William A Cook Australia Pty Ltd,138930,"Graft, vascular, synthetic"
30166,15/08/2014,Coolpulse 90 Electrode,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,DePuy Mitek Inc,138488,"Electrode, electrosurgical, active, foot-controlled"
34745,21/08/2014,Flexor Shuttle Select Guiding Sheath,William A Cook Australia Pty Ltd,Cook Incorporated,154897,Catheter introducing sheath
34675,21/08/2014,Zenith TX2 TAA Endovascular Graft Proximal Component,William A Cook Australia Pty Ltd,William Cook Europe,164328,"Graft, vascular, synthetic"
34814,29/08/2014,Ultrathane Mac-Loc Locking Loop Multipurpose Drain,William A Cook Australia Pty Ltd,Cook Incorporated,139357,"Tube, drainage"
34754,3/09/2014,Zenith TX2 TAA Endovascular Graft Proximal Extensi,William A Cook Australia Pty Ltd,William Cook Europe,164328,"Graft, vascular, synthetic"
34727,24/09/2014,INDY OTW Vascular Retriever,William A Cook Australia Pty Ltd,Cook Incorporated,170107,"Catheter, snare"
35505,9/10/2014,Biodesign Surgisis,William A Cook Australia Pty Ltd,Cook Biotech Incorporated,186657,Biological tissue reconstructive material
34947,17/10/2014,CXI Support Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,137864,"Catheter, angiography"
35329,17/10/2014,Zenith Flex with Spiral-Z Technology AAA Endovascu,William A Cook Australia Pty Ltd,Cook Incorporated,184456,"Graft, vascular, synthetic"
35607,27/10/2014,Catheter peripherally insert PICC 3fg x 55cm latex free,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
35465,6/11/2014,Bakri Tamponade Balloon Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,205042,"Balloon, intrauterine"
35459,6/11/2014,Thal-Quick Chest Tube Set,William A Cook Australia Pty Ltd,Cook Incorporated,142280,"Tube, drainage"
35068,18/11/2014,Turbo-Ject Double Lumen Peripherally Inserted Cent,William A Cook Australia Pty Ltd,Cook Incorporated,161616,"Catheterization kit, central venous"
35273,19/11/2014,Cook Celect Navalign Jugular & Femoral Vena Cava F,William A Cook Australia Pty Ltd,William Cook Europe,170111,"Vena cava filter, optional"
35950,1/12/2014,PICC Catheter peripherally insert PICC 3fg x 55cm,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
35701,3/12/2014,Frova Intubating Introducer,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
35706,3/12/2014,Frova Intubating Introducer,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
35708,14/01/2015,Beacon Tip Royal Flush Plus Flush Catheter,William A Cook Australia Pty Ltd,Cook Incorporated,137861,"Catheter, angiography"
35712,15/01/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
