Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28973,7/11/2012,Core Micro Drill,Stryker Australia Pty Ltd,Stryker Instrument,139725,"Drill handpiece, surgical, battery-powered"
31128,11/11/2013,40 L Core Insulfflator,Stryker Australia Pty Ltd,Stryker Endoscopy,139712,"Distension unit, gas, laparoscopic"
32933,16/01/2014,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
32934,17/01/2014,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
,,"Suture/ligature implanting instrumentation, percutaneous",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
31833,7/07/2014,Ingenuity Core128,Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, full-body"
35801,14/01/2015,Ingenuity Core128 - X-Ray,Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, ful"
36341,19/01/2015,Philips Ingenuity Core128,Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, full-body"
36690,10/03/2015,Saf-T-J Fixed Core Guide wire,William A Cook Australia Pty Ltd,Cook Incorporated,153528,Catheter guide wire
36558,13/03/2015,Max Core biopsy gun,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
36559,13/03/2015,Max Core Biopsy Gun,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
37555,28/05/2015,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38173,3/08/2015,Q-Core Sapphire Patient Controlled Analgesic Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38170,3/08/2015,Q-Core Sapphire Patient-Controlled Analgesic Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38082,3/08/2015,Sapphire infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
37938,4/09/2015,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLI,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
38225,7/09/2015,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
38335,29/09/2015,Sapphire infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
39140,6/11/2015,"Ingenuity Core 128 X-ray system, diagnostic, computed tomography",Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, ful"
37078,9/11/2015,Ingenuity Core,Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, ful"
39606,8/03/2016,MaxCore Disposable Core Biopsy devices,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
40945,8/06/2016,MaxCore Disposable Core Biopsy devices,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
41586,21/06/2016,MaxCore Disposable Core Biopsy devices - Biopsy gun,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
39825,22/06/2016,"INMOTION CORE S 8.5MM - Prosthesis, internal, spin",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Spine SARL,147793,"Prosthesis, internal, spine, disc"
,,"Fixation system, internal, spinal, bone screw",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Spine Inc,128257,"Fixation system, internal, spinal, bone screw"
,,"Prosthesis, internal, spine, cage",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Spine Inc,98094,Spinal cage
,,"Prosthesis, internal, spine, disc",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Spine SARL,147793,"Prosthesis, internal, spine, disc"
,,"Restore Orthobiolgic Patch - Graft, xeno-",Johnson & Johnson Medical Pty Ltd T/A Depuy Australia,Depuy Orthopaedic Inc,149583,"Graft, xeno-"
,,"Spinal fixation plate, non-biodegradable",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Spine Inc,148371,"Spinal fixation plate, non-biodegradable"
41658,27/06/2016,Magnum Disposable Core Biopsy Needles,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180980,"Soft-tissue biopsy needle, single-use"
41660,27/06/2016,Magnum Disposable Core Biopsy Needles,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180980,"Soft-tissue biopsy needle, single-use"
41915,3/08/2016,MaxCore Disposable Core Biopsy devices,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
42446,23/08/2016,QCore/Hospira Sapphire - Patient Controlled Analgesic Infusion Pump - Power supply,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,224993,Basic power supply
42277,20/09/2016,"Ingenuity Core128 - X-ray system, diagnostic, computed tomography, full-body",Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, full-body"
41924,21/10/2016,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLI,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
42788,24/10/2016,Magnum Disposable Core Biopsy Needles,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180980,"Soft-tissue biopsy needle, single-use"
43429,24/11/2016,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
43430,24/11/2016,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
43428,23/12/2016,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
43843,16/02/2017,SAPPHIRE Multi-Therapy Infusion Pump Kit,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
,,Sapphire Bolus Handle,-,Q Core,,-
43844,16/02/2017,"SAPPHIRE Multi-Therapy Infusion Pump Kit - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
,,"Cable,",ICU Medical Australia Pty Ltd,Q-Core Medical Ltd,208218,"Cable, (specify)"
40281,27/02/2017,Sapphire epidural pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
41511,28/02/2017,Q Core Air In Line Complaint,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
44286,28/02/2017,"SAPPHIRE Mini Cradle - Fluid delivery mount accessory, holder, infusion pump, multi-outlet",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,260612,"Fluid delivery mount accessory, holder, infusion pump, multi-outlet"
44118,28/02/2017,SAPPHIRE Multi-Therapy Infusion Pump Kit,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
44285,28/02/2017,Sapphire Power supply,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,233516,Basic power supply
44836,28/02/2017,Sappire Epidural Infusion Pump English,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
42120,1/03/2017,Q CORE SAPPHIRE PUMP - AIR IN LINE ALARM,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
42953,6/03/2017,SAPPHIRE INFUSION PUMP - ENGLISH,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
40784,10/03/2017,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
43497,14/03/2017,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
40773,22/03/2017,"Sapphire Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
40290,23/03/2017,Sapphire Infusion Pump - English,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
45081,21/04/2017,"ARCHITECT Anti-HBc II - Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,200673,"Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay"
,,Instrument/analyser IVDs,Abbott Australasia Pty Ltd Diagnostic Division,Abbott Labs Diagnostic Division,199356,Instrument/analyser IVDs
44699,22/05/2017,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
44950,6/06/2017,Sapphire Infusion Pump,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
43671,10/07/2017,Safe-T-J Nephrostomy Drainage Set Fixed Core Wire Guide,William A Cook Australia Pty Ltd,Cook Incorporated,153528,Catheter guide wire
46777,1/08/2017,"ARCHITECT Anti-HCV - Hepatitis C virus total antibody IVD, kit, chemiluminescent assay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,213307,"Hepatitis C virus total antibody IVD, kit, chemiluminescent assay"
,,"ARCHITECT HCV Ag assay - Hepatitis C virus core antigen IVD, kit, chemiluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,212435,"Hepatitis C virus core antigen IVD, kit, chemiluminescent immunoassay"
46671,26/09/2017,"Sapphire Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
47866,10/10/2017,"Core Dynamics Suction Irrigation Handpiece - Irrigation/aspiration unit, surgery, general-purpose",ConMed Linvatec Australia Pty Ltd,ConMed Corporation,131326,"Irrigation/aspiration unit, surgery, general-purpose"
47596,15/12/2017,"Sapphire M.T Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
47767,18/12/2017,"Sapphire Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
47539,8/01/2018,"Sapphire M.T Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
48477,19/01/2018,"MaxCore Disposable Core Biopsy Device 14g x 10cm - Biopsy gun, side-notch",Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
46367,19/02/2018,Evolut R Transcatheter Aortic Valve,Medtronic Australasia Pty Ltd,Medtronic Corevalve LLC,284003,"Aortic transcatheter heart valve bioprosthesis, stent-like framework"
49228,20/03/2018,"Sapphire Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
48557,12/04/2018,"Sapphire Infusion Pump- English Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
50776,20/04/2018,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating - Catheter guide wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
50276,4/05/2018,"SAPPHIRE Multi Therapy pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
49527,5/07/2018,CORE Saber Drill - Line-powered surgical drilling system motor,Stryker Australia Pty Ltd,Stryker Instrument,269536,Line-powered surgical drilling system motor
49229,12/07/2018,"Sapphire Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
51743,31/08/2018,"Ingenuity Core 128 - X-ray system, diagnostic, computed tomography, full-body",Philips Electronics Australia Ltd,Philips Medical Systems (USA),98868,"X-ray system, diagnostic, computed tomography, full-body"
51608,7/09/2018,Bolus handle - Cable,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,208218,"Cable, (specify)"
51606,7/09/2018,Power supply - Basic power supply,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,233516,Basic power supply
51607,7/09/2018,Power supply - Basic power supply,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,233516,Basic power supply
49799,7/09/2018,Sapphire Power Supply,BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,233516,Basic power supply
52880,16/10/2018,"Sapphire Infusion Pump - Infusion pump, general-purpose",BMDi TUTA Healthcare Pty Ltd,Q-Core Medical Ltd,201499,"Infusion pump, general-purpose"
51831,31/10/2018,"ARCHITECT Anti-HBc II - Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,200673,"Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay"
,,Instrument/analyser IVDs,Abbott Australasia Pty Ltd Diagnostic Division,Abbott Labs Diagnostic Division,199356,Instrument/analyser IVDs
54289,28/11/2018,Hi-Torque Supra Core 35 Guide Wire with Microglide Coating - Catheter Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
54721,30/11/2018,Safe-T-J Fixed Core Guide Wire Curved,William A Cook Australia Pty Ltd,Cook Incorporated,153527,Catheter guide wire
54871,5/12/2018,Coregas Pty Ltd Medical Oxygen 100% v/v Gas in Gas Cylinder,Coregas Pty Ltd,Messer Cutting & Welding GmbH,124178,"Regulator, gas, high-pressure"
56428,19/03/2019,HI-TORQUE SUPRA CORE ™ 35 GUIDE WIRE with MICROGLIDE® Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,179380,Catheter guide wire
57720,3/06/2019,BARD Max Core Biopsy System,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,180984,"Biopsy gun, side-notch"
57922,13/06/2019,"Abbott - Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,200673,"Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay"
