Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27244,3/07/2012,Xience Prime LL Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167878,"Coronary artery stent, drug-eluting"
,,Balance Inflation Device,-,Abbott Vascular,,-
,,Trek Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,158027,Catheter guide wire
,,Xience Prime,-,Abbott Vascular Inc,,-
26318,4/07/2012,PT2 Coronary Guide Wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,118249,Catheter guide wire
27270,5/07/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Resolute Integrity stent,Medtronic Australasia Pty Ltd,Medtronic Inc,188598,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
27283,6/07/2012,Baxter Colleague Infusion Pumps,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation USA,128345,"Infusion pump, general-purpose"
27245,6/07/2012,CaviWipes XL,Kerr Australia Pty Ltd,Metrex Research Corporation,102132,Towelettes disinfectant wipes
26939,10/07/2012,Zero Tip Nitinol Stone Retrieval Basket,Boston Scientific Pty Ltd,Boston Scientific Corporation,104320,"Extractor, stone removal"
27070,12/07/2012,Express™ Vascular SD,Boston Scientific Pty Ltd,Boston Scientific Corporation,159292,"Prosthesis, internal, stent, vascular"
27361,12/07/2012,Multi-Link RX Vision Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
27339,13/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Octrode Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27379,16/07/2012,MINI TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Balance Inflation Device,-,Abbott Vascular,,-
,,Xience Prime,-,Abbott Vascular Inc,,-
27369,16/07/2012,MISC. INSTRUMENTS - UPPER TRAY,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
26484,16/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27383,17/07/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
26781,17/07/2012,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
,,Speed Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
26784,17/07/2012,Speed Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
,,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
27510,18/07/2012,Duracon Knee Prosthesis,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146124,"Prosthesis, internal, joint, knee, tibial component"
,,DURACON CS TIBIA INSERT MED 11,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,146124,"Prosthesis, internal, joint, knee, tibial component"
27403,18/07/2012,TREK Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,176117,"Catheter, angioplasty, balloon dilatation"
,,Balance MiddleWeight J tip guide wire,-,Abbott Vascular,,-
27408,18/07/2012,Voyager NC Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,160365,"Catheter, angioplasty, balloon dilatation"
,,NC Quantum Apex Dilatation Catheter,-,Boston Scientific Corporation,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
,,TREK Inflation Device,-,Abbott Vascular,,-
,,Whisper guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,198622,Catheter guide wire
27416,19/07/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
,,Balance MiddleWeight Guide wire,-,Abbott Vascular,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27425,20/07/2012,ConMed Goldvac,ConMed Linvatec Australia Pty Ltd,ConMed Corporation,160999,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27420,20/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Model 3183,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27429,20/07/2012,"Eon Rechargeable IPG, 16-Channel",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
27071,24/07/2012,PROMUS Element Everolimus-Eluting Coronary Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27558,24/07/2012,Triathlon Size 4-6 Keel Punch,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27559,25/07/2012,T-handle reamer,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27557,25/07/2012,TRIDENT ACET WINDOW TRIAL 54MM,Stryker Australia Pty Ltd,Howmedica Osteonics Corp a Subsidiary of Stryker Corporation,140892,"Surgical procedure kit, orthopaedic, reusable"
27721,26/07/2012,Trident 0 Deg Constrained Insert,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
27156,27/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27635,30/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
27605,30/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27722,1/08/2012,Accolade Plus TMZF Hip Stem #4,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,145594,"Prosthesis, internal, joint, hip, femoral component"
,,Mitch TRH Md Hd Sz50+4,-,Finsbury Orthopaedics Ltd,,-
26696,1/08/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27756,6/08/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
27766,8/08/2012,MULTI-LINK 8 Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,174511,"Stent, vascular, coronary artery"
,,Apex dilatation catheter,-,Boston Scientific Corporation,,-
,,Multi Link Vision stent,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
27035,8/08/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27814,8/08/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
26899,8/08/2012,V-14 ControlWire,Boston Scientific Pty Ltd,Boston Scientific Corporation,108549,Catheter guide wire
27832,8/08/2012,X3 Patella Button,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
27828,8/08/2012,Xience Prime SV Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167879,"Coronary artery stent, drug-eluting"
27860,9/08/2012,LARS,Corin (Australia) Pty Limited,Lars,138573,"Prosthesis, internal, ligament"
27861,9/08/2012,LARS,Corin (Australia) Pty Limited,Lars,138573,"Prosthesis, internal, ligament"
27772,10/08/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
28034,14/08/2012,CORFLO-ULTRA Tube,Halyard Australia Pty Ltd,Viasys Medsystems,138669,Enteral feeding kit
27947,15/08/2012,PROMUS Element Everolimus-Eluting Coronary Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27991,16/08/2012,Acuvue,Johnson & Johnson Pacific Pty Ltd,Johnson and Johnson Vision Care Inc,96417,"Contact lens, vision corrective, reusable"
28588,17/08/2012,Scorpio Recessed Metal Backed Patella,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,139146,"Prosthesis, internal, joint, knee, patellar component"
,,SCORPIO NRG X3 PS TIBIAL INSERT #9 10mm,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,141151,"Prosthesis, internal, joint, knee, tibial component"
