Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29621,21/03/2013,Cosgrove-Edwards Annuloplasty System,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,158660,"Prosthesis, internal, annuloplasty, ring"
26935,9/05/2013,Coseal Surgical Sealant,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,181132,"Adhesive, soft tissue approximation"
32346,14/11/2013,Coseal 8mL,Baxter Healthcare Pty Ltd,Baxter Healthcare,181132,"Adhesive, soft tissue approximation"
33242,3/02/2014,beeLINE,Cosuda Pty Ltd,Zevex Inc,167183,"Infusion administration set, infusion pump"
33806,1/04/2014,Cosuda/ Beeline motIV ref BL1NOO,Cosuda Pty Ltd,Zevex Inc,167183,"Infusion administration set, infusion pump"
33102,3/04/2014,Coseal 8mL,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,181132,"Adhesive, soft tissue approximation"
35473,26/09/2014,Cereform Breast Implant,Medical Vision Aust Plastic & Cosmetic Pty Ltd,Cereplas,165460,"Prosthesis, internal, mammary, gel filled"
36787,18/03/2015,"Coseal surgical sealant, 8mL",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,181132,"Adhesive, soft tissue approximation"
36333,2/04/2015,CosyCot Infant Warmer,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,100660,"Warmer, radiant, infant, stationary"
36993,8/04/2015,Cosman G4 Generator,Life Healthcare Pty Ltd,Cosman Medical Inc,122101,Radio-frequency ablation system generator
33820,29/05/2015,Beeline infusion pump,Cosuda Pty Ltd,Zevex Inc,167182,"Infusion Pump, syringe"
40978,5/07/2016,"Coseal Surgical Sealant - Adhesive, soft tissue approximation",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,181132,"Adhesive, soft tissue approximation"
41978,22/08/2016,"Coseal Premix 8mL - Adhesive, soft tissue approximation",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,181132,"Adhesive, soft tissue approximation"
43458,30/05/2017,"Coseal surgical sealant, 8mL - Adhesive, soft tissue approximation",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,181132,"Adhesive, soft tissue approximation"
