Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27254,4/07/2012,Ventilator System,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
27134,13/08/2012,Ligasure Pistol Grip,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
27881,14/08/2012,Satin soft uncuffed ET tube - size 3.5and 4,Covidien Pty Ltd,Mallinckrodt Medical Imaging Ireland,121578,"Tube, tracheal, general-purpose, single-use"
28316,3/09/2012,COVIDIEN PREMIUM SURGICLIP,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,149288,"Applier, surgical, clip, haemostatic, single use"
28317,3/09/2012,COVIDIEN stapler with dst series technology,Medtronic Australasia Pty Ltd,Covidien llc,180134,"Applier, surgical, staple"
28587,17/09/2012,LIGASURE CURVED SMALL JAW SEALER,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
27882,2/10/2012,HANDSWITCH PENCIL DISPOSABLE,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
28921,18/10/2012,"Surgipro Mesh, Vicryl and Monocryl Mesh",Covidien Pty Ltd,Tyco Healthcare (UK) Manufacturing LTD,96213,"Prosthesis, incontinence"
28922,18/10/2012,Urethral Catheter 2 way 12FG,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
29007,30/10/2012,Green Aid Sterile Strips,Nova Pharmaceuticals Australasia Pty Ltd,Aid United Yangzhou Medical Devices Co Ltd,188904,"Adhesive strip, skin-cover"
29338,15/11/2012,Esophageal stent fully covered 18 x 100mm,Device Technologies Australia Pty Ltd,Sewoon Medical Co Ltd,167220,"Prosthesis, internal, stent, oesophageal"
29732,28/12/2012,Tycare - Closed Suction System,Medtronic Australasia Pty Ltd,Covidien llc,179242,"Catheter, suction, tracheobronchial"
30093,19/02/2013,Argyle Thoracic PVC Catheter,Medtronic Australasia Pty Ltd,Covidien llc,187243,"Drain, thoracic"
30137,22/02/2013,Feed Set with 1000 ml Flush Bag,Medtronic Australasia Pty Ltd,Covidien llc,183833,Enteral feeding kit
29731,28/02/2013,Edge Insulated Blade,Medtronic Australasia Pty Ltd,Covidien llc,178569,"Electrosurgical system electrode, active, general-purpose, single-use"
29390,28/02/2013,Ligasure Blunt Tip,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
29734,13/03/2013,Button Switch Pencil,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
24957,22/03/2013,DST EEA,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,140293,"Fixation device, internal, staple, tissue"
24931,22/03/2013,Endo GIA Next Generation Standard Handle,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,145095,"Applier, surgical staple, cutting"
,,Endo GIA Reload with Tri-Staple Technology,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,175126,"Fixation device, internal, staple, tissue"
30048,26/03/2013,LigaSure Advance Pistol Grip,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
30579,9/04/2013,Appose ULC,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,175195,"Fixation device, internal, staple, tissue"
26543,26/04/2013,Ligasure Blunt Tip,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
26659,26/04/2013,Ligasure Small Jaw,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
26140,29/04/2013,Argyle Silicone Catheters,Medtronic Australasia Pty Ltd,Covidien llc,184754,"Catheter, urological, intermittent"
26374,29/04/2013,ARTICULATING ENDO GIA 60 3.5,Medtronic Australasia Pty Ltd,Covidien llc,181429,"Fixation device, internal, staple, tissue"
30792,30/04/2013,ENDO GIA RELOAD 60MM,Medtronic Australasia Pty Ltd,Covidien llc,186247,"Fixation device, internal, staple, tissue"
26545,30/04/2013,Respiflow FS,Medtronic Australasia Pty Ltd,Covidien llc,187437,"Exerciser, respiratory"
