Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26116,17/08/2012,Fenwal Transfer Pack,Fresenius Kabi Australia Pty Ltd,Fenwal Inc,169160,Blood collection/cell-culture container
28778,27/09/2012,EmbryoGen IVF Media,Origio Australasia Pty Ltd,Origio A/S,161617,In vitro fertilization culture medium
29433,19/11/2012,Cryocyte Bag,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation Cellular Therapies Division,129892,Blood collection/cell-culture container
30078,15/02/2013,Embryogen,Origio Australasia Pty Ltd,Origio A/S,147384,In vitro fertilization culture medium
33622,8/04/2014,MicroVention,Culpan Medical Pty Ltd,MicroVention Inc,137933,"Prosthesis, internal, embolization, intravascular"
33624,8/04/2014,MicroVention,Culpan Medical Pty Ltd,MicroVention Inc,137934,"Prosthesis, internal, embolization, intravascular"
34583,4/07/2014,"EMBRYOGEN, IVF MEDIA",Origio Australasia Pty Ltd,Origio A/S,200621,In vitro fertilization culture medium
38925,13/06/2017,BacT/ALERT® PF Plus - Microbiological culture media IVDs,Biomerieux Australia Pty Ltd,bioMerieux Inc,194228,Microbiological culture media IVDs
43660,7/07/2017,"Argon Medical Devices - Marker, lesion localization, implantable",Culpan Medical Pty Ltd,Argon Medical Devices Inc,223911,"Marker, lesion localization, implantable"
43837,14/08/2017,Quinn's Advantage Medium with Hepes - In vitro fertilization culture medium,Gytech Pty Ltd,Sage In-Vitro Fertilization Inc - A Cooper Surgical Company,151263,In vitro fertilization culture medium
48056,22/09/2017,CryoMACS Freezing bag 250 (200-074-401) - Blood/tissue storage/culture container,Miltenyi Biotec Australia Pty Limited,Miltenyi Biotec GmbH,160150,Blood/tissue storage/culture container
48983,21/11/2017,"Scepter-C - Catheter, intravascular, occluding",Culpan Medical Pty Ltd,MicroVention Inc,194400,"Catheter, intravascular, occluding"
49139,11/12/2017,Microplex Coil System - Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137934,Neurovascular embolization coil
,,"Headway Microcatheter - Catheter, intravascular, guiding",Culpan Medical Pty Ltd,MicroVention Inc,162633,"Catheter, infusion"
,,Microplex Coil System - Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137934,"Prosthesis, internal, embolization, intravascular"
51630,16/05/2018,Microvention inc - Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137933,Neurovascular embolization coil
52881,27/08/2018,chromID® CARBA SMART Agar (CARB/OXA) - Microbiological culture media IVDs,Biomerieux Australia Pty Ltd,Biomerieux SA,182081,Microbiological culture media IVDs
53457,17/09/2018,"Scepter-XC - Catheter, intravascular, occluding",Culpan Medical Pty Ltd,MicroVention Inc,194400,"Catheter, intravascular, occluding"
53458,17/09/2018,"Scepter-XC - Catheter, intravascular, occluding",Culpan Medical Pty Ltd,MicroVention Inc,194400,"Catheter, intravascular, occluding"
53501,19/09/2018,Microvention inc - Scepter balloon catheter,Culpan Medical Pty Ltd,MicroVention Inc,194400,"Catheter, intravascular, occluding"
53500,26/09/2018,"Microvention inc - Catheter, intravascular, occluding",Culpan Medical Pty Ltd,MicroVention Inc,194400,"Catheter, intravascular, occluding"
54493,29/11/2018,MicroPlex HyperSoft Helical Coil - Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137934,Neurovascular embolization coil
54523,29/11/2018,MicroPlex HyperSoft Helical Coil - Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137934,Neurovascular embolization coil
55516,23/01/2019,"HS AMICA - Hyperthermia system, microwave",Culpan Medical Pty Ltd,HS Hospital Service SPA,212509,"Hyperthermia system, microwave"
55663,1/03/2019,MicroPlex HyperSoft Helical Coil - Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137933,Neurovascular embolization coil
51186,12/04/2019,Microvention inc Neurovascular embolization coil,Culpan Medical Pty Ltd,MicroVention Inc,137933,Neurovascular embolization coil
57767,5/06/2019,"Scepter-C Occlusion Balloon - Catheter, intravascular, occluding",Culpan Medical Pty Ltd,MicroVention Inc,194400,"Catheter, intravascular, occluding"
