Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27550,27/07/2012,Infuse Bone Graft with LT Cage,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,121164,"Graft kit, spinal fusion"
28905,10/10/2012,Nihon Kohden Defibrillator,Dancor Pty Ltd T/a Boab Medical Technologies,Nihon Kohden Corp,116745,"Defibrillator, semi-automated"
29476,9/01/2013,Medtronic Spinal Fixation Sytem,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,169514,"Fixation system, internal, spinal, bone screw"
29478,4/02/2013,Legacy,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,169514,"Fixation system, internal, spinal, bone screw"
29485,18/02/2013,Legacy cement,Medtronic Australasia Pty Ltd,Elmdown Srl Unipersonale,181918,"Cement, orthopaedic, bone"
,,Fenestrated screws,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,187126,"Fixation system, internal, spinal, bone screw"
32557,23/10/2013,Infuse Bone Graft,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,121164,"Graft kit, spinal fusion"
35915,4/03/2015,Sextant,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,113170,"Guide, (specify)"
37698,15/06/2015,Infuse Medtronic Bone Graft,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,121164,"Graft kit, spinal fusion"
38258,10/08/2015,INFUSE Bone Graft,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,121164,"Graft kit, spinal fusion"
38796,7/10/2015,Vari-slim Nerve Locator,Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,183307,"Stimulator, nerve locator"
42443,23/08/2016,"Dana Diabecare R Insulin Pump as part of a kit ""Any Dana Android"" together with glucometer and Android App.",Managing Diabetes Pty Ltd,SOOIL Development Co Ltd,252214,"Infusion pump, insulin, ambulatory"
47190,31/07/2017,Nova 1 Urostomy Convex,Liberty Medical Pty Ltd,Dansac AS,93198,"Bag, urostomy, one-piece"
56346,11/03/2019,"Longitude II Platform, Rod",Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,169514,"Fixation system, internal, spinal, bone screw"
57607,12/07/2019,"OLIF Instruments - Orthopaedic prosthesis implantation instrument, reusable",Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,164100,"Orthopaedic prosthesis implantation instrument, reusable"
54840,12/07/2019,"Pivox OLIF 2/5 Interbody Inserter Thread - Orthopaedic prosthesis implantation instrument, reusable",Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,164100,"Orthopaedic prosthesis implantation instrument, reusable"
,,"Prosthesis, internal, spine, cage, sterile - Prosthesis, internal, spine, cage",Medtronic Australasia Pty Ltd,Medtronic Sofamor Danek USA Inc,126313,Spinal cage
