Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27892,14/05/2013,Disposable Guedel Airway,Covidien Pty Ltd,Mallinckrodt Dar SRL,124174,"Airway, oropharyngeal, single use"
27394,30/05/2013,Rebismart Device,Merck Serono Australia Pty Ltd,Ares Trading SA an Affiliate of Merck KGaA Darmstadt Germany,168234,"Injector, medication/vaccine, needle"
36888,27/03/2015,Darco Modular Forefoot System plate and screws,Wright Medical Australia Pty Ltd,Biotech International,118786,"Fixation plate, fracture-healing, non-biodegradable."
41848,4/07/2016,Walker Equalizer Small walker boot,Ossur Australia - OA & Injury Solutions Pty Ltd,Darco International Inc,197169,"Orthosis, footwear, orthopaedic, shoe, ready-made"
45477,31/03/2017,Dario Blood Glucose Monitoring System,IBD Medical,LabStyle Innovations Ltd,227133,Clinical chemistry substrate IVDs
45968,10/05/2017,Dario Blood Glucose Monitoring System,IBD Medical,LabStyle Innovations Ltd,227133,Clinical chemistry substrate IVDs
58982,20/08/2019,Dario Blood Glucose Monitor - Instrument/analyser IVDs,IBD Medical,LabStyle Innovations Ltd,227134,Instrument/analyser IVDs
,,Clinical chemistry substrate IVDs,uHealth Australia Pty Ltd,LabStyle Innovations Ltd,227133,Clinical chemistry substrate IVDs
,,Software IVDs,uHealth Australia Pty Ltd,LabStyle Innovations Ltd,229859,Software IVDs
57961,2/10/2019,Dario Blood Glucose Monitor - Instrument/analyser IVDs,IBD Medical,LabStyle Innovations Ltd,227134,Instrument/analyser IVDs
,,Clinical chemistry substrate IVDs,uHealth Australia Pty Ltd,LabStyle Innovations Ltd,227133,Clinical chemistry substrate IVDs
,,Lancet tip,IBD Medical Trading Pty Ltd,Beijing Ruicheng Medical Supplies Co Ltd,297476,Lancet tip
,,Software IVDs,uHealth Australia Pty Ltd,LabStyle Innovations Ltd,229859,Software IVDs
