Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
25031,8/08/2012,Top Denture,Modern Dental Pacific Pty Ltd,Ivoclar Vivadent AG,188459,Dental ceramic
,,Dental ceramic,Pavona Pty Ltd,Ivoclar Vivadent AG,188459,Dental ceramic
29153,12/10/2012,Chair - dental,A-DEC Australia,ADEC Inc,118326,"Chair, examination/treatment, dental"
29016,23/11/2012,Siroclave S,Dentsply Sirona Pty Ltd,Sirona Dental Systems,197032,"Sterilizer, moist heat, wrapped goods"
29890,8/01/2013,Ultra Safety Plus XL Needles,Specialites Septodont Pty Ltd,Septodont,176049,"Needle, dental"
30872,13/05/2013,Dental chair - Dental unit A5 intern,Anthos In Australia,Cefla SC,165485,"Supply unit, dental"
30874,14/05/2013,Sirona,Dentsply Sirona Pty Ltd,Sirona Dental Systems,124263,"Scaler system, periodontic, ultrasonic"
31027,31/05/2013,Maxcem Elite Dental Cement,Kerr Australia Pty Ltd,Kerr Corporation,114854,"Cement, dental, polymer based"
31028,31/05/2013,Maxcem Elite Dental Cement,Kerr Australia Pty Ltd,Kerr Corporation,114854,"Cement, dental, polymer based"
31029,31/05/2013,Maxcem Elite Dental Cement,Kerr Australia Pty Ltd,Kerr Corporation,114854,"Cement, dental, polymer based"
25321,17/09/2013,Endopore,Sybron Implant Solutions Pty Ltd,Sybron Implant Solutions,176610,"Dental implant, endosseous"
32665,22/11/2013,KaVo Estetica E70 Treatment Unit,Henry Schein Halas,Kaltenbach & Voigt GmbH,157719,"Supply unit, dental"
,,Handpiece attached to the dental unit,-,N/K,,-
33569,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33570,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33571,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
34058,9/05/2014,Maxcem Elite,Kerr Australia Pty Ltd,Kerr Corporation,114854,"Cement, dental, polymer based"
29031,27/05/2014,Endopore dental implant,Sybron Implant Solutions Pty Ltd,Sybron Implant Solutions,176610,"Dental implant, endosseous"
29030,27/05/2014,Pitt Easy dental implant,Sybron Implant Solutions Pty Ltd,Sybron Implant Solutions,176610,"Dental implant, endosseous"
29454,29/05/2014,Endopore dental implant,Sybron Implant Solutions Pty Ltd,Sybron Implant Solutions,176610,"Dental implant, endosseous"
34808,28/07/2014,Dental drill handpiece,NSK Oceania Pty Ltd,Nakanishi Inc,133780,"Drill, dental, electrically powered handpiece"
34567,2/09/2014,3M ESPE Elipar LED Curing Light,3M Australia Pty Ltd,3M Deutschland GmbH,221954,"Light, dental, polymerization activator"
36294,12/01/2015,Wound drain 10FG,Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
37163,27/04/2015,Sun 85 Dental Chair,Medical Equipment Australia Pty Ltd,Guangzhou Sunlight Medical Equipment Co Ltd,246673,"Supply unit, dental"
37426,20/05/2015,Bellovac FG14 Wound drainage kit,Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
37992,16/07/2015,Er-YAG Hoya ConBio Delight dental laser,Protec Australia Pty Ltd T/A Laser & Digital Australasia,Hoya Photonics Inc DBA Hoya Conbio,99787,"Laser, erbium:YAG"
38962,16/10/2015,"Bellovac Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
40195,22/02/2016,Dentsply AutoMatrix Shielded side cutting pliers,Dentsply Sirona Pty Ltd,Dentsply Caulk,115262,"Pliers, orthodontic"
37448,1/03/2016,"Cochlear Limited - Drill, dental, remotely driven handpiece",Cochlear Ltd,W & H Dentalwerk Burmoos GmbH,131149,"Drill, dental, remotely driven handpiece"
41509,7/06/2016,3M Filtek Supreme XTE,3M Australia Pty Ltd,3M Espe Dental Products,142655,"Dental material, filling/restorative, polymer based"
42569,31/08/2016,Dental implant Cortex Saturn 4.2 mm by 13mm,Mediworld Pty Ltd,Cortex Dental Implants Industries Ltd,179885,"Dental implant, endosseous"
43144,12/10/2016,DURR DUERR DENTAL GMBH + CO. * - Dental Film Processor,Ivoclar Vivadent Pty Ltd,Durr Dental AG,121051,"Radiographic film processor, automatic, (specify)"
43419,28/10/2016,Talladium Dental Post,Angelot Pty Ltd T/A Ray Purt Dental,Talladium Inc,114376,"Dental alloy, casting, noble"
40686,26/01/2017,"Mouth Retractor - Retractor, dental",Discus Dental Australia Pty Ltd,Discus Dental LLC,121400,"Retractor, dental"
,,Zoom Teeth Whitening Kits - Teeth whitening kit,Discus Dental Australia Pty Ltd,Discus Dental LLC,231672,Teeth whitening kit
45005,27/02/2017,Nakanishi inc - phatelus machlite - dental handpieces,NSK Oceania Pty Ltd,Nakanishi Inc,133780,"Drill, dental, electrically powered handpiece"
44161,14/03/2017,"12249 Clinpro White Varnish, 50 Pack",3M Australia Pty Ltd,3M Espe Dental Products,207518,"Cavity varnish solution, dental"
45166,31/03/2017,Septoject XL Needle Dental,Specialites Septodont Pty Ltd,Septodont,176049,"Needle, dental"
44165,12/04/2017,12249 Clinpro White Varnish W/Tcp 50/Pk,3M Australia Pty Ltd,3M Espe Dental Products,207518,"Cavity varnish solution, dental"
44815,20/04/2017,"MI Varnish - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,234717,"Dental material, desensitizing resin"
45977,9/05/2017,"Digital MDM, Matrx by Parker, Dental anaesthesia system",Air Liquide Healthcare Pty Ltd,Parker Hannifin Corporation Porter Instrument Division,226389,Dental anaesthesia system
44167,12/05/2017,12249 Clinpro White Varnish W/Tcp 100/Pk,3M Australia Pty Ltd,3M Espe Dental Products,207518,"Cavity varnish solution, dental"
46767,30/06/2017,Bellovac drainage set,Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
47055,20/07/2017,Bellovac drain,Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
41528,25/07/2017,"Sirona Dac Universal - Sterilizer, moist heat, wrapped goods",Dentsply Sirona Pty Ltd,Dentsply Sirona Pty Ltd,197032,"Sterilizer, moist heat, wrapped goods"
47464,17/08/2017,"WIPE, CLEANING-DISINFECTING, FLAT PACK, 80 WIPES",Ainsworth Dental Company Pty Ltd,Safapac Ltd,250032,"Disinfectant, hospital grade"
46908,1/09/2017,"Bellovac drain - Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
46786,12/09/2017,"Bellovac - Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
46789,14/09/2017,"Bellovac - Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
47281,14/09/2017,"Bellovac - Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
45449,12/10/2017,Osstem Implant Co. Ltd - Osstem TS System CA Fixture,Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
45544,12/10/2017,"Osstem Implant Co.,Ltd - Osstem TS System CA Fixture",Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
45547,12/10/2017,"Osstem Implant Co.,Ltd - Osstem TS System CA Fixture - Screw endosteal dental implant, two-piece",Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
45546,12/10/2017,"Osstem Implant Co.,Ltd - Osstem TS System SA Fixture - Screw endosteal dental implant, two-piece",Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
47744,24/10/2017,"MI Varnish - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,234717,"Dental material, desensitizing resin"
48103,31/10/2017,"GC Tooth Mousse Plus - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,271415,"Dental material, desensitizing resin"
48808,23/11/2017,"Bellovac - Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
48809,23/11/2017,"Bellovac set FG14 - Drainage kit, wound",Dentsply Sirona Pty Ltd,Wellspect HealthCare,204673,"Drainage kit, wound"
50834,27/03/2018,"Ledermix Paste Dressing, dental, periodontal",Aspen Pharma Pty Ltd,Haupt Pharma Wolfratshausen GmbH,160211,"Dressing, dental, periodontal"
51126,11/04/2018,"Ledermix cement and hardener - Cement, dental, zinc oxide eugenol",Aspen Pharma Pty Ltd,Haupt Pharma Wolfratshausen GmbH,161858,"Cement, dental, zinc oxide eugenol"
50949,27/04/2018,"GC Fuji VII EP White - Cement, dental, glass ionomer",GC Australasia Dental Pty Ltd,GC Europe NV,234689,"Cement, dental, glass ionomer"
52649,18/07/2018,"Dentavision ACE RA Burs - RA Steel Slow Speed Burs - Bur, dental, steel",Dentavision Pty Ltd,Prima Dental Manufacturing T/a Prima Dental Group SS White Group SS White Manufacturing and AD Burs,98472,"Bur, dental, steel"
53254,30/08/2018,"Dentistry Crown For Tooth - Crown/bridge, temporary, polymer based",Dentsply Sirona Pty Ltd,Vita Zahnfabrik H Rauter GmbH & Co K,290735,"Crown/bridge, temporary, polymer based"
53731,3/10/2018,"NSK SurgiPro SG70M - Drill, dental, electrically powered handpiece",NSK Oceania Pty Ltd,Nakanishi Inc,308613,"Drill, dental, electrically powered handpiece"
53615,7/01/2019,"Tungsten Carbide Bur KOMET #H141-050 Bone Cutter HP x 1 - Bur, dental, carbide",Henry Schein Halas,Gebr Brasseler GmbH & Co KG,118116,"Bur, dental, carbide"
49533,7/02/2019,SwishPlus - Swish Tapered Implant 4.1mmD x 12 mmL SBM Dual Blast: 4.8mm D Platform,Implant Direct Oceania Pty Ltd,Implant Direct Sybron Manufacturing LLC,238870,Dental implant system
56799,6/04/2019,Clear Correct Clear Dental Aligners,Osseo Dental,ClearCorrect,308117,Orthodontic appliance system
52554,24/04/2019,"S-12 - Surgical handpiece for dentistry - Drill, dental, remotely driven handpiece",A-DEC Australia,W & H Dentalwerk Burmoos GmbH,97374,"Drill, dental, remotely driven handpiece"
,,Elcomed,-,W&H,,-
54685,29/04/2019,GC Fuji Varnish - Dental restorative material varnish,GC Australasia Dental Pty Ltd,GC Europe NV,260537,Dental restorative material varnish
56474,17/05/2019,"GC Tooth Mousse - Dental coating, tooth desensitizing",GC Australasia Dental Pty Ltd,GC Europe NV,271415,"Dental coating, tooth desensitizing"
57852,11/06/2019,3M ESPE Lava Ultimate CAD/CAM Restorative,3M Australia Pty Ltd,3M Espe Dental Products,191737,"Dental material, filling/restorative, polymer based"
57857,11/06/2019,"Kuraray Majesty Esthetic PLT Shade B1 - Dental material kit, composite restorative",Henry Schein Halas,Kuraray Noritake Dental Inc,151060,"Dental material kit, composite restorative"
,,"Dental bonding agent, polymer based",Kerr Australia Pty Ltd,Kerr Corporation,117418,"Dental bonding agent, polymer based"
,,Dental etching composite,Dentavision Pty Ltd,Pulpdent Corporation,99101,Dental etching composite
57560,17/06/2019,Flairesse Prophylaxis gel - Dentifrice,Henry Schein Halas,Dmg Chemisch-Pharmazeutische Fabrik GmbH,242497,Dentifrice
58448,17/07/2019,"Diatech - Bur, dental, diamond",Dentavision Pty Ltd,Coltene/Whaledent AG,97323,"Bur, dental, diamond"
58545,23/07/2019,"ClearPath - Dental Aligners - Orthodontic appliance system, progressive",ClearPath Orthocare Australia Pty Ltd,ClearPath Orthodontics Pvt Ltd,197363,"Orthodontic appliance system, progressive"
58785,1/08/2019,Oventus dental device - Mandible-repositioning antisnoring orthosis,Oventus Pty Ltd,Oventus Pty Ltd,230890,Mandible-repositioning antisnoring orthosis
59049,22/08/2019,"Nobel Biocare - Dental implant, fully imbedded",Nobel Biocare Australia Pty Ltd,Nobel Biocare AB,97386,"Dental implant, fully imbedded"
57427,22/08/2019,"Zimmer Biomet T3 TM Non-Platform Switch Tapered Implant 5X11.5MM - Screw endosteal dental implant, two-piece",Biomet 3i Australia Pty Ltd,Biomet 3i LLC T/a Implant Innovations,100482,"Screw endosteal dental implant, two-piece"
55247,30/08/2019,"Incus/Kaiser - Syringe, dental, irrigating",Life Healthcare Pty Ltd,Incus Surgical Ltd,111391,"Syringe, dental, irrigating"
58575,11/09/2019,"GC Tooth Mousse - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,271415,"Dental material, desensitizing resin"
59567,20/09/2019,CSDS Caries Status Disclosing Solution - Dental caries detecting stain,RM Creighton Dental Pty Ltd,Medical Manufacturers Pty Ltd,230364,Dental caries detecting stain
58634,24/10/2019,"Tungsten Carbide Bur KOMET #H33LSOS-320-016 HP - Bur, dental, carbide",Henry Schein Halas,Gebr Brasseler GmbH & Co KG,118116,"Bur, dental, carbide"
