Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29259,13/11/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
29261,13/11/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
29262,13/11/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
29351,20/11/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
29352,20/11/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
29363,21/11/2012,Bone Screws - 2.7mm Self-tapping Cortex Screw,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,134456,"Fixation device, internal, screw"
26491,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26493,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26494,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26495,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26496,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26497,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26947,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
26948,21/12/2012,Active Knee,ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
30603,12/04/2013,Hoya Intraocular lens,Designs for Vision Aust Pty Ltd,Hoya Corporation,117417,"Lens, intraocular, posterior chamber"
32077,16/09/2013,"Active Knees, Button (Patella), T.K.R.",ST Orthopaedics Limited,Advanced Surgical Design & Manufacture Limited,133900,"Prosthesis, internal, joint, knee, total"
31868,2/10/2013,GE HEALTHCARE S/5 Aisys Anesthesia Machine,GE Healthcare Australia Pty Ltd,Datex-Ohmeda,93955,Anaesthesia system
,,"Aladin Cassette-, Vaporizer, anaesthesia, desflurane",GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,140207,"Vaporizer, anaesthesia, desflurane"
33601,11/03/2014,disposable laproscopic bipolar forceps,Device Technologies Australia Pty Ltd,Advanced Medical Design International LLC,153303,"Endotherapy electrosurgical diathermy system electrode, single-use"
34934,13/08/2014,Gellansert temporary canalicular plugs,Designs for Vision Aust Pty Ltd,Medennium Inc,120150,"Plug, lacrimal, punctum"
36378,23/01/2015,"Hot Dog Heating Unit, pad",Robert Forbes & Associates Pty Ltd,Augustine Biomedical & Design LLC,198956,"Heating unit, pad, electric, system"
39156,31/12/2015,"SYNERGY™ Drug-eluting coronary artery stent, biode",Boston Scientific Pty Ltd,Boston Scientific Corporation,220361,"Drug-eluting coronary artery stent, biodegradable-"
,,Synergy II DES,Boston Scientific Pty Ltd,Boston Scientific Corporation,220361,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
39400,12/04/2016,EuroSilicone - Round Collection - Soft Cohesive Design- Microtextured Shell - Extra high Profile - 100% Fill,Euro Implants Pty Ltd,Eurosilicone SAS,132037,"Prosthesis, internal, mammary, gel filled"
41730,22/06/2016,Coolsense,Balance Medical Pty Ltd,MD Medical Clinic Ltd,213960,Injection site desensitizer
41733,23/06/2016,Coolsense Pain Numbing Applicator,Balance Medical Pty Ltd,MD Medical Clinic Ltd,213960,Injection site desensitizer
44187,21/12/2016,"Duraplug Plug, lacrimal, punctum",Designs for Vision Aust Pty Ltd,Eagle Vision Inc,108398,"Plug, lacrimal, punctum"
44815,20/04/2017,"MI Varnish - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,234717,"Dental material, desensitizing resin"
37571,22/07/2017,DGH Pachmate - Pachometer,Designs for Vision Aust Pty Ltd,DGH Technology Inc,148031,Pachometer
47744,24/10/2017,"MI Varnish - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,234717,"Dental material, desensitizing resin"
48103,31/10/2017,"GC Tooth Mousse Plus - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,271415,"Dental material, desensitizing resin"
53133,23/08/2018,"HotDog Patient Warming Mattress used with Hot Dog WC52 Warming System - Heating unit, pad, electric, system",Robert Forbes & Associates Pty Ltd,Augustine Biomedical & Design LLC,198956,"Heating unit, pad, electric, system"
54716,16/12/2018,GORE TAG Conformable Thoracic Stent Graft with ACTIVE CONTROL System - Descending thoracic aorta endovascular stent-graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
,,GORE® TAG® Conformable Thoracic Stent Graft with ACTIVE CONTROL System,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
56409,3/04/2019,Conformable GORE® TAG® Thoracic Endoprosthesis-Descending thoracic aorta endovascular stent - graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
56283,13/04/2019,GORE TAG Conformable Thoracic Stent Graft with ACTIVE CONTROL System- Descending thoracic aorta endovascular stent-graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
56410,19/04/2019,Conformable GORE TAG Thoracic Endoprosthesis-Descending thoracic aorta endovascular stent - graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,Descending thoracic aorta endovascular stent-graft
,,GORE TAG Conformable Thoracic Stent Graft with ACTIVE CONTROL System - Descending thoracic aorta endovascular stent-graft,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157814,"Prosthesis, internal, stent, vascular"
56262,16/05/2019,"Eurosilicone, Round collection, Soft Cohesive Design, Smooth Shell, Medium Profile -100% Fill - Prosthesis, internal, mammary, gel filled",Euro Implants Pty Ltd,Eurosilicone SAS,132036,"Prosthesis, internal, mammary, gel filled"
56474,17/05/2019,"GC Tooth Mousse - Dental coating, tooth desensitizing",GC Australasia Dental Pty Ltd,GC Europe NV,271415,"Dental coating, tooth desensitizing"
57515,22/05/2019,CoolSense topical anaesthetic device - Injection site desensitizer,Balance Medical Pty Ltd,MD Medical Clinic Ltd,213960,Injection site desensitizer
58882,13/08/2019,Designs for vision - Intraocular lens,Designs for Vision Aust Pty Ltd,Hoya Corporation,117417,"Lens, intraocular, posterior chamber"
58575,11/09/2019,"GC Tooth Mousse - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,271415,"Dental material, desensitizing resin"
59262,1/10/2019,DORC EVA - Cataract extraction/vitrectomy system,Designs for Vision Aust Pty Ltd,DORC International B.V,219136,Cataract extraction/vitrectomy system
59919,11/10/2019,Blink 'flap lifter',Designs for Vision Aust Pty Ltd,Blink Medical Ltd,306878,"Surgical procedure kit, ophthalmic, non-medicated, single-use"
59057,4/11/2019,"XIENCE SIERRA DES 2.50X15 RX CE - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,313811,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
60126,18/12/2019,"XIENCE SIERRA DES 2.00X18 RX CE - Drug-eluting coronary artery stent, non-biodegradable-polymer-coated",Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,313811,"Drug-eluting coronary artery stent, non-biodegradable-polymer-coated"
56954,6/04/2020,"Topbound Maryland Bipolar Forceps - Laparoscopic electrosurgical forceps, bipolar",Life Healthcare Pty Ltd,Advanced Medical Design International LLC,217081,"Laparoscopic electrosurgical forceps, bipolar"
