Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26781,17/07/2012,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
,,Speed Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
26784,17/07/2012,Speed Stitch Suturing Device,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
,,Speed Stitch Needle Cassette,Smith & Nephew Surgical Pty Ltd,Arthrocare Corporation,175186,Suture/needle passer
27402,18/07/2012,Blade laryngoscope macintosh size 4 LED single use,Proact Medical Systems (Australia) Pty Ltd,Vision Medical Devices India Pvt Ltd,122907,"Laryngoscope, intubation"
27508,18/07/2012,Guide Wire,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139721,"Fixation device, internal, wire"
,,"Fixation device, internal, screw",Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
27530,27/07/2012,Sharps Container,Chelsea Medical Pty Ltd,Zhejiang Vitalcare Medical Devices Co Ltd,200654,"Waste disposal unit, container, sharp"
27675,2/08/2012,Pipeline Embolization Device (PEP),Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
27437,15/08/2012,PROXIMATE RL LINEAR STAPLER,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132167,"Fixation device, internal, staple, tissue"
27529,17/08/2012,Gamma Revision Nail,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
28017,17/08/2012,"T2 Locking Screw, Fully Threaded",Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
28152,24/08/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
28235,28/08/2012,6F Angio-Seal Vascular Closure Device VIP,Terumo Australia Pty Ltd,St Jude Medical,128525,"Sponge, haemostatic, absorbable"
28238,29/08/2012,Wave Pump III - Fluid Pump,Device Technologies Australia Pty Ltd,Arthrex Inc,140707,"Distension unit, fluid, arthroscopic"
27535,12/09/2012,T2 Recon Nail Right 011MM x 400MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
