Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
34154,19/02/2015,DJO Surgical (DJO Global),DJO Global Pty Ltd,Encore Medical LP,161910,"Prosthesis, internal, joint, shoulder, total"
50653,22/05/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
50654,22/05/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
50596,25/06/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,Mobile-bearing total ankle prosthesis,Stryker Australia Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
50663,25/06/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,Mobile-bearing total ankle prosthesis,Stryker Australia Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
50667,25/06/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,Mobile-bearing total ankle prosthesis,Stryker Australia Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
50753,25/06/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,Mobile-bearing total ankle prosthesis,Stryker Australia Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,STAR ankle - Sliding Core,-,Stryker GmbH,,-
50754,25/06/2018,STAR ankle - Mobile-bearing total ankle prosthesis,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,Mobile-bearing total ankle prosthesis,Stryker Australia Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
50595,25/06/2018,STAR ankle - Tibial component,DJO Global Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
,,Mobile-bearing total ankle prosthesis,Stryker Australia Pty Ltd,Stryker GmbH,237795,Mobile-bearing total ankle prosthesis
57369,10/05/2019,Aircast VenaPure Anti Embolsih Stocking Medium Knee,DJO Global Pty Ltd,DJO LLC,182313,"Stocking, (specify)"
58375,12/07/2019,Aircast - VenaPure Anti Embolism Stockings - Active-support bandage,DJO Global Pty Ltd,DJO LLC,227593,Active-support bandage
57056,2/08/2019,"PIP Silicone implant size 50 - Proximal interphalangeal joint prosthesis, one-piece",DJO Global Pty Ltd,Stryker GmbH,237800,"Proximal interphalangeal joint prosthesis, one-piece"
