Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27736,5/08/2012,Pulmonary Artery Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160615,"Catheter, cardiac, balloon, pulmonary artery"
28306,31/08/2012,TF3646O-Thin Flex Dual Stage Venous Drainage Cannula,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,182853,"Cannula, venous"
28470,11/09/2012,Carpentier-Edwards Perimount Aortic Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
29035,3/12/2012,Carpentier-Edwards Perimount Mitral Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154073,"Graft, cardiac valve"
29115,21/12/2012,Carpentier-Edwards Perimount Aortic Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
29067,9/01/2013,Catheter Introducing Sheath,Teleflex Medical Australia Pty Ltd,Arrow International Inc,159330,Catheter introducing sheath
,,Swan-Ganz PA Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160613,"Catheter, cardiac, balloon, pulmonary artery"
29116,29/01/2013,Carpentier-Edwards Perimount Aortic Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
30194,28/02/2013,Transcatheter Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
29624,21/03/2013,Carpentier-Edwards Perimount Plus Mitral Prosthetic Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154073,"Graft, cardiac valve"
29621,21/03/2013,Cosgrove-Edwards Annuloplasty System,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,158660,"Prosthesis, internal, annuloplasty, ring"
29956,19/04/2013,Carpentier-Edwards Perimount Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
29955,6/05/2013,Carpentier Edwards Perimount Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
30409,5/06/2013,Carpentier-Edwards Perimount Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
30410,5/06/2013,Carpentier-Edwards Perimount Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
30876,9/07/2013,Carpentier Edwards Perimount Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
28161,10/10/2013,Edwards Carpentier Edwards Perimount Plus Mitral Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154073,"Graft, cardiac valve"
31260,20/12/2013,Edwards Magna Ease Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,156355,"Graft, cardiac valve"
31457,20/12/2013,Edwards Magna Ease Aortic Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,156355,"Graft, cardiac valve"
35047,27/08/2014,"Intro-Flex, Swan Ganz Introducer kit",Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,146688,Catheter introducing sheath
37892,6/07/2015,Intro-Flex,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160605,Catheter introducing sheath
38485,1/09/2015,Edwards PERIMOUNT Magna Ease Aortic Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,156355,"Graft, cardiac valve"
38759,29/10/2015,Edwards SAPIEN XT Aortic transcatheter heart valve bioprosthesis,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,250696,"Aortic transcatheter heart valve bioprosthesis, st"
40331,4/03/2016,Swan Ganz Catheter Sheath from Intro Flex Kit,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,146688,Catheter introducing sheath
41148,10/05/2016,LASS VAMP Plus (Pressure Monitoring Set/ Blood M,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,142640,Arterial blood sampling kit
41009,11/05/2016,LASS VAMP Plus (Pressure Monitoring Set/ Blood M,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,142521,"Transducer, pressure, single use"
40589,20/05/2016,Swan-Ganz® VIP+™ Tri-Lumen Thermodilution Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160630,"Catheter, cardiac, balloon, pulmonary artery"
