Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27224,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27223,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
26081,4/07/2012,Thermocool Ablation catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178844,"Catheter, cardiac, electrophysiological mapping"
,,Bidirectional CS Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,162172,"Catheter, cardiac, electrophysiological mapping"
27339,13/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Octrode Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
26484,16/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27383,17/07/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27406,18/07/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Eon Mini IPG Model 3788,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Holder, cable/lead",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27408,18/07/2012,Voyager NC Coronary Dilatation Catheter,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,160365,"Catheter, angioplasty, balloon dilatation"
,,NC Quantum Apex Dilatation Catheter,-,Boston Scientific Corporation,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
,,TREK Inflation Device,-,Abbott Vascular,,-
,,Whisper guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,198622,Catheter guide wire
27416,19/07/2012,Xience Prime Everolimus Eluting Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular Inc,167859,"Coronary artery stent, drug-eluting"
,,Balance MiddleWeight Guide wire,-,Abbott Vascular,,-
,,Promus Element stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27425,20/07/2012,ConMed Goldvac,ConMed Linvatec Australia Pty Ltd,ConMed Corporation,160999,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27420,20/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Model 3183,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27429,20/07/2012,"Eon Rechargeable IPG, 16-Channel",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
27071,24/07/2012,PROMUS Element Everolimus-Eluting Coronary Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27879,24/07/2012,Sonata i 100,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,145733,"Stimulator, electrical, auditory, cochlea"
27534,25/07/2012,Quattrode Electrode/Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131946,"Electrode/lead, stimulator, implantable, neurological"
27523,27/07/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27156,27/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27635,30/07/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
27569,30/07/2012,Hospital Choice,Compton Fellers Pty Ltd T/A Medichoice,Zhejiang Shuyou Surgical Instrument Co Ltd,182233,"Electrosurgical system electrode, active, general-purpose, single-use"
27605,30/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
26696,1/08/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27679,2/08/2012,Electro Surgical Pencil,Big Green Surgical Company Pty Ltd,Cimpax,196690,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27719,3/08/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27863,7/08/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
27780,8/08/2012,Digital Accelerator,Elekta Pty Ltd,Elekta Limited,111760,"Accelerator system, linear"
27035,8/08/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27814,8/08/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
27897,10/08/2012,ACUITY Steerable LVA Dual Electrode IS-1 Passive 80cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,126935,"Lead, defibrillator/pacemaker, implantable"
27910,13/08/2012,IntelliVue Multi Measurement Server X2,Philips Electronics Australia Ltd,Philips Medizinsysteme Boblingen,94238,"Patient monitor, multiparameter"
27134,13/08/2012,Ligasure Pistol Grip,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
27915,13/08/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Eon Mini IPG Model 3788,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Swift-Lock Anchor, Model 1192",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
26710,13/08/2012,Philips Information Center,Philips Electronics Australia Ltd,Philips Medical Systems,94237,"Patient monitor, central unit"
27947,15/08/2012,PROMUS Element Everolimus-Eluting Coronary Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
27731,23/08/2012,Octrode Percutaneous Lead,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,"Cinch Anchor, Model 1194",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,"Eon 16-Channel IPG, Model 3716 including 3701 (Charger)",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
26822,27/08/2012,EZ STEER THERMOCOOL NAVIGATION CATHETER,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
26130,27/08/2012,EZ STEER THERMOCOOL NAVIGATION CATHETER,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
,,Carto 3,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
28213,27/08/2012,LASSO 7F 10 POLE 20MM,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,145997,"Catheter, cardiac, electrophysiological mapping"
28210,27/08/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Lamitrode S8,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126002,Neural-tissue electrical stimulation lead
,,Renew Receiver,-,Advanced Neuromodulation Systems Inc,131836,-
26825,27/08/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
27493,27/08/2012,VNS Lead,LivaNova Australia Pty Ltd,Cyberonics Inc,131047,"Electrode/lead, stimulator, implantable, neurological"
26943,28/08/2012,Component Monitoring System,Philips Electronics Australia Ltd,Philips Medizinsysteme Boblingen,94238,"Patient monitor, multiparameter"
28200,28/08/2012,HeartStart XL+ Defibrillator/Monitor,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
25936,28/08/2012,Thermocool Smarttouch Bi Nav TC D-F C3,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
28216,29/08/2012,Nucleus 24,Cochlear Ltd,Cochlear Ltd,139306,"Stimulator, electrical, auditory, cochlea"
28349,31/08/2012,Octrode Trial Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131947,"Electrode/lead, stimulator, implantable, neurological"
26904,3/09/2012,IntelliVue Information Station,Philips Electronics Australia Ltd,Philips Medical Systems,94237,"Patient monitor, central unit"
28369,5/09/2012,ACUITY Steerable LVA Dual Electrode IS-1 Passive 80cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,126935,"Lead, defibrillator/pacemaker, implantable"
28702,7/09/2012,Defibrillator Battery,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
28422,7/09/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
28437,10/09/2012,Caesarea Medical Electronics - CME T34L Syringe Pump,REM Systems Pty Ltd,Caesarea Medical Electronics Limited,119623,"Infusion pump, general-purpose"
28467,10/09/2012,Lamitrode S8,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126002,"Electrode/lead, stimulator, implantable, neurological"
28505,11/09/2012,Contact Therapy Cool Path Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,170607,"Catheter, cardiac, electrophysiological mapping"
,,EP WorkMate System,St Jude Medical Australia Pty Ltd,St Jude Medical Inc,160471,Single-patient physiologic monitoring system
28301,12/09/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,"Anchor, Model: 1194",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,"Single Extension, Model: 3383",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,Neural-tissue electrical stimulation lead
28300,13/09/2012,Lead Neurological,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,170450,"Electrode/lead, stimulator, implantable, neurological"
28524,13/09/2012,Niki T34L Medical Syringe Driver,REM Systems Pty Ltd,Caesarea Medical Electronics Limited,119623,"Infusion pump, general-purpose"
28641,14/09/2012,Achieva 1.5T New,Philips Electronics Australia Ltd,Philips Medical Systems Nederland BV Business Unit Magnetic Resonance - Site Best,98887,"MRI system, full-body, superconducting magnet"
28134,14/09/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
28587,17/09/2012,LIGASURE CURVED SMALL JAW SEALER,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
28640,17/09/2012,Octrode Trial Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131947,"Electrode/lead, stimulator, implantable, neurological"
28634,17/09/2012,Octrode Trial Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131947,"Electrode/lead, stimulator, implantable, neurological"
28299,19/09/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Swift-Lock Anchor,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
28679,20/09/2012,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Eon Mini IPG, 16-Channel Rechargeable",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
28029,24/09/2012,Harmonic Generator,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,125258,"Electrosurgical unit, ultrasonic/mechanical vibration"
28721,24/09/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
28110,25/09/2012,Enseal Tissue Sealer,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,165469,"Electrosurgical system, general-purpose"
27941,26/09/2012,Enseal Tissue Sealer,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,165469,"Electrosurgical system, general-purpose"
28728,26/09/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Anchor,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
28413,26/09/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27978,26/09/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
28508,26/09/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Genesis RC Neurostimulation System,-,Advanced Neuromodulation Systems Inc,121880,-
,,Octrode lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
29228,27/09/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
28767,27/09/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Anchor,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,Eon C IPG Model 3688,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,158502,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
28827,1/10/2012,"Eon Rechargeable IPG, 16-Channel",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
28828,1/10/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
27882,2/10/2012,HANDSWITCH PENCIL DISPOSABLE,Medtronic Australasia Pty Ltd,Covidien llc,178655,"Electrode, electrosurgical, active, hand-controlled, single use"
27735,2/10/2012,Physio Control Electrode,Stryker Australia Pty Ltd,Physio-Control Inc,137061,"Defibrillator, manual"
,,LIFEPAK(R) 15 Monitor/Defibrillator,Stryker Australia Pty Ltd,Physio-Control Inc,124228,Rechargeable public semi-automated external defibrillator
27409,3/10/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27759,3/10/2012,PROMUS Element Everolimus-Eluting Coronary Stent System,Boston Scientific Pty Ltd,Boston Scientific Corporation,168769,"Coronary artery stent, drug-eluting"
28854,9/10/2012,"Eon Rechargeable IPG, 16-Channel",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,127126,"Stimulator, electrical, analgesic, spinal cord"
,,Lamitrode Tripole 16C Model 3214,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,155013,Neural-tissue electrical stimulation lead
28436,9/10/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
24948,10/10/2012,Freedom Hybrid L24,Cochlear Ltd,Cochlear Ltd,158207,"Stimulator, electrical, auditory, cochlea"
28376,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
27351,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
27790,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
28229,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
28232,10/10/2012,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,117046,"Stimulator, electrical, auditory, cochlea"
26528,10/10/2012,Nucleus 24 Contour Advance,Cochlear Ltd,Cochlear Ltd,117025,"Stimulator, electrical, auditory, cochlea"
28379,10/10/2012,Nucleus CI512,Cochlear Ltd,Cochlear Ltd,165361,"Stimulator, electrical, auditory, cochlea"
