Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27567,13/09/2012,Emerald AR Unfolder for the Tecnos 1 -piece,AMO Australia Pty Ltd,Abbott Medical Optics Inc,145631,Intraocular lens inserter
29893,21/01/2013,Pruitt F 3 Carotid shunt with T-port (outlying),Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Le Maitre Vascular Inc,180818,"Shunt, carotid artery"
29657,25/01/2013,IPG Kit,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Nevro Corporation,186043,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Kit,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Nervo Corporation,185992,"Electrode/lead, stimulator, implantable, neurological"
31248,17/09/2013,OptiSeal Valved PTFE Peelable Introducer,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Greatbatch Medical,168140,Catheter introducing sheath
,,"Attain Ability Plus Model 4296 - Lead, defibrillator/pacemaker, implantable",Medtronic Australasia Pty Ltd,Medtronic Inc,178071,"Lead, defibrillator/pacemaker, implantable"
,,"CapsureFix Novus Model 4076 - Lead, pacemaker, implantable, endocardial",Medtronic Australasia Pty Ltd,Medtronic Inc,159822,"Lead, pacemaker, implantable, endocardial"
,,"Consulta CRT-P C3TR01 - Pacemaker, cardiac, implantable",Medtronic Australasia Pty Ltd,Medtronic Inc,174342,"Pacemaker, cardiac, implantable"
32465,2/11/2013,Everest Set Screw,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,193653,"Fixation system, internal,fracture, non-biodegradable"
,,"Everest Pedicle screw, 6.5mm x 45mm, Fixation system, internal,fracture, non-biodegradable",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,193653,"Fixation system, internal,fracture, non-biodegradable"
32476,4/11/2013,Everest Set Screw,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,193653,"Fixation system, internal,fracture, non-biodegradable"
,,"Everest Pedicle screw, 6.5mm x 45mm, Fixation system, internal,fracture, non-biodegradable",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,193653,"Fixation system, internal,fracture, non-biodegradable"
,,"Everest Pedicle screw, 7.5mm x 35mm, Fixation system, internal,fracture, non-biodegradable",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,193653,"Fixation system, internal,fracture, non-biodegradable"
33176,28/01/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
33175,28/01/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
33177,28/01/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
33083,7/02/2014,Senza IPG,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Nevro Corporation,186043,"Stimulator, electrical, analgesic, spinal cord"
,,"Lead Kit - Electrode/lead, stimulator, implantable, neurological",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Nevro Corporation,185992,"Electrode/lead, stimulator, implantable, neurological"
33304,8/02/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
28474,27/03/2014,microTargeting Guideline 4000 LP+,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,FHC Inc,176191,"Stereotactic surgery system, neurological"
,,microTargeting Drive,-,n/k,,-
34025,26/04/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
33123,23/05/2014,HeartMate Power Module 14 Volt Patient Cable,Abbott Medical Australia Pty Ltd,Thoratec Corporation,172201,"Medical Device electrical cable, general purpose"
34399,13/06/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
33716,23/06/2014,Emerge™ angioplasty Catheter,Boston Scientific Pty Ltd,Boston Scientific Corporation,201535,"Catheter, angioplasty, balloon dilatation"
34651,14/07/2014,"Serengeti, Spinal minimally invasive retractor system",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,172142,"Retractor, orthopaedic"
34729,23/07/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
34884,7/08/2014,Cross Drive Emergency Screw 2.7x10mm,Zimmer Pty Ltd,Walter Lorenz Surgical Inc also trading as Biomet Microfixation,128459,"Fixation device, internal, screw"
33884,12/08/2014,Emerge™angioplasty Catheter,Boston Scientific Pty Ltd,Boston Scientific Corporation,201535,"Catheter, angioplasty, balloon dilatation"
34390,5/09/2014,Emerge™ Push angioplasty Catheter,Boston Scientific Pty Ltd,Boston Scientific Corporation,201535,"Catheter, angioplasty, balloon dilatation"
35455,9/10/2014,Emerge™ angioplasty Catheter,Boston Scientific Pty Ltd,Boston Scientific Corporation,201535,"Catheter, angioplasty, balloon dilatation"
34562,9/10/2014,EndoBarrier Gastrointestinal Liner with Delivery S,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35222,23/10/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35589,25/10/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35591,25/10/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35593,25/10/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35592,25/10/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35668,26/11/2014,EndoBarrier Gastrointestinal Liner with Delivery S,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35669,26/11/2014,EndoBarrier Gastrointestinal Liner with Delivery S,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35898,27/11/2014,Everest Set Screw,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,193653,"Fixation system, internal,fracture, non-biodegradable"
35670,2/12/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35725,11/12/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35726,15/12/2014,EndoBarrier Gastrointestinal Liner with Delivery System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35791,23/12/2014,EndoBarrier Gastrointestinal Liner with Delivery S,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
35790,23/12/2014,EndoBarrier Gastrointestinal Liner with Delivery S,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,GI Dynamics Inc,186462,Duodenal-jejunal bypass liner
