Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27195,2/07/2012,ALTRUA 40 DDDR-EL Dual Chamber Extended Longevity IS-1,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158085,"Pacemaker, cardiac, implantable"
,,Dextrus lead,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27475,24/07/2012,SELUTE Picotip Atrial J,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128828,"Lead, pacemaker, implantable, endocardial"
31655,5/08/2012,FINELINE II,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
27854,9/08/2012,"Lead, pacemaker, implantable, endocardial",Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,112810,"Lead, pacemaker, implantable, endocardial"
27895,13/08/2012,FINELINE II Sterox Bipolar IS-1 Passive Steroid RV 58 cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
27918,14/08/2012,Maximo II CRT-D Model D284TRK,Medtronic Australasia Pty Ltd,Medtronic Inc,154092,"Defibrillator, implantable, automatic, dual-chamber"
,,Attain OTW Lead,Medtronic Australasia Pty Ltd,Medtronic Inc,120254,"Lead, pacemaker, implantable, endocardial"
,,Capsure Fix Novus Lead,Medtronic Australasia Pty Ltd,Medtronic Inc,134286,"Lead, defibrillator/pacemaker, implantable"
,,Sprint Quattro Lead,Medtronic Australasia Pty Ltd,Medtronic Inc,142172,"Lead, defibrillator/pacemaker, implantable"
28163,24/08/2012,Fineline II,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
28601,17/09/2012,SELUTE PICOTIP AJ (Phase II) Bipolar IS-1 Atrial J Steroid R,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128828,"Lead, pacemaker, implantable, endocardial"
28680,20/09/2012,FINELINE II EZ Sterox,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
27824,21/09/2012,FINELINE II Sterox AJ,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
28864,26/09/2012,InSync Maximo CRT-D,Medtronic Australasia Pty Ltd,Medtronic Inc,121007,"Defibrillator, implantable, automatic, dual-chamber"
,,Attain OTW Lead,Medtronic Australasia Pty Ltd,Medtronic Inc,120254,"Lead, pacemaker, implantable, endocardial"
,,ENDOTAK RELIANCE G Lead,-,Cardiac Pacemakers Inc,106473,-
,,FINELINE II STEROX Lead,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
28914,17/10/2012,FINELINE II EZ Sterox,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
28869,18/10/2012,Selox ST 60,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,118361,"Lead, pacemaker, implantable, endocardial"
29004,24/10/2012,INCEPTA CRT-D Defibrillator,Boston Scientific Pty Ltd,Boston Scientific Corporation,192555,"Defibrillator, implantable, automatic, dual-chamber"
,,FINELINE II EZ Sterox,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
29397,19/11/2012,Dextrus 60,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
29399,19/11/2012,Dextrus 60,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
29382,22/11/2012,Dextrus 60,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
29296,27/11/2012,EASYTRAK 2 LVA Dual Electrode IS-1 Passive 80cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,112810,"Lead, pacemaker, implantable, endocardial"
29452,28/11/2012,ALTRUA 60 DDDR-EL Dual Chamber Extended Longevity IS-1 (400ms AV Delay),Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,164064,"Pacemaker, cardiac, implantable"
,,FINELINE II STEROX Lead,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
