Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27341,11/07/2012,Endurant Stent Graft,Medtronic Australasia Pty Ltd,Medtronic Inc,158459,"Graft, vascular, synthetic"
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27456,23/07/2012,ENDOTAK RELIANCE,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,165644,"Lead, defibrillator/pacemaker, implantable"
,,INCEPTA DR Dual-Chamber ICD,Boston Scientific Pty Ltd,Boston Scientific Corporation,192551,"Defibrillator, implantable, automatic, dual-chamber"
27477,24/07/2012,Biodesign Surgisis Hernia Graft,Endotherapeutics Pty Ltd,Cook Biotech Incorporation,153052,"Tissue reconstructive material, biological"
27475,24/07/2012,SELUTE Picotip Atrial J,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128828,"Lead, pacemaker, implantable, endocardial"
27626,31/07/2012,ENDOTAK RELIANCE G 4-Site,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,165644,"Lead, defibrillator/pacemaker, implantable"
31655,5/08/2012,FINELINE II,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
24786,8/08/2012,Endoscopic Cholangiography Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
27854,9/08/2012,"Lead, pacemaker, implantable, endocardial",Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,112810,"Lead, pacemaker, implantable, endocardial"
27895,13/08/2012,FINELINE II Sterox Bipolar IS-1 Passive Steroid RV 58 cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
27460,15/08/2012,Gore Excluder AAA Endoprosthesis,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
,,GORE EXCLUDER AAA Trunk-Ipsilateral Leg Endoprostheses,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,157813,"Prosthesis, internal, stent, vascular"
27437,15/08/2012,PROXIMATE RL LINEAR STAPLER,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132167,"Fixation device, internal, staple, tissue"
28046,21/08/2012,Zenith AAA Endovascular Graft with the Z-Trak Introduction System,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
28163,24/08/2012,Fineline II,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
28152,24/08/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
28312,3/09/2012,Harmonic Ace,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,118011,"Knife, ultrasonic"
28373,5/09/2012,Endurant Stent Graft,Medtronic Australasia Pty Ltd,Medtronic Inc,158461,"Graft, vascular, synthetic"
