Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27477,24/07/2012,Biodesign Surgisis Hernia Graft,Endotherapeutics Pty Ltd,Cook Biotech Incorporation,153052,"Tissue reconstructive material, biological"
28562,12/10/2012,"Supraloop, 120 x 85 mm",Karl Storz Endoscopy Australia Pty Ltd,Karl Storz GmbH & Co KG,204948,"Endotherapy device, active, single use"
30360,18/03/2013,SupraLoop Unipolar Loop,Karl Storz Endoscopy Australia Pty Ltd,Karl Storz GmbH & Co KG,204948,"Endotherapy device, active, single use"
27144,15/05/2013,Unimax Endotherapy Device,Device Technologies Australia Pty Ltd,Unimax Medical Systems Inc,169175,"Endotherapy device, active, single use"
31125,4/06/2013,Wolf Electrode,C R Kennedy & Co Pty Ltd,Richard Wolf GmbH,205640,"Endotherapy device, active, single use"
31461,12/07/2013,Rechargeable Batteries Lithium-Ion,Endotherapeutics Pty Ltd,Vision Sciences Inc,137738,"Light source, endoscope, battery powered"
31197,24/07/2013,Amplatz Renal Catheter,William A Cook Australia Pty Ltd,Cook Urological Incorporated,139309,"Endotherapy dilator, single use"
28007,2/10/2013,BARRX Medical Halo 360 Generator,Device Technologies Australia Pty Ltd,Barrx Medical Inc,140684,"Electrosurgical unit, endotherapy"
27877,2/10/2013,Hi Power Disposable Grinding Pad,Medtronic Australasia Pty Ltd,Covidien llc,178245,"Electrode, electrosurgical, return"
,,"ACTC1525 (DGPHP is part of this procedure pack), Endotherapy device, active, single use",Medtronic Australasia Pty Ltd,Covidien llc,178570,"Endotherapy electrosurgical diathermy system electrode, single-use"
27880,2/10/2013,HI PWR DISPOSBL GRNDING PAD,Medtronic Australasia Pty Ltd,Covidien llc,178245,"Electrode, electrosurgical, return"
,,"ACTC1525 (DGPHP is part of this procedure pack), Endotherapy device, active, single use",Medtronic Australasia Pty Ltd,Covidien llc,178570,"Endotherapy electrosurgical diathermy system electrode, single-use"
32259,12/10/2013,AMI I stitch - a suture delivery system specifically for gynaecologic use on sacrospinous ligament,Endotherapeutics Pty Ltd,Ami Agency For Medical Innovations GmbH,170190,Suture/needle passer
32063,31/10/2013,Flexor Parallel Ureteral Access Sheath and Dilators,William A Cook Australia Pty Ltd,Cook Incorporated,203472,"Endotherapy dilator, single use"
32715,27/11/2013,CK Surgitech,CK Surgitech Pty Ltd,Biorad Medisys Pvt Ltd,171314,"Endotherapy electrosurgical diathermy system electrode, single-use"
32633,12/12/2013,AcuSnare Polypectomy Snare,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,176864,"Endotherapy snare, electrosurgical, single use"
33601,11/03/2014,disposable laproscopic bipolar forceps,Device Technologies Australia Pty Ltd,Advanced Medical Design International LLC,153303,"Endotherapy electrosurgical diathermy system electrode, single-use"
34123,13/06/2014,Flexor Parallel Ureteral Access Sheath and Dilator,William A Cook Australia Pty Ltd,Cook Incorporated,203472,"Endotherapy dilator, single use"
34816,18/09/2014,Injection Gold Probe,Boston Scientific Pty Ltd,Boston Scientific Corporation,133896,"Flexible endotherapy electrosurgical forceps, single-use"
35359,26/09/2014,ACE Laprascopic shears 5mm 36 long,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,125257,"Endotherapy electrosurgical diathermy system electrode, single-use"
35805,17/11/2014,Sieglar Forsep adson bi-polar 5 inch disposable 1.0mm,Big Green Surgical Company Pty Ltd,Cimpax,175523,"Endotherapy electrosurgical diathermy system electrode, single-use"
35626,21/11/2014,GRASPING FORCEP STR 5MM 33CM FENSTRATED,Device Technologies Australia Pty Ltd,Purple Surgical International Ltd,123805,"Endotherapy forceps, scissors"
