Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27364,12/07/2012,Maxi Move floor lift,ARJO Hospital Equipment Pty Limited,BHM Medical Inc,139644,"Lift, (specify)"
27536,9/08/2012,Sara 3000,ARJO Hospital Equipment Pty Limited,Medibo Medical Products NV,138053,"Lift, patient transfer, mobile"
28700,24/09/2012,Making Life Easy Toilet Chair,Home Medical Products Australia Pty Ltd,Yong Long Healthcare Equipment,177968,"Personal hygiene aid, toiletting, seat, raised, free-standing"
29072,29/10/2012,Chair,Hills Healthcare Equipment a Division of Hills Holdings Ltd,Hills Healthcare Equipment a Division of Hills Holdings Ltd,192274,"Chair, bath/shower"
29043,13/11/2012,Carendo Chair,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137556,"Chair, bath/shower"
29048,13/11/2012,Carendo Chair,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137556,"Chair, bath/shower"
28927,11/12/2012,Kenex,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,CATH LAB,GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
29107,21/12/2012,Maxi Twin,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137937,"Lift, patient transfer, mobile"
30004,7/02/2013,Sara 3000 Patient Transfer Lift,ARJO Hospital Equipment Pty Limited,Medibo Medical Products NV,138053,"Lift, patient transfer, mobile"
27506,12/02/2013,Carendo Chair,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137556,"Chair, bath/shower"
29913,21/02/2013,Carendo Chair,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137556,"Chair, bath/shower"
30116,25/03/2013,Mobifuser,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
30842,29/05/2013,Mansell Neonatal Retrieval System,Wenross Holdings Pty Ltd,Mansell Neonatal Transport Equipment Pty Ltd,137749,"Incubator, infant, transportable"
32261,30/10/2013,TDX®SR Power Wheelchair,Invacare Australia Pty Ltd,Invacare Medical Equipment Co Ltd,130040,"Wheelchair, attendant/occupant, electric drive/manual steer, non-collapsible"
32578,20/12/2013,Kenex Radiation Barrier,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,"INNOVA 2100 CATH LAB, X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital",GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
31663,15/08/2014,Mobifuser,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
37163,27/04/2015,Sun 85 Dental Chair,Medical Equipment Australia Pty Ltd,Guangzhou Sunlight Medical Equipment Co Ltd,246673,"Supply unit, dental"
37501,29/05/2015,"K•Care Shower Chair, Heavy Duty, Adjustable Height with Clip-on Plastic Seat and Arms",R & R Healthcare Equipment Pty Ltd,K Care Pty Ltd,209827,"Chair, bath/shower"
38559,11/09/2015,Suction Connector,Xcel Medical Solutions Pty Ltd,Shanghai Xinghua Medical Equipment Co Ltd,194212,"Valve, (specify)"
38801,7/10/2015,Mk1 Pool Lift,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137937,"Lift, patient transfer, mobile"
39999,2/02/2016,Equashield Closed system for Drug Transfer Syringe,REM Systems Pty Ltd,Equashield Medical Ltd,228376,Compounding transfer set
41101,6/05/2016,Equashield Closed system transfer device syringe,REM Systems Pty Ltd,Equashield Medical Ltd,228376,Compounding transfer set
41848,4/07/2016,Walker Equalizer Small walker boot,Ossur Australia - OA & Injury Solutions Pty Ltd,Darco International Inc,197169,"Orthosis, footwear, orthopaedic, shoe, ready-made"
