Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28555,17/09/2012,Frova intubating bougie,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
27843,10/10/2012,"Cormet Cup Bicoated Size 6, 54MM 48 MM",Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,Metafix stem size 3,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,Metafix stem size 4,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,Optimom Eurocone modular head 48mm,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
26055,14/02/2013,"M.E.R.C.I Adaptor, Syringe/needle",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
26054,3/04/2013,"Adaptor, Syringe/needle M.E.R.C.I",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
26057,3/04/2013,"M.E.R.C.I Adaptor, syringe/needle",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
26290,23/04/2013,M.E.R.C.I KIT,Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
27822,15/05/2013,Closure Device,Cardinal Health Australia 503 Pty Ltd,Cordis Europa Nv,176723,"Femoral artery compression instrument, single-use"
27820,15/05/2013,Exoseal Vascular Closure Device,Cardinal Health Australia 503 Pty Ltd,Cordis Europa Nv,176723,"Femoral artery compression instrument, single-use"
27823,3/07/2013,ExoSeal Vascular Closure Device,Cardinal Health Australia 503 Pty Ltd,Cordis Europa Nv,176723,"Femoral artery compression instrument, single-use"
30910,17/07/2013,One Touch Verio IQ meter,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH International,200176,Clinical chemistry substrate IVDs
31068,5/08/2013,One Touch Verio meter,Johnson & Johnson Medical Pty Ltd,"Lifescan Europe, A Division of Cilag GMBH Intl",168174,"Glucose meter, self-testing"
31330,21/08/2013,Cool Flow Pump Europe Ship Kit,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
30976,26/08/2013,Optease Retrievable Filter,Johnson & Johnson Medical Pty Ltd,Cordis Europa Nv,165592,"Vena cava filter, optional"
30977,26/08/2013,Optease Retrievable filter,Johnson & Johnson Medical Pty Ltd,Cordis Europa Nv,165592,"Vena cava filter, optional"
31851,29/10/2013,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH International,200176,Clinical chemistry substrate IVDs
31850,3/12/2013,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH International,200176,Clinical chemistry substrate IVDs
28642,9/12/2013,"M.E.R.C.I Adaptor, syringe/needle",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
28645,9/12/2013,Medicine Administration Kit,Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
32437,20/01/2014,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH International,200176,Clinical chemistry substrate IVDs
33256,4/02/2014,IVC 'Celect' Filter,William A Cook Australia Pty Ltd,William Cook Europe,170111,"Vena cava filter, optional"
33405,13/02/2014,Ansell Lifestyles Skyn Condoms - Coles Supermarkets Australia PTY LTD,SXWell Australia Pty Ltd,Ansell Healthcare Europe NV,201383,"Condom, male, non-latex, lubricated"
32687,19/02/2014,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH International,200176,Clinical chemistry substrate IVDs
33778,28/03/2014,Aquarius Haemodialysis System,AA-Med Pty Ltd,Nikkiso Europe GmbH,189947,"Dialyser, unit, haemofiltration"
34508,23/06/2014,Eurosilicone Breast Implant,Euro Implants Pty Ltd,Eurosilicone SAS,132036,"Prosthesis, internal, mammary, gel filled"
27964,2/08/2014,Opta Pro Balloon,Johnson & Johnson Medical Pty Ltd,Cordis Europa Nv,170103,"Catheter, angioplasty, balloon dilatation"
34675,21/08/2014,Zenith TX2 TAA Endovascular Graft Proximal Component,William A Cook Australia Pty Ltd,William Cook Europe,164328,"Graft, vascular, synthetic"
35026,25/08/2014,Eurosilicone Silicin Breast Implant,Euro Implants Pty Ltd,Eurosilicone SAS,132036,"Prosthesis, internal, mammary, gel filled"
34377,30/08/2014,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH Internati,200176,Clinical chemistry substrate IVDs
34754,3/09/2014,Zenith TX2 TAA Endovascular Graft Proximal Extensi,William A Cook Australia Pty Ltd,William Cook Europe,164328,"Graft, vascular, synthetic"
35305,23/09/2014,Global Cup PC+HA,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218810,Acetabular shell
,,"Prosthesis, internal, joint, hip, femoral component",Global Manufacturing Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,120787,"Prosthesis, internal, joint, hip, femoral component"
35586,24/10/2014,Global Acetabular Cup PC+HA,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218810,Acetabular shell
,,Absolut Centraliser large,-,n/k,,-
,,Absolut Stem 50mm offset,-,n/k,,-
,,Femoral Head CoCr 36mm LN,-,n/k,,-
,,Global Cup Liner Lipped,-,n/k,,-
35273,19/11/2014,Cook Celect Navalign Jugular & Femoral Vena Cava F,William A Cook Australia Pty Ltd,William Cook Europe,170111,"Vena cava filter, optional"
27634,27/11/2014,Exoseal Closure Device,Cardinal Health Australia 503 Pty Ltd,Cordis Europa Nv,176723,"Femoral artery compression instrument, single-use"
35701,3/12/2014,Frova Intubating Introducer,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
35706,3/12/2014,Frova Intubating Introducer,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
34260,27/02/2015,Logical Ceramic Liner,Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,175346,"Prosthesis, internal, joint, hip, total"
37297,7/05/2015,Terumo Coronary artery stent,Terumo Corporation Australian Branch,Terumo Europe NV,172383,"Stent, vascular, coronary artery"
36876,24/06/2015,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH Internati,200176,Clinical chemistry substrate IVDs
36892,26/06/2015,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH Internati,200176,Clinical chemistry substrate IVDs
37989,18/09/2015,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH Internati,200176,Clinical chemistry substrate IVDs
38760,12/11/2015,Frova Intubating Introducer,William A Cook Australia Pty Ltd,William Cook Europe,92847,"Tube, tracheal introducer, single use"
39400,12/04/2016,EuroSilicone - Round Collection - Soft Cohesive Design- Microtextured Shell - Extra high Profile - 100% Fill,Euro Implants Pty Ltd,Eurosilicone SAS,132037,"Prosthesis, internal, mammary, gel filled"
40851,18/04/2016,Eurosilicone Breast Implant,Euro Implants Pty Ltd,Eurosilicone SAS,132040,"Prosthesis, internal, mammary, gel filled"
38966,29/04/2016,Frova Intubating Introducer,William A Cook Australia Pty Ltd,William Cook Europe,200848,"Tube, tracheal introducer, single use"
40486,25/05/2016,"Eurosilicone, Silicone Gel filled Breast Implants, Cristalline Paragel, Textured Surface, Very high Profile, 100% filled",Euro Implants Pty Ltd,Eurosilicone SAS,132037,"Prosthesis, internal, mammary, gel filled"
40731,25/05/2016,One Touch Verio IQ Blood Glucose Monitoring System,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH Internati,200176,Clinical chemistry substrate IVDs
40303,1/07/2016,"Frova Intubating Introducer - Tube, tracheal intro",William A Cook Australia Pty Ltd,William Cook Europe A/S,200848,"Tube, tracheal introducer, single use"
36166,10/07/2016,"Metron Euro Neuro Table, physical therapy",Ausmedic Australia Pty Ltd,Metron Medical Co Ltd,203207,"Table, physical therapy"
41485,12/07/2016,"Eurosilicone, Calf implant, symmetric Shape, high Cohesive Gel, Smooth shell surface",Euro Implants Pty Ltd,Eurosilicone SAS,135692,"Tissue reconstructive material, synthetic, silicone, block"
40579,11/08/2016,"Evolve UniPolar Head - Prosthesis, internal, joint, hip, total",Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,175346,"Prosthesis, internal, joint, hip, total"
,,"Prosthesis, internal, joint, hip, total",Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,175346,"Prosthesis, internal, joint, hip, total"
42400,17/08/2016,Braun No Touch + Forehead thermometer NTF3000,RQSolutions Medical Devices Distribution Support,Kaz Europe Sarl,226008,"Thermometer, infrared, skin"
36239,25/08/2016,Global BIOLOX Delta Insert - Ceramic acetabular liner,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218811,Ceramic acetabular liner
,,Global Ceramic Head - Ceramic femoral head prosthesis,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218812,Ceramic femoral head prosthesis
,,Global Cup PC - Acetabular shell,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218809,Acetabular shell
36244,25/08/2016,"MSA Stem - Prosthesis, internal, joint, hip, femoral component",Global Manufacturing Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,120787,"Prosthesis, internal, joint, hip, femoral component"
,,Global Ceramic Head - Ceramic femoral head prosthesis,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218812,Ceramic femoral head prosthesis
,,Global Cup Ceramic Liner - Ceramic acetabular liner,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218811,Ceramic acetabular liner
,,Global Cup PC with HA - Acetabular shell,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218810,Acetabular shell
,,"Orthopaedic bone screw, non-bioabsorbable, sterile",Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,257913,"Orthopaedic bone screw, non-bioabsorbable, sterile"
41134,30/08/2016,Cook Celect® Platinum NavAlign Uniset Vena Cava Filter Set,William A Cook Australia Pty Ltd,William Cook Europe A/S,219276,"Vena cava filter, optional"
38390,15/09/2016,Biomatrix Flex Drug Eluting Coronary Stent System,Cardinal Health Australia 503 Pty Ltd,Biosensors Europe SA,216541,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
,,"BioMatrix Flex Drug Eluting Coronary Stent System - Drug-eluting coronary artery stent, biodegradable-polymer-coated",Medical Logistics Australia Pty Ltd,Biosensors Europe SA,216541,"Drug-eluting coronary artery stent, biodegradable-polymer-coated"
42469,28/09/2016,"Gammex Latex Dermashield - Hevea-latex surgical glove, non-powdered",Ansell Ltd T/A Ansell Healthcare,Ansell Healthcare Europe NV,201049,"Hevea-latex surgical glove, non-powdered"
43128,11/10/2016,"Edward Lifesciences Corp, Aquarius - Intensive Care Haemofiltration Machine",AA-Med Pty Ltd,Nikkiso Europe GmbH,189947,"Dialyser, unit, haemofiltration"
42652,9/11/2016,Cook Celect® Platinum NavAlign Uniset - Vena Cava Filter Set,William A Cook Australia Pty Ltd,William Cook Europe A/S,219276,"Vena cava filter, optional"
42036,24/11/2016,"Global Femoral Head, Biolox Delta, Ceramic 28mm +3",Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Europe Ltd,218812,Ceramic femoral head prosthesis
,,"Prosthesis, internal, joint, hip, acetabular component",Global Orthopaedic Technology Pty Ltd,Serf,192661,"Prosthesis, internal, joint, hip, acetabular component"
,,"Silent Hip Stem - Prosthesis, internal, joint, hip, femoral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,161094,"Prosthesis, internal, joint, hip, femoral component"
42302,20/01/2017,Zenith TX2 TAA Endovascular Graft Proximal Extension,William A Cook Australia Pty Ltd,William Cook Europe A/S,164328,"Graft, vascular, synthetic"
44273,1/02/2017,Cook Celect Vena Cava Filter Set,William A Cook Australia Pty Ltd,William Cook Europe A/S,219276,"Vena cava filter, optional"
44815,20/04/2017,"MI Varnish - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,234717,"Dental material, desensitizing resin"
45738,21/04/2017,Braun Touchless and forehead thermometer,RQSolutions Medical Devices Distribution Support,Kaz Europe Sarl,226008,"Thermometer, infrared, skin"
45414,29/06/2017,Zenith t-Branch Thoracoabdominal Endovascular Graft,William A Cook Australia Pty Ltd,William Cook Europe A/S,228114,"Graft, vascular, synthetic"
46386,17/07/2017,Zenith Alpha™ Thoracic Endovascular Graft Proximal Tapered Components,William A Cook Australia Pty Ltd,William Cook Europe A/S,281255,"Graft, vascular, synthetic"
46383,17/07/2017,Zenith Alpha™ Thoracic Endovascular Graft Proximal Tapered Components,William A Cook Australia Pty Ltd,William Cook Europe A/S,281255,"Graft, vascular, synthetic"
45822,11/09/2017,"Cook Celect® Platinum NavAlign Uniset Vena Cava Filter Set - Vena cava filter, optional",William A Cook Australia Pty Ltd,William Cook Europe A/S,219276,"Vena cava filter, optional"
47487,13/09/2017,BioFreedom Drug Coated Coronary Stent System - Drug-coated-metal coronary artery stent,Cardinal Health Australia 503 Pty Ltd,Biosensors Europe SA,280282,Drug-coated-metal coronary artery stent
45226,17/10/2017,"Breast Implant - Prosthesis, internal, mammary, gel filled",Euro Implants Pty Ltd,Eurosilicone SAS,132040,"Prosthesis, internal, mammary, gel filled"
47744,24/10/2017,"MI Varnish - Dental material, desensitizing resin",GC Australasia Dental Pty Ltd,GC Europe NV,234717,"Dental material, desensitizing resin"
46831,25/10/2017,OTVERIOIQ SYSTEM MMOL AU - Clinical chemistry substrate IVDs,Johnson & Johnson Medical Pty Ltd,LifeScan Europe A Division of Cilag GmbH International,200176,Clinical chemistry substrate IVDs
47601,25/10/2017,RCI HA Screw - Ligament anchor,Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,193153,Ligament anchor
48572,28/10/2017,"EuroSilicone MP Textured silicone breast implant - Prosthesis, internal, mammary, gel filled",Euro Implants Pty Ltd,Eurosilicone SAS,132037,"Prosthesis, internal, mammary, gel filled"
47602,30/10/2017,Cement Plug Inserter - Orthopaedic implant inserter/extractor,Signature Orthopaedics Pty Ltd,Signature Orthopaedics Pty Ltd,174589,Orthopaedic implant inserter/extractor
