Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26305,3/10/2012,EVOTECH SYSTEM 220V/230V,Johnson & Johnson Medical Pty Ltd,Advanced Sterilization Products a Johnson & Johnson Company Division of Ethicon Inc,146438,"Disinfecting unit, liquid, endoscope"
26371,3/10/2012,EVOTECH SYSTEM 220V/230V,Johnson & Johnson Medical Pty Ltd,Advanced Sterilization Products a Johnson & Johnson Company Division of Ethicon Inc,146438,"Disinfecting unit, liquid, endoscope"
29099,31/10/2012,Resonance CinemaVision,Imaxeon Pty Ltd,Resonance Technology Inc,179557,"Stimulator, evoked response, visual"
31227,18/06/2013,DRX-Evolution with Full Featured WS,Carestream Health Australia Pty Ltd,Carestream Health Inc,136112,"X-ray system, diagnostic, general-purpose, stationary, digital"
29781,17/12/2013,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,165764,"Stimulator, evoked response, auditory"
34184,1/02/2014,"Evogel, Ultrasound transmission gel",Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
34188,6/02/2014,"Evogel, Ultrasound transmission gel",Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
34185,1/03/2014,"Evogel, Ultrasound transmission gel",Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
34189,1/03/2014,"Evogel, Ultrasound transmission gel",Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
33692,20/03/2014,EvoGel,Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
33966,9/04/2014,"Evogel Ultra, Ultrasound transmission gel",Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
34187,9/04/2014,"Evogel, Ultrasound transmission gel",Novapharm Research (Australia) Pty Ltd,Novapharm Research (Australia) Pty Ltd,205223,"Gel, ultrasonic coupling"
30039,12/06/2014,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,165764,"Stimulator, evoked response, auditory"
34582,4/07/2014,Evolution® Esophageal Controlled-Release Stent - Partially Covered,William A Cook Australia Pty Ltd,Cook Ireland Ltd,153840,"Prosthesis, internal, stent, oesophageal"
30038,3/10/2014,Nucleus 24 Channel Cochlear Implant System,Cochlear Ltd,Cochlear Ltd,165764,"Stimulator, evoked response, auditory"
37761,17/08/2015,"Evolution Regulator, gas, high-pressure",Air Liquide Healthcare Pty Ltd,Inovo Inc,175348,"Regulator, gas, high-pressure"
38904,20/10/2015,PAINmate Analgesic TENS system,Evomed Pty Ltd,Hivox Biotek Inc,227187,Analgesic TENS system
39987,17/02/2016,Evolution eMP - Uncoated knee femur prosthesis,MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,225086,Uncoated knee femur prosthesis
,,"eMP CS Tibial Inserts - Uncoated knee tibia prosthesis, metallic",Wright Medical Australia Pty Ltd,MicroPort Orthopedics Inc,234318,"Uncoated knee tibia prosthesis, metallic"
,,"eMP Tibial Base Keeled Non Porous - Uncoated knee tibia prosthesis, metallic",Wright Medical Australia Pty Ltd,MicroPort Orthopedics Inc,234319,"Uncoated knee tibia prosthesis, metallic"
40579,11/08/2016,"Evolve UniPolar Head - Prosthesis, internal, joint, hip, total",Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,175346,"Prosthesis, internal, joint, hip, total"
,,"Prosthesis, internal, joint, hip, total",Signature Orthopaedics Pty Ltd,Signature Orthopaedics Europe Ltd,175346,"Prosthesis, internal, joint, hip, total"
42778,14/09/2016,Pain Mate - Portable TENS machine,Evomed Pty Ltd,Hivox Biotek Inc,256452,"Physical therapy electrical stimulation system, battery-powered"
39604,8/12/2016,PAINmate - Analgesic TENS system,Evomed Pty Ltd,Hivox Biotek Inc,227187,Analgesic TENS system
42630,21/12/2016,Evolution - Uncoated knee femur prosthesis,MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,225086,Uncoated knee femur prosthesis
44953,23/02/2017,PAINmate - Analgesic TENS system,Evomed Pty Ltd,Hivox Biotek Inc,227187,Analgesic TENS system
41727,10/03/2017,"Evolution CS Tibial Insert - Uncoated knee tibia prosthesis, metallic",MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,234318,"Uncoated knee tibia prosthesis, metallic"
44221,13/04/2017,"Evolution CS Insert - Uncoated knee tibia prosthesis, metallic",MicroPort Orthopedics Pty Ltd,MicroPort Orthopedics Inc,234318,"Uncoated knee tibia prosthesis, metallic"
42456,26/04/2017,Cook® Single-Use Holmium Laser Fiber - Evolution Esophageal Controlled-Release Stent - Partially Covered,William A Cook Australia Pty Ltd,Cook Ireland Ltd,153840,"Prosthesis, internal, stent, oesophageal"
46785,11/08/2017,Evolution Chair,R & R Healthcare Equipment Pty Ltd,R & R Healthcare Equipment Pty Ltd,206302,"Chair, (specify)"
